"","PNISR","USP45","CCNC","MCHR2","SIM1","ASCC3","GRIK2","HACE1","LIN28B","PREP","PRDM1","ATG5","QRSL1","BEND3","PDSS2","SEC63","OSTM1","NR2E1","SNX3","FOXO3","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","SYNCRIP","HTR1E","CGA","RARS2","ORC3","CNR1","RNGTT","SRSF12","GABRR1","GABRR2","UBE2J1","RRAGD","MDN1","MAP3K7","EPHA7","FUT9","UFL1","FHL5","NDUFAF4","KLHL32","FBXL4","COQ3"
"Integration of energy metabolism",0,0.776310777176944,0.839491391385521,0.836940124464664,0.813281434122651,0,0.807889485077325,0.771633832947363,0.811448710426537,0.747100706358393,0.809775469896762,0.80790898387417,0,0,0.775254063084428,0,0,0.781590241952532,0.775804254536915,0.837274092418018,0.839485920090869,0,0,0.777780082904894,0.773366051108788,0.779867211790413,0.810359509274115,0,0.838345859741877,0.807422619671799,0.775745159824721,0.810256551629941,0,0.771640136565315,0.775732952112137,0.81163202961672,0,0,0.839780896086471,0,0.744509814085448,0.809419220831311,0.77050164123234,0.868647139770772,0.811466290213562,0.806570767980564,0.83585362076499,0,0,0.776590484939347,0.840248459273139,0,0.778443330575551,0.837631568846458,0.838370075804166,0,0.810432638347814,0.837639275582716,0.809044211265509,0,0,0.775989196687852,0.771621298116204,0.809471360729695,0,0.837181684077605,0.838723753198797,0,0.771627553527628,0.776292617953662,0,0,0.771640136565315,0
"Cytosolic sulfonation of small molecules",0,0,0.523359647570337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537337501506578,0,0,0,0,0.458254191628661,0,0,0,0,0,0,0,0,0.523959033824199,0,0,0,0,0,0,0.524078955668177,0,0,0,0,0.524816783298175,0,0,0,0,0,0,0.595953305414544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59738086440285,0,0,0
"Drug ADME",0,0,0.813057731377049,0.773625041596313,0.791154091556137,0.785868451347283,0,0.742866298391129,0.761749276411765,0,0.789935767030164,0,0,0,0,0,0,0.818224622278839,0.786123607419678,0.785478291702222,0.78851516047237,0,0.816410488262793,0.743682662814911,0,0,0.756445851908845,0,0.811401519211147,0.777721028818771,0,0.859554298108368,0,0.742872087850449,0.782885579614526,0.784053192145933,0,0,0.813323622441819,0,0,0.758546445583024,0,0.813928070017313,0.787325247875846,0.776626765998599,0.830253977709511,0.790998240357771,0,0.806119681328471,0.812573463058587,0,0,0.75580721189536,0.783440114138919,0,0.786375906485935,0.755814290026743,0.758202023912415,0,0,0.748184006269511,0.742854785971495,0.786105526473321,0,0.803197097387488,0.804086797243625,0,0.742860531156283,0,0.755183061934229,0,0.742872087850449,0
"Interleukin-6 family signaling",0,0.701126889983605,0.778506986884975,0.773479369347014,0,0,0,0.766399889316943,0.704166550008731,0,0.714872068516506,0.696457074068498,0,0,0,0,0,0,0.696663112012681,0.780555188263593,0.710558340748789,0,0,0.696728122236658,0,0,0,0,0,0.789858229751347,0,0.780837591860616,0,0.766417469238205,0.685652124239975,0,0,0.705981373686553,0.779314375576092,0,0,0,0,0.703138846180743,0.69499852347757,0.770647287570109,0.777431531117598,0,0,0.694397711477462,0,0,0,0.687863986074844,0.688776910123152,0,0.693914388683775,0.687885479099583,0,0,0,0.702529082620825,0.766364931401271,0.781746570083755,0,0.779336738840279,0.782427320376205,0,0.766382376881171,0,0,0,0.766417469238205,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0,0,0.756507384947079,0,0,0.762106638569244,0,0,0,0,0,0,0,0,0,0,0,0,0.758920442272304,0,0,0,0,0,0,0.75925196282335,0,0.757561836144304,0.760451477170464,0,0.758542246955684,0,0,0.757413557117191,0,0,0,0,0,0.761525077286054,0,0,0,0,0.793088799577148,0.756658318942537,0,0,0.759036931616673,0.757463657288734,0,0,0.756753589472217,0.757589237518005,0,0,0.756762309930468,0,0,0,0,0,0,0,0.757442345936371,0.759374629195303,0,0,0,0.794124874490964,0,0,0
"Defective B3GALTL causes PpS",0,0,0.723085041463107,0.796375957278466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723637542342172,0,0,0,0,0,0,0.723748083623007,0,0,0,0,0,0,0.720081721046767,0.718369695434584,0,0,0.724943056080756,0,0,0,0.797959547371651,0,0,0,0.79797719783134,0,0,0,0,0,0,0,0.719746894766094,0,0,0,0,0,0,0,0
"Neurexins and neuroligins",0,0.720795311341825,0,0.764857813306612,0,0,0.773137998792133,0.712136471728042,0,0,0,0,0,0,0,0,0,0,0.718257694561994,0.768898020289108,0,0,0,0.720611260408322,0,0,0,0,0,0.721386946007968,0,0.769371272949029,0,0.712146384510134,0.716405585870011,0,0,0,0,0,0,0,0,0,0.717339712147203,0.761329824989736,0.813391617306837,0,0,0.772068583888383,0,0,0,0.720701400604631,0.713810905540604,0,0.715714238366595,0.720713519866575,0,0,0,0.728534199385478,0.712116760024259,0,0,0.770597066991101,0.774992494928695,0,0.712126596998963,0,0,0,0.712146384510134,0
"Basigin interactions",0,0,0.651240556869228,0.645607976396558,0,0.501024106130877,0,0.567122317863748,0.503381459686799,0,0.582708127841462,0,0,0,0,0,0,0,0,0.568353759801594,0.57878890975204,0,0,0.581052314293143,0,0,0,0,0,0,0,0.648950057253037,0,0.567138290022663,0.650816552727058,0,0,0,0.651974106257092,0,0,0,0,0.652726541837837,0,0.570348357227967,0.563288272779684,0,0,0.657092223093333,0,0,0,0,0,0,0,0,0,0,0,0,0.567090557005658,0.496393490561567,0,0.569977925861634,0.579318058546285,0,0.567106407018474,0,0.655236019140932,0,0.567138290022663,0
"Trafficking of GluR2-containing AMPA receptors",0,0.654535593653819,0.655510094404661,0.747610134319483,0,0,0.765847391910599,0.638315723225688,0,0,0,0.643700158945428,0,0,0,0,0,0,0.649123318422934,0.753654309143926,0,0,0,0.645637479146193,0,0,0,0,0.751113578170062,0.761893918185949,0,0.755875024796285,0,0.638336865387661,0.649092365400018,0,0,0,0.656481085242947,0,0,0.660376633351286,0,0.657477075516256,0.647165428829259,0.748902568973766,0.748160536345761,0,0,0.756575528153922,0,0,0,0.748717866069206,0.751194798179772,0,0.643698588780297,0.748743714251548,0.65911886153802,0,0,0.655487265594113,0.638273681745276,0.757326406750888,0,0.752614824324429,0.757786881924062,0,0.638294662223872,0,0,0,0.638336865387661,0
"IL-6-type cytokine receptor ligand interactions",0,0,0.761361160601595,0.754845774662261,0,0,0,0.653637813812516,0.673445713431006,0,0.685969961977139,0.664123841025674,0,0,0,0,0,0,0,0.653691541382171,0.680989054433082,0,0,0.662825746264907,0,0,0,0,0,0.667339023170555,0,0.654660644913683,0,0.653658112720363,0,0,0,0,0.762293423516438,0,0,0,0,0.674033093185037,0,0.657737765241612,0.755374223929877,0,0,0.662531937101112,0,0,0,0.654987677495242,0,0,0.660087681694624,0.65501249472406,0,0,0,0,0.653597449154552,0.764133499548318,0,0.651530477382721,0.656496247710772,0,0.653617592827756,0,0,0,0.653658112720363,0
"O-glycosylation of TSR domain-containing proteins",0,0,0.723139027125778,0.796375957278466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723691528004843,0,0,0,0,0,0,0.723802069285678,0,0,0,0,0,0,0.720033285048964,0.718423681097255,0,0,0.724997041743427,0,0,0,0.797959547371651,0,0,0,0.79797719783134,0,0,0,0,0,0,0,0.719698458768291,0,0,0,0,0,0,0,0
"Formation of the cornified envelope",0,0,0.771743562229039,0.770221915188181,0.776982906523336,0,0,0,0,0,0.776839178703787,0,0,0,0,0,0,0,0,0.771690988345211,0.775477181536342,0,0,0.772905688132537,0,0,0,0,0,0,0,0.771358408688904,0,0,0.741277803528197,0,0,0,0.771998483533661,0,0,0,0,0.772259968122239,0,0.770631215897961,0.769720065699142,0,0,0.771707122126059,0.771814744267526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771535832946189,0.772247340392989,0,0,0,0,0,0,0
"Recycling pathway of L1",0,0.807908769338878,0.720103602317211,0.792876605637157,0,0,0.721890710654043,0.799188461108374,0.726344020632286,0,0.726344020632286,0,0,0,0,0,0,0,0.803686384309356,0.799761503986015,0.722296741446754,0,0,0.805345110283039,0.808239692677934,0,0,0,0.715712014587615,0.722196596809297,0,0.802426699540135,0,0.79920495516021,0.793686442089826,0,0,0,0.720787009549502,0,0,0,0,0.716644615418404,0.802158937282528,0.878788022145,0.798662365028809,0.739407889486102,0,0.722920235406677,0.722444998354603,0,0,0.794685839566239,0.797842717185276,0,0.799454282973939,0.794706005018568,0,0,0,0.808347726480563,0.799155662459019,0.80314878310958,0,0.798528006068418,0.802562985379132,0,0.799172030373612,0,0,0,0.79920495516021,0
"SLC-mediated transmembrane transport",0,0.747238828198471,0.790081488612005,0.789329012603974,0.794677092919777,0.769093020274668,0.770995288342345,0.743305939817082,0.794340707799629,0,0.793983362793931,0.770046990167802,0,0,0.771147815245972,0,0,0.770856472983717,0.746086229929538,-0.0168540006522,0.792878563740667,0,0,0.770638038833633,0,0.770856472983717,0.768695407742446,0,0.767868495118267,0.769950498022876,0,0.769184143211868,0.771250661113891,0.743310442252426,0.767050860417362,0.77081815246213,0.815229426892661,0,0.790288270845283,0,0.770130269615996,0,0.767999754065993,0.790500376958871,0.745669277712556,0.789924293375345,-0.0168540006522,0,0,0.769591292353757,0.790742850923938,0,0.770160951114849,0.768305675429293,0.767885791733572,0,0.744930979368766,0.768311180058853,0.770367343265974,0,0,0,0.743296986662359,0.767577570288632,0,0.76805961881255,0.76889450893791,0,0.743301454665607,0,0.79120621336885,0,0.743310442252426,0
"Collagen biosynthesis and modifying enzymes",0,0,0.818841476314808,0.819005573345769,0,0,0,0,0.823794363996253,0,0.824321432290702,0,0,0,0,0,0,0,0.822796199198931,0.818772597889943,0.822537044059628,0,0,0,0,0,0,0,0,0,0,0.855945634132426,0,0,0.819464989793717,0.824288322036177,0,0,0,0,0,0.860613714126034,0,0.82252264141566,0,0.818356815926484,0.853684948296684,0,0,0.858881918956349,0.818750288574309,0,0,0,0,0,0,0,0,0,0,0.826384346432543,0.816165811761453,0,0,0.821464201302834,0.82067393779781,0,0,0,0,0,0,0
"Transport of small molecules",0,0.870139039396495,0.870458838228053,0.878813362679378,0.881086726307537,0.861244184959139,0.871103790109964,0.869118169681021,0.871821541358934,0,0.870954388331179,0.870466308571745,0,0.861921623281673,0.861832607074323,0.86046978593495,0.880050954694193,0.862955885968861,0.870828644013983,0.870733756314361,0.870502775124071,0.862957217164628,0.862558525628202,0.871009865685574,0.860851895283294,0.862602889034284,0.861928154969835,0,0.879201863890994,0.870755280093351,0,0.870007007029369,0.862126172589658,0.869120010159848,0.869712318209448,0.861831386963649,0.880350063995826,0.862158216103771,0.870543365443448,0,0.862442762731981,0.870837331198784,0.860166868114897,0.870962833035956,0.869497447854063,0.878981678299562,0.879867464580817,0.862300586806963,0,0.861359139958881,0.879705822883517,0,0.861680727396678,0.87903392648234,0.879249549705314,0,0.869195650634146,0.879036176632177,0.870585150130512,0,0,0.861990934685293,0.869114509863513,0.870796222351929,0.860615859307834,0.869951861537123,0.870201562438258,0,0.869116336267392,0.861523669544327,0.870921335263935,0,0.869120010159848,0
"Phase II - Conjugation of compounds",0,0,0.688855385889023,0,0,0,0,0.585655431099624,0,0,0,0.658108840877306,0,0,0,0,0,0.694929442450596,0,0.655331849340385,0,0,0.692406845591533,0,0,0,0.658016077976016,0,0.625950535390902,0,0,0.62328930445212,0,0.585662237030704,-0.0254766938518464,0.658610100587408,0,0,0.689167960200603,0,0.692195664013586,0,0,0.68948858214856,0,0,0.648774710360342,0,0,0,0.688202498324453,0,0,0,0.654110703339215,0.624969761195324,0,0,0,0,0,0,0.585641897411891,0,0,0.655803071725933,0,0,0.585648651295033,0.660031769563769,0.689212792253033,0,0.585662237030704,0
"Neurotransmitter release cycle",0.733556374062062,0.728895427781185,0.734572616665752,0.783711295896514,0,0.726948627804457,0.729679735610843,0.718492642778741,0,0,0.798186028020852,0.736055732085135,0,0,0,0,0,0,0.725846718836726,0.722187840601881,0.795263751590024,0,0,0.723236049291941,0,0.732929259520577,0.792352565633864,0,0.723936649302057,0,0,0.726806989994127,0.732655749793767,0.718504552058215,0.776933786314304,0.793129154666021,0,0,0.73511957119548,0,0,0.72822193085658,0,0.791182719884635,0.724743848923083,0.785986894893132,0.728050944495262,0,0,0,0.788669426501088,0,0.793899009562334,0.785017625760713,0.720504318214463,0,0.722790994381251,0.78503218591912,0.727513433965049,0.736109249916998,0,0.739119243016198,0.718468961012404,0.724256315751738,0,0.786530414018086,0.733473419261427,0,0.718480779216398,0,0.725160831581231,0,0.718504552058215,0
