"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Potassium Channels",0.946522026747707,0,0,0,0.925490198168865,0,0.926294685767717,0.928218087225179,0,0,0,0,0,0,0,0,0,0,0,0.928589579374844,0,0,0,0,0,0,0.947073346196839,0.907252325291776,0,0.907180209996316,0,0,0.926807632914452,0,0,0,0.946394512558989,0.927058309951357,0,0.926742449895805,0.927802909422064,0,0.930180282352356,0,0.908448484002255,0,0,0,0,0,0.945976128584736,0,0,0,0,0.907279038623628,0.94675287464238,0.928876752461016,0,0,0,0,0.947702187817514,0.902589140824497,0,0.928428887946358,0.906739832627548,0,0,0.927989702610048,0.926981396903236,0,0.929687276100502,0,0.947150616003001,0.927507159273764,0,0.905903906223651,0.926687596841458,0.925924101402706,0,0.929466023147776,0,0,0.925064188608861,0.929461346495106,0,0,0,0,0,0.9059082367813,0,0.925852083635944,0,0.928110253063377,0,0,0,0.92956758599886,0.926845600092655,0.946326356882803,0,0.928036238556622,0.927465051828659,0,0.926306012159838,0,0,0,0.928876752461018,0,0,0.925542528519105,0,0.946451147816416,0.926555412718985,0,0,0.910996450114763,0,0.904401673491369,0,0,0,0,0.925022109558797,0,0,0.927644632082371,0,0.9059082367813,0.90635469189753,0,0,0,0,0,0,0,0,0,0,0.927077279555773,0.92606447027066,0,0,0,0.925416241554834,0.928713490338805,0,0.902681637079105,0,0,0,0,0,0,0.946451147816416,0.946958498829568,0,0.946718702748998,0,0,0,0.928993275022609,0.929687276100502,0.946456442310134,0.927359539267624,0,0,0,0,0,0,0,0.906419209261671,0.905895294850093,0.926294685767717,0,0.928036238556622,0.906667331347837,0,0,0.929278895596165,0,0.9059082367813,0.927822076906626,0.94700124127704,0.927692534976346,0,0.907011034928113,0,0.90589959229007,0.901667233197986,0,0,0,0,0,0,0,0.9059082367813,0,0,0,0.905806512908175,0.927644632082371,0,0.92842680132586,0.905172209864435,0,0,0.949303292981482,0,0,0,0.947073346196839,0.947073346196839,0.947073346196839,0.947073346196839,0.947073346196839,0,0,0,0.901051641616391,0,0,0.927903224401992
"Lewis blood group biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.610503839028856,0,0,0,0.563500540312735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.612923878977796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607988201529337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614180391532411,0,0.663696111944339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transmission across Chemical Synapses",0.901117705053617,0.891275888445547,0.892283251553809,0.881242701177026,0.891137585393611,0,0.90196722745092,0.891325245901523,0.880224026996733,0,0.87991208967509,0.880348574254764,0.891956144689613,0.892159012946719,0.880348574254764,0.892462350191928,0.880224026996733,0.892605398410223,0.891565416624123,0.892930048387197,0.880348574254764,0.880224026996733,0,0.881988031673921,0.88043206996736,0.880580580673873,0.90139444513246,0.891422499813701,0,0.891967673208196,0.879787423447766,0.880815232672276,0.901273314306246,0.880989344519034,0.881481698612303,0,0.901053698085071,0.902212851122126,0,0.901240595065616,0.891326544570947,0.880612025885109,0.892914809909011,0.87972599252959,0.881210152893992,0.87972599252959,0,0,0,0.892553933168435,0.900843686241294,0.882382951895639,0.892563675208043,0.891284276407437,0.89154688120907,0.8800366091636,0.9020472884416,0.891838586586925,0.891045213084378,0.891236620244469,0.891851110378352,0.892087965288299,0.901710098207932,0.891303269761113,0.892749303372519,0.891732524055099,0.890386382637359,0.902527252339197,0.891530213111187,0.891270685649242,0.891554570977011,0.89150228639819,0.902311928683727,0.891339722795823,0.901433231451868,0.891028468399081,0.879751547078323,0.890745647945307,0.901213061049524,0.891609530262292,0.880408055369253,0,0.892381407863816,0,0.891001056961054,0.89215901294672,0.892289824887308,0.892030280896754,0.891654249596927,0.89216067651403,0,0.890747821710204,0.890862608589589,0.901745059070979,0,0.902691920068205,0,0,0,0.892607261105063,0.90129237229505,0.901019486690513,0,0.901802316666791,0.891551873937154,0.880065047200811,0.901497202922202,0,0.89116633400679,0,0.892097749177749,0.879903863530516,0.891244139198945,0.902123069225995,0.891886661766215,0.901082126695072,0.891024044816878,0.890686259555909,0.90255740094656,0,0,0.891729563197551,0.892422042028228,0.893498835652252,0.880772918417519,0,0.901328445632238,0.891462389432714,0.88131445678758,0.891469490661169,0.881078312943165,0.890747821710204,0.89019305755848,0.881211739436131,0,0,0.892067507170381,0,0,0.891401237767609,0,0.891264492975021,0.891198369510502,0.901408666020931,0.901433671009374,0,0,0.891362904627926,0.890816896569194,0.890977769026593,0,0.890563017788988,0.881503813131649,0.891530213111187,0.881636596556727,0.881254411071502,0.892553933168435,0,0.901082126695072,0.901336796396281,0.880146955021691,0.901216428456518,0,0.89131441044182,0.891158196642297,0.891843298249936,0.89266734069815,0.901084784316912,0.890779085421195,0.891223947652213,0,0.891786718664841,0.881708669914305,0,0.891924912500182,0.892566868760475,0.881534526074796,0.890741325383857,0.902197465107829,0.881314629792584,0.891827439124703,0.892494815393531,0.891774438435425,0,0.892289824887307,0.90305564233731,0.890747821710204,0.90178252418596,0.912115609083956,0.891684126129191,0.881203096452322,0.88214541826494,0,0.890743482525021,0.902148875895609,0,0.892381407863816,0.8797102881061,0,0,0.891561535501623,0.890851200123436,0.890747821710204,0.880689701781788,0,0.89054671297404,0.891780783921812,0.89116633400679,0.891909723329411,0.890457988995315,0.891744324842456,0.892042734421905,0.891565981824645,0.902513788282735,0.891474381358329,0.881688922901308,0.90196722745092,0.90139444513246,0.90139444513246,0.902208152208311,0.90139444513246,0.90139444513246,0,0,0.881395582731193,0.890566061128283,0,0.891685227971811,0.891447772701594
"Activation of Matrix Metalloproteinases",0.815556716390904,0,0,0,0,0,0,0.747909182154117,0,0,0,0,0,0,0,0.750299094354455,0,0.746050232520735,0,0.784167415754888,0,0,0,0,0.748047839287834,0.753698658073529,0,0,0,0.784227037964238,0,0,0.742518719168009,0,0.785553203849591,0,0.815343074562742,0.742938712432925,0,0.742409509209423,0.747213578427489,0,0.748169376549047,0.749712263319719,0,0.749712263319719,0,0,0,0,0.814642099102424,0.790126529265777,0,0,0.78561477995531,0,0.815943487202383,0,0,0,0.785202621361665,0,0.817534000417216,0.744779680466999,0.751256883849741,0,0,0,0.78371582101993,0.783265285426925,0.75052311164647,0,0,0,0.744190640975545,0.817823972137059,0,0.742080875665599,0.742317606442142,0.747241495559718,0.753122804813791,0,0.752131238944898,0,0.816822199426333,0,0.749723241094717,0,0,0,0,0.742088131236625,0,0,0,0.785284826123519,0,0,0,0,0.708641748045327,0.815228884107495,0,0.785160819574188,0,0,0,0,0.783513142225307,0,0,0,0,0.784158315098213,0.750647173485277,0.815437963296747,0.745123477875132,0.782564208030937,0.747942882824614,0,0,0.784381209771538,0,0,0,0,0,0,0,0,0,0.742088131236625,0,0,0,0,0.784560262778324,0,0,0,0,0.784902066903111,0,0.742970494785993,0.815982692690292,0,0,0.784169253705297,0.748696765197932,0.748149163467151,0,0.781499399305446,0.786117743686601,0.78371582101993,0.786070220680367,0,0,0,0.815437963296747,0,0,0.815886234391167,0,0.817536673766604,0,0.785863691000104,0,0.815446833880707,0,0,0,0.746118049919517,0,0,0,0,0.751196713984081,0.742066447862635,0,0.78532215814245,0.785160819574188,0.789168739770492,0,0,0,0,0.742088131236625,0,0.745829558720673,0.785160819574188,0.751514308458679,0.750521048060903,0,0.74207364794713,0,0,0,0,0,0.74743018424062,0,0,0.742088131236625,0,0,0,0.747142843185304,0.783513142225307,0,0,0.786663759812959,0.784477576542852,0.78342492179735,0,0.783119178664554,0.748294175281994,0.744834855616612,0,0,0,0,0,0,0,0,0.742029377198931,0.748838411269602,0.786236667251578,0.750096435261956
"Muscle contraction",0.879030556239145,0.864327612274471,0,0,0.877805723581124,0,0.87937533239667,0.864587593260226,0,0,0.865143331173759,0,0.86610777137447,0,0,0.867033706904902,0,0.864428618551962,0.863890775362048,0.865578904927456,0,0,0.866214638640364,0.867557244821456,0.865996407094038,0.866624142170995,0.879248370577041,0.864502262928702,0,0.879014190160509,0,0,0.864699360962268,0.866343205005623,0,0,0.879142500039729,0.864863887364089,0,0.87890889346646,0.878020418315694,0.864212373388697,0.866671979264638,0.865922531127934,0.851252866482775,0.865922531127934,0,0,0,0.881070015513867,0.878011864949008,0.86777429499732,0.865994386185371,0.864338579802402,0.866098570106533,0.865416011993364,0.878326030315267,0.86650727601811,0.86321645830095,0.865776553457646,0.865062684924076,0.879538703557132,0.878580451749606,0.877809733796323,0.867408907348635,0.866505389456134,0.87829859671714,0.865465358426508,0.864981612006577,0.877447102066075,0.866158623710414,0.879757676506273,0.86641041214637,0.863896193196865,0.87821843962792,0.878689683172664,0,0.863735635465292,0.864620577905702,0.877991244775364,0.866398559827857,0.867192970400203,0.866397345764454,0,0.878179894019858,0.865740738782468,0.866808124561764,0.865838363629557,0,0.864838630304883,0,0.863738477732285,0,0.892849385659382,0,0.878819388019278,0,0,0,0,0.877858243227492,0.878241729648258,0,0.878652381400601,0,0.865343328021345,0.878257183228231,0,0.87804479163024,0,0.86590581923991,0.865338736178533,0.864903758105154,0.878378093310319,0.87966842803055,0.878323633453811,0.877944411552469,0.881449045510571,0.866110694472756,0,0.866056414199468,0.865671387590035,0.866538276602819,0,0.865932282031426,0,0.892214613883489,0.865738421643792,0.866908374168276,0.878513787851175,0,0.863738477732285,0.878045818005188,0,0,0,0.864923978223983,0,0.866838071949717,0.879562829480978,0,0.879173024619072,0.865468532464038,0.864876337649912,0.878213797715457,0,0,0.880669488849328,0.878798784710728,0.865897693688981,0,0.878637689481122,0.880659649953439,0.864981612006577,0,0,0,0,0.878323633453811,0.879172993014225,0.866896657589533,0.878303602338892,0.866112764146332,0.87904813009423,0.865460615783856,0.86666603649172,0,0.878327108379204,0.893746296087253,0.879393739710787,0,0.865796004983421,0,0,0,0.866126500794836,0.867239749446504,0.863729983578212,0.879486606713898,0.880347990605886,0.878770810213231,0.866785080351641,0.880490563038919,0,0,0.864874120517791,0.863738477732285,0.864921141505222,0.878120400786832,0.865588356808744,0.880008115851724,0,0,0.863732804109143,0.893377389048215,0,0.86751823000734,0.863592418909707,0,0.865054096306527,0.865591807264471,0.86531233013865,0.863738477732285,0.864150509813762,0,0.879056110629518,0.866510795929668,0.877220622556846,0.86434096737016,0.879949619033552,0.879058121367718,0.864891587064555,0.865697653257407,0.879631302177783,0.865577882723632,0.879325506831702,0.863952511895984,0.879248370577041,0.879248370577041,0.879248370577041,0.879248370577041,0.879248370577041,0,0,0,0.87847223331622,0.865605749262372,0.866342185630258,0.879523943029444
"Degradation of the extracellular matrix",0.763452628166587,0.74532883038101,0,0,0.764701032354559,0,0,0.74483476371662,0,0,0.728391673808549,0,0.728261752952683,0,0,0.767355823803214,0,0.745812494114248,0.765961759163113,0.76506019381837,0,0,0,0.768581007607826,0.745619322013665,0.747113487859892,0.744776739274934,0.764780122554201,0,0.765095216537425,0,0,0.763403409948082,0,0.765252766947582,0,0.78193172899471,0.763629499657845,0,0.763344620320004,0.764119054314974,0.766883215589256,0.746325986007385,0.765300041026383,0,0.765300041026383,0,0,0,0,0.762960273706242,0.768271015740729,0,0.745343901793131,0.765842262288385,0,0.763660833649428,0.767210711862762,0.763903522719746,0.726968918103529,0.765396604760998,0.766355960691368,0.802353670582791,0.762808844534373,0.767871418616493,0.765321122700434,0.724830125009883,0,0.78339774535954,0.783530054074735,0.745404035756712,0.765881880300232,0.767086985186748,0.745924184437581,0.764067536664102,0.783181032979194,0,0.743930713201739,0.763295147455278,0.745185253101881,0.746803495992793,0,0.7478247254459,0,0.781143434012379,0.76579683752586,0.767045831936115,0.727702952125843,0,0.745948375024837,0.727992441091375,0.743934619002342,0,0,0,0.766137250591985,0,0.747511557702722,0,0,0.744593335747443,0.781870258278293,0,0.765064110261625,0.725818274851235,0,0.725627618994212,0,0.763976301399768,0,0,0.725759465922008,0,0.765530830032344,0.746461443344455,0.781982809257474,0.763552717510496,0.764200086142704,0.766087433985039,0,0,0.764857286207251,0,0,0,0,0,0.766580406257591,0,0.765717299431899,0,0.743934619002342,0.724482760301321,0,0.747776143729664,0,0.76527459727468,0,0,0,0,0.745147536432288,0.726900189539529,0.763646608653586,0.78283826007491,0,0,0.783658218217139,0.76463432967765,0.765499447412068,0,0.763451069242463,0.765560415610997,0.783352425012305,0.765531086137381,0,0,0,0.781982809257474,0.744673156560482,0.727783866154545,0.76363001346122,0,0.784445470878306,0.72625972590238,0.765976255451075,0,0.781987584447746,0.744659229088967,0,0,0.765105094561188,0,0,0,0,0.746496549062432,0.743922946463419,0.726309759005286,0.765132138017535,0.765536718475582,0.767755420927449,0,0,0.766718660146536,0,0.743934619002342,0.765404731600222,0.764332410285717,0.765391606535131,0.747462014470408,0.748036060273665,0,0.743926822394654,0,0,0,0.744945741722223,0,0.745286827514292,0.727552722823863,0.726276398804984,0.743934619002342,0,0,0.763844942361922,0.745773385169091,0.783218829335471,0.766580406257591,0.728936421657197,0.76640694646638,0.765230085829995,0.783702181733897,0.727454210140778,0.783537594865654,0.745751928981624,0.745158235499979,0.744776739274934,0.744776739274934,0.744776739274934,0.744776739274934,0.744776739274934,0,0,0,0.763042586929363,0.746044900718933,0.76617703508134,0.764241202709463
"Blood group systems biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66159192415441,0,0,0,0.61458862543829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664011964103351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659076286654891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665268476657966,0,0.71863530264807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neurotransmitter receptors and postsynaptic signal transmission",0.897021378822131,0.884912997774945,0.886152356000512,0,0.88474284361342,0,0.898066545716039,0.884973722223316,0.871315899288756,0,0.870932122989756,0.871469129705322,0.872674871263006,0.885999505317011,0.871469129705322,0.886426357581198,0.871315899288756,0.871655864042591,0.885269204118725,0.886948109755196,0.871469129705322,0.871315899288756,0,0.873486153180999,0.871571854430253,0.871754567063063,0.897361851974508,0.885093373652914,0,0.884895607673493,0.870778746205338,0,0.884634288782368,0,0.872863211920149,0,0.896942631087267,0.884191880182549,0,0.884136342682634,0.884975319975525,0.871833756411105,0.886929361864656,0.870703167783697,0,0.870703167783697,0,0,0,0.886485375428009,0.896684253642317,0.873972023291996,0.886497361053475,0.884923317479408,0.885246400008746,0.870665362500515,0.89716394137918,0.88562015756555,0.884629198016987,0.872551174643697,0.885620692972538,0.885912095425637,0.897750199763207,0.884946684991,0.886779395906505,0.88438533502412,0.883936675008321,0.871462025921636,0.885225893257957,0.884654397081401,0.885255860725611,0.885250552886579,0.898490631435218,0.884991533137657,0.897409570759922,0.884608597040749,0.870734607529614,0.884260643206758,0.884560159236902,0.885323477101204,0.871542309284666,0,0.872766679162683,0,0.884574872765051,0.885999505317012,0.886214099802801,0.88584112635345,0.88537849527168,0.886001552002874,0,0.884263317588402,0.884463557663806,0.897793212091965,0,0.898958134606749,0,0,0,0.886550984756333,0.8972362718241,0.896900540829142,0,0.897863656077618,0.885252542559099,0.871120306541555,0.897488274821357,0,0.884778213014907,0,0.88485974520954,0.87092200236904,0.884873936695967,0.898258277758084,0.885664431823621,0.896977606789035,0.884603154710227,0.884187577707037,0.898792635812384,0,0,0.870835532365248,0.886323109837625,0,0,0,0.897280652829123,0.885142449827168,0.872697956727482,0.884997956047694,0,0.884263317588402,0.883698827280176,0.872483399115171,0,0,0.88501843333706,0,0,0.885067214970406,0,0.884759452718892,0.871742580916401,0.884203595062235,0.897410111547259,0,0,0.885020053731736,0.884348300345826,0.884561094239368,0,0.8840359534354,0.872989780516738,0.885225893257957,0.873053782767911,0,0.886485375428008,0,0.896977606789035,0.897290926769096,0.860282137622302,0.897142838165279,0,0.884960391363768,0.884768201620268,0.884931704948908,0.886624900643535,0.896980876459585,0.884301781313206,0.884908112894991,0,0.885541471886176,0,0,0.88571149167859,0.886501290079106,0.87245261851505,0.884255325162009,0.898349806966712,0.872696530079635,0.885591570243424,0.873709310594593,0.885526363527317,0,0.885401343389766,0.872034917614444,0.884263317588402,0.885260769390787,0.910552093528856,0.885415252351333,0.872520447850469,0.873679785809167,0,0.884257979091484,0.89829002768817,0,0.886273117649612,0,0,0,0.872189383816616,0.870516694139716,0.884263317588402,0,0,0.870868565138336,0.885380487900747,0.884778213014907,0.885692804450935,0.883906736573779,0.885023678356587,0.884987955439525,0.885269899484587,0.898738979178339,0.885157203486032,0.873118159838143,0.885488009706458,0.897361851974508,0.897361851974508,0.897361851974508,0.897361851974508,0.897361851974508,0,0,0.872873526512065,0.8840396976539,0,0.885416607947648,0.885124466871669
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",0.634819060655899,0.642261758037421,0.84096262193275,0,0.641021907524473,0,0,0,0,0,0,0,0,0.650513583801873,0,0,0,0,0,0,0,0,0,0,0.648534012966087,0,0,0,0,0.732006402661613,0,0,0,0,0,0,0.634905855305243,0,0,0,0,0,0,0.646976016139459,0,0.646976016139459,0,0,0,0,0.63236255401878,0.658833643964072,0,0.642336953911306,0.735277708727577,0,0.635857861340522,0,0,0,0,0.647004306160555,0.640129709596482,0,0,0,0.636531804709137,0,0,0,0.648188139093915,0.646535588652422,0,0.644898036296291,0.739767207269039,0.649508239323279,0,0,0,0.642715261890717,0,0,0,0,0.738871289553323,0,0.752292536735858,0,0,0,0,0,0.651588973249068,0,0,0.642075763633403,0,0,0,0.650110932842955,0.638592150885583,0.633938558843611,0,0.64440588056148,0,0,0,0,0.639980499154042,0.666048750869364,0,0.644821618918911,0,0.641713323871383,0,0.634500110021957,0,0.637431823138383,0,0,0,0,0,0,0.644441308080838,0,0.638187639074809,0,0,0,0,0,0.634798696185077,0.747752987208147,0,0,0.732901387895073,0,0,0.645199672989991,0,0.743021379375979,0,0,0.635533050041293,0,0,0,0.640689107516067,0,0,0.726159773185233,0,0,0,0,0,0,0.634500110021957,0,0,0.635704090017242,0,0,0,0,0.650649530605363,0.634523934903301,0,0.644040354945422,0,0.639270386994931,0,0,0,0,0,0,0,0,0.64440588056148,0.653623829221428,0.649172265912328,0,0,0,0,0,0.633584096509697,0,0.651181699021351,0.655170473235674,0,0,0,0,0,0,0,0.64322204762812,0,0,0,0.646641689047543,0,0,0,0,0,0,0.646439945533545,0.732679306715551,0,0,0,0.736834914549193,0,0,0,0,0,0,0,0,0,0,0.647004306160555,0.645748780614816,0.647823185323095
"GPCR downstream signalling",0.936535667251373,0.931155390523234,0,0,0.931082563880086,0,0.924781182383488,0.931052136498338,0.925818143789338,0.925405874437502,0.925186521586897,0.925883727003799,0.931182901551205,0.925487938357204,0.925883727003799,0.925901786557187,0.925818143789338,0.925168320787706,0.931074448183456,0.931283702780995,0.925883727003799,0.925818143789338,0,0.925858405433947,0.925215376356743,0.925400260754228,0.916516666581389,0.930710554115386,0,0.931107237535013,0.924908735533042,0,0.936222624014596,0.925161871586146,0.925037824685127,0.92491611971949,0.936485520371122,0.936288882549358,0,0.936205394948223,0.930777133825046,0.925574402071777,0.931449543712284,0.925075363095406,0.925100694135943,0.925075363095406,0,0,0,0.931631233949779,0.936395807009107,0.931810416774358,0.931570780629651,0.931159807396895,0.931075687781825,0.924444582733755,0.936586467704155,0.931052125735698,0.93069827880221,0.930804019456638,0.931195563280177,0.931365311242544,0.936452622593047,0.930441384896659,0.926052888333977,0.930726042953073,0.930515120385926,0.931002600980096,0.92503391729001,0.930847568093685,0.9308510164414,0.93110272509775,0.931149694143048,0.925239664543417,0.936306832054363,0.930958276085293,0.924889844008103,0.930679039903366,0.936190896280722,0.931133936945333,0.925309413599247,0,0.931385867878316,0,0.936262776942476,0.931215489135977,0.925810939402206,0.931019137689288,0.936541147287489,0.930979845394829,0.92518633021011,0.930680184549114,0.925073256146628,0.936821254484791,0,0.930795048867256,0,0,0,0.931659314997567,0.936211598029702,0.936486643387436,0,0.930815327197598,0.931199458640399,0.92584334062367,0.93631945629299,0,0.930864302080734,0.925922598106609,0.930900555484159,0.924927738226978,0.931131559825171,0.930728268688974,0.931214283678614,0.936517441381798,0.930751233837732,0.930594426669371,0.931152690857645,0,0,0.925764045591655,0.931287596837779,0,0.930944825278979,0,0.936251654678403,0.930977459472692,0.925649225910657,0.930735298223573,0,0.930680184549114,0.930413320632891,0.925209857492427,0.925901588093753,0,0.931159807396895,0,0.919640863580993,0.931024255756319,0.92511322175042,0.930867272447213,0.930783877655617,0.936293896563443,0.936026192508639,0,0,0.93096781084846,0.936355830987821,0.930629280656006,0,0.930676922680013,0.931275206471071,0.92503391729001,0.925119389749419,0.925569553964099,0,0,0.936517441381798,0.936610665325935,0.925897909210055,0.936581751201419,0,0.930782641035401,0.930788334427817,0.930881453569928,0.931690951284872,0.913315905455659,0.930567643315823,0.930956159449026,0,0.931227239561448,0,0,0.925074140972892,0.931499541488505,0.925570854289391,0.930676763759523,0.930841921471427,0.931149694143047,0.931098121435662,0.931345587944709,0.931372574040927,0.924985409738215,0.931188325425673,0.930957310241697,0.930680184549114,0.93080326154836,0.93626734957685,0.9308388069913,0.931189136837772,0.931436435099689,0,0.930677899651663,0.93092067768928,0,0.931568467842587,0.925552555653339,0,0.925117934512229,0.930975111035275,0.930601067654609,0.930680184549114,0,0,0.930440732964508,0.931312856705832,0.930864302080734,0.931255750773734,0.930526663112064,0.930950399937041,0.93114676273817,0.93111100551697,0.936875824029745,0.931062771191124,0.93104439755734,0.930783139147896,0.936645242250376,0.936645242250376,0.936645242250376,0.936645242250376,0.936645242250376,0,0,0.925426588032493,0.930701581490006,0.925340097740423,0.931173797309954,0.930795134394949
"Bile acid and bile salt metabolism",0.645112981728816,0.649270361081647,0.760048070860038,0,0.648580016864046,0,0,0.553191999993763,0,0,0,0,0,0.653363224848109,0,0,0,0.654384834484152,0,0,0,0,0,0,0.648720749880523,0,0,0,0,0.646400637883923,0,0,0,0,0,0,0.645174621423227,0,0,0,0,0,0,0.651881929948027,0,0.651881929948027,0,0.654176571752697,0,0,0.643745207844204,0.658497526376762,0,0.649312229868394,0.65545148604022,0,0.645691382139495,0,0,0,0,0.651929867133365,0.648069931578458,0,0,0,0.646832165414268,0,0,0.552619771447467,0.652556835562767,0.651668886944182,0,0.655300498697675,0.703702835179398,0.646068313013839,0,0,0,0.649541743016953,0,0,0,0,0.703203991481685,0,0.71067689268122,0,0,0,0,0,0.647286266868865,0,0,0.649153487327717,0,0,0,0.70524908721573,0.647574066670026,0.644622721549583,0,0.650450887885954,0,0,0.648596485460225,0,0.647986851751439,0.655337418006619,0.651850886698458,0.646653702492826,0,0.64895168219772,0,0.644935391185809,0.54902608971518,0.646567758294949,0,0,0,0,0,0,0.650502799204145,0,0.647020779241241,0,0,0,0,0,0.645867176945445,0.708149288156127,0,0,0.646898962378937,0,0,0.650925054003734,0,0.705514746271618,0,0,0.645510528399551,0,0,0,0.64839471504014,0,0,0.643804409872798,0,0,0,0,0,0,0.644935391185809,0,0,0.645605762830755,0,0,0,0,0.705548976474159,0.644948656792347,0,0.650279549969118,0,0.64762364931144,0,0,0,0,0,0,0,0,0.650450887885954,0.655583407886618,0.653104793765296,0,0,0.606674265811097,0,0,0.644425358222294,0,0.649791846904695,0.656444573600364,0,0,0,0,0,0,0,0.649823919456552,0,0,0,0.65824261538652,0,0,0,0,0,0,0.651596760553099,0.646775308392815,0,0,0,0.649089135591023,0.701114711040991,0,0,0,0,0,0,0,0,0,0.651929867133365,0.651198609709639,0.647921838797176
