"","PNISR","USP45","CCNC","CD109","MCHR2","SIM1","ASCC3","COL12A1","GRIK2","HACE1","LIN28B","PREP","COX7A2","PRDM1","ATG5","RPS6KA2","QRSL1","BEND3","PDSS2","SEC63","MYO6","OSTM1","NR2E1","SNX3","FOXO3","HTR1B","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK"
"Peptide hormone metabolism",0,0.714425801359495,0.730822165854553,0,0.743957148749979,0.699544675454936,0,0.714645479314368,0.712775066977027,0.72832151725594,0.714072735701867,0,0.713018852744388,0.716676288218056,0,0.729570326316833,0,0,0,0.696300187989502,0.728871520777829,0,0.732483456010309,0.730791192984891,0.729453020395988,0.744319426322461,0.715865868705729,0,0,0.730508778697414,0,0.731862268977554,0.730618939119695,0,0.729559053894119,0.6981364722169,0,0.745333841430944,0,0.728324819993615,0.729451966824043,0.731096435002941,0,0,0.730973849869991,0,0,0.730747468429774,0.695208918440619,0.730032383424891,0.713274465887574,0.729884323239235,0.743991129920737,0,0,0.730412296245133,0.729859642108741,0,0.730087974090773,0,0.729345643981048,0.731299249352796,0.714645479314368,0.731426282969167,0.714227858411365,0.714797715248075,0,0.744319426322461,0.797124534097509,0,0.744660640994567,0,0.729878011014445,0.712732891035605,0.73144997289067,0,0.744323464214411,0.7300189119977,0.73055098472301,0,0.729742560332091,0,0,0.730205558052767,0.713222440767311,0.731447442879926,0.728314949716565,0.730529595272275,0.730937098621939,0.729959170996753,0.731338284742142,0,0,0.714396438931731,0.744728918490067,0.728324819993615,0.729613279530317,0.728368023317275,0.729760694574103,0.730880059935822,0.732236702481493,0,0.728318227196757,0.730543456632566,0,0.713340294987367,0.730219992153019,0,0.730412296245133,0.713826246810596,0.712746989610819,0.728324819993615,0,0,0.728930009130907,0.7309801646461
"Heme degradation",0,0,0,0.802564994201763,0,0.808702990453656,0,0,0,0,0,0,0,0,0,0.799772131420703,0,0,0,0,0,0,0,0,0.798864370335303,0,0,0,0.808702990453656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.799141151623285,0,0,0.795071054750921,0,0,0,0.797566274707419,0,0,0,0,0,0,0,0,0,0,0,0.796523646334708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79956770622804,0.806174775473379,0,0,0,0,0,0,0.797590995252369,0,0.8022110037723,0,0,0,0,0,0,0,0,0,0,0,0,0.80121983778754,0,0,0
"ADP signalling through P2Y purinoceptor 12",0,0,0,0,0.916666929867857,0,0,0,0.878239849698012,0,0,0,0,0,0,0.876909968826569,0,0,0.827118722718941,0,0,0,0,0.825658845242762,0.873486408281968,0.917670746039331,0,0,0,0.879023483602198,0,0,0,0,0.872166538775946,0.831299572064333,0,0.876677945119087,0,0,0,0,0,0,0,0,0,0,0,0,0,0.876729662043169,0.874589381668798,0,0,0,0.873219537198596,0,0.8792510560391,0,0.875388682627836,0,0,0,0,0,0,0.917670746039331,0.918742886107877,0,0.91823614623825,0,0,0,0.825905082076696,0.827371653235392,0.917681934425104,0.875103319880144,0,0,0,0,0,0,0,0.882036310794529,0,0.874855761638412,0,0.874428821904403,0.882560645276129,0,0,0,0.878808869578991,0,0.877577258069459,0.918833209945565,0.877505492480309,0,0.883286963684024,0,0,0.876366483236708,0,0,0,0,0,0,0,0,0,0,0,0.881992206615629
"Transport of small molecules",0,0.91515112922887,0.912012292219541,0.912188605486299,0.914603576805986,0.912414576910771,0.912058293411832,0.911881849600926,0.912263770596837,0.914637631289687,0.912364376662132,0,0.909226842398246,0.912087402352729,0.912116253916557,0.912071534957261,0,0.909202278526233,0.909173846171426,0.909171105565834,0.9148865427547,0.914992904733161,0.912414576910771,0.91210445294952,0.914805317834845,0.914668059316487,0.912185258814021,0.912482033836286,0.909405709272527,0.912138804047991,0.912184755077186,0.909419879232577,0.912205068506201,0,0.914734672440228,0.912187525552294,0,0.912115128261431,0.909267612903792,0.914638219150579,0.911807384953404,0.912183258925676,0.91508844218688,0.912414576910771,0.91203929076116,0,0.912392411380859,0.912050013544331,0.90886185274554,0.914865578095216,0.914946200722947,0.91475636679609,0.915027389716985,0.90948796428531,0,0.912087949075194,0.911891987559789,0.912510476223966,0.912178238731661,0,0.912099233627523,0.912197517502728,0.911881849600926,0,0.909125334815897,0.909407334371107,0,0.914668059316487,0.914736930774422,0,0.914704379138084,0,0.911992850577205,0.91484980473067,0.912072573293094,0.908867483109979,0.91466877802896,0.90536501288132,0.912086173138216,0.912175585071784,0.912200917638836,0,0,0.911979872558872,0.912324777488178,0.912281403427102,0.914636462320204,0.912189166015908,0.912133057569022,0.912087949075194,0.912386217417299,0.912291186349004,0.909005263448855,0.912058999010993,0.914936586403293,0.914638219150579,0.911861240014765,0.914742732940175,0.912121630943127,0.9121509398578,0.912411033446208,0,0.914637045685466,0.912047385035509,0,0.912329507005693,0.912076844988364,0,0.912061487698348,0.915044413314246,0.914852314164301,0.914638219150579,0.912142688030457,0,0.911923074541164,0.915094418817266
"Stimuli-sensing channels",0,0.914388295815032,0.898879083273819,0.885765761681505,0.897827848187057,0.886789419065254,0.898704962872665,0,0.885567246327361,0.911784420400418,0,0,0,0.900367819119088,0.898998872393532,0.899077086763435,0,0.88425339741012,0,0.88301115466223,0.898721160647753,0.913324326976412,0,0.899299732289218,0.91317035026598,0.897613262037352,0.899636356943224,0.900853690626422,0,0.898808243033362,0.899636356943224,0,0,0,0.898247125343804,0.899070155923173,0,0.898451596516296,0,0.911787401359846,0.89743264157132,0,0,0.900792736711807,0.899015989059389,0,0,0.899023677766032,0.881398531875224,0.899156419664303,0.913349132348912,0.912386511358088,0.898204477811413,0,0,0.882739672313022,0.898111598971372,0.900997917951119,0.899558121902132,0,0.898478257986921,0,0,0,0.88301115466223,0,0,0.897613262037352,0.897962499458581,0,0.898339002554499,0,0.882257441281529,0.91286032190742,0.899379941134515,0,0.89761690652664,0.899212648662289,0.898846337021534,0.899299732289218,0.898886622314096,0,0,0,0.883807051481322,0,0.91177849272152,0.899132009383446,0,0.898721160647753,0.900367819119088,0.899885930014041,0.882125747266095,0.899576549380036,0.898974924911022,0.911787401359846,0.898573741483443,0.913732265987435,0.89885534254675,0.899921508973832,0,0,0.911781450884244,0.899076132328264,0,0.884930418347005,0.885589445532235,0,0.898721160647753,0.913847154507084,0.912873046890401,0.912903266181837,0,0,0.898130038486443,0.91410072533955
"G-protein beta:gamma signalling",0,0.895900235358162,0.846407526339939,0.850233282466755,0.925080747131509,0.853460275386471,0,0,0.891619499642631,0.888997340125955,0.851789878178129,0,0,0.851683422177713,0.890085909772436,0.892478493221847,0,0,0.84774063236083,0,0.892343429046608,0,0,0.846479975955655,0.891251531554487,0.925947578291545,0.849744309907603,0,0,0.892574285170162,0.894769621985443,0,0,0,0.890301853434146,0.894331344611385,0.895606632534876,0.928170009919885,0,0.88900524267402,0.888927554331791,0,0,0,0.846770464708328,0,0,0,0,0.848456422583144,0.893145404425966,0.890593488228021,0.925286477201763,0,0,0.892343429046608,0.887562369904409,0.853460275386471,0.893126519429892,0,0.889435504550122,0.893838463362952,0,0,0,0,0,0.925947578291545,0.926873409579931,0,0.926435821581742,0,0.891065030598882,0.891849563907985,0.893462659640553,0.847959046906454,0.925957239862751,0.892837868935455,0,0,0.847863213213377,0,0,0,0,0.89625595268075,0.888981625800233,0.89089478990248,0.892971935700239,0.892343429046608,0.896081532337551,0,0,0,0,0.88900524267402,0.889972981648728,0.890410209831335,0.892343429046608,0.849171005481131,0.896708734255553,0,0.888989467914051,0.890279870341547,0,0.896708734255553,0,0,0.892343429046608,0.894465665280955,0.891883297942977,0.88900524267402,0,0,0.890776359314295,0.895137883652321
"Thromboxane signalling through TP receptor",0,0,0,0.876025817898916,0.914126158141936,0,0,0,0.872829858136132,0,0,0,0,0,0,0.873552790652312,0,0,0.817885688605362,0,0.873384703855865,0,0,0.816316807025978,0.872025842032029,0.915204925864715,0,0,0,0.873672003327985,0,0,0,0,0.86653962294485,0.820637888741827,0,0.872495366337974,0,0,0,0,0,0,0,0,0,0,0,0,0,0.871206909887558,0.868906822031653,0,0,0.873384703855865,0.867434695917655,0,0.87570329143709,0,0.869765804084243,0,0,0,0,0,0,0.915204925864715,0.916357118998391,0,0.915812542580185,0,0.871793742379352,0,0.816581429529734,0.818157504586223,0.915216949649333,0.86969568354051,0,0,0,0,0,0,0,0.878253823017372,0,0.869429640963914,0,0.873384703855865,0.87635365666613,0,0,0,0,0,0.813921640956479,0.870978820695865,0.873384703855865,0,0.877134206807842,0,0,0.874555815277704,0,0,0,0,0,0,0,0,0,0,0.773639234257425,0.876862390826981
"Sealing of the nuclear envelope (NE) by ESCRT-III",0,0.880641919166977,0,0,0,0,0.832923598663269,0,0,0.872449888977721,0,0,0,0,0.877524650995252,0.877715955247572,0,0,0,0,0.875238663025507,0,0,0,0.876259855063235,0,0,0,0,0,0.880434958704452,0,0,0,0.823627635901823,0,0,0.876707594050229,0,0.872459267348701,0.828920759490338,0,0,0,0,0,0,0,0,0,0.877372615866884,0.874344122194189,0.873285553546361,0,0.880909706442978,0,0,0,0.87824378518084,0,0.875064168269331,0,0,0,0,0,0,0,0,0,0,0,0,0.876969571628416,0,0,0,0.878142445379049,0.826444297779658,0,0.833495115879498,0,0,0,0.88240154972051,0,0.872431239957797,0,0,0.922624857698693,0.882736205604879,0,0,0,0,0.872459267348701,0,0.874126616045221,0,0,0.883480539232175,0,0.872440546608265,0.833644936882705,0,0,0,0,0.878452048472094,0.878939439122624,0.875874807474479,0.872459267348701,0,0,0.874561144966389,0.879737196151634
"Adrenaline,noradrenaline inhibits insulin secretion",0,0,0,0,0.920342018052035,0,0,0,0.885059987217772,0,0,0,0,0,0,0.88415112346592,0,0,0.838117721608623,0,0.883695342785751,0,0,0.836777327233065,0.880591871890682,0.921263677281863,0,0,0,0.885779484911797,0,0,0,0,0.878742247432495,0.842621559835238,0,0.884107336638945,0,0,0.835754438377912,0,0,0,0,0,0,0.840239072351115,0,0.839086719745664,0,0.883673400280432,0.881708290315565,0,0,0,0.879506964664328,0,0.88636664862484,0,0.882442172800468,0,0,0,0,0,0,0.921263677281863,0.92224806846615,0,0.921782802522807,0,0.882648257703205,0,0.837003410909705,0.838349951125955,0.921273949958582,0.885392867491901,0.83973920419585,0,0,0,0,0,0,0.889027148973022,0,0.881859288349504,0,0.881654451673566,0.889508569504208,0,0,0,0.883912227175211,0,0.882781416427606,0.922330999784696,0.884867153710301,0,0.8901754426663,0,0,0.883339945701232,0,0,0,0,0,0,0,0,0,0,0,0.888505233952196
"IL-6-type cytokine receptor ligand interactions",0,0,0.834871040179543,0.77308426924478,0.830392653826955,0,0,0,0,0.831128314442714,0.77668883753093,0,0,0.843520375068728,0.770856961854066,0.836722459870602,0,0,0,0,0.835497513060486,0,0,0,0.83475075629636,0.83178563466896,0.840404259304444,0,0,0.770044858133654,0,0,0,0,0,0.839699956074825,0,0.835357039140411,0,0.831141013684003,0,0,0,0,0.832273035303898,0,0,0,0,0.836052526149582,0,0.832685392145458,0.89419796976165,0,0,0.835497513060486,0,0,0.838491436602097,0,0.831832436164051,0,0,0,0,0,0,0.83178563466896,0,0,0.832570232155574,0,0.834451052882188,0.835711782675808,0,0,0.83180116062628,0.837299969663993,0,0,0.837210300718556,0,0,0,0,0,0.831103061826421,0.836956436756463,0,0.836505414363676,0.843520375068728,0,0,0,0,0.831141013684003,0,0.832390867320893,0.836505414363676,0,0,0,0.831115663951047,0,0,0,0,0,0,0,0,0.831141013684003,0,0,0,0.839988147349003
"Glucuronidation",0,0,0.848130763042786,0,0,0,0,0,0,0,0,0,0,0,0,0.849626649462055,0,0,0,0,0,0,0.855647393459314,0,0,0,0,0,0.894314479475129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.848517573003152,0,0,0,0,0.849182339576905,0,0,0,0,0,0,0.890158663733399,0,0,0,0.846115516222423,0,0,0,0,0,0,0,0.847339200574821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.849482701693449,0.854135126683265,0,0,0,0,0,0,0,0,0.851076004852906,0,0,0,0,0,0,0,0,0,0,0,0,0.889045152762531,0,0,0
"Regulation of FZD by ubiquitination",0,0.917249286628257,0.869326730839542,0,0.866188075216698,0,0.870423812722,0,0,0.909474937851105,0,0,0,0.875388575764581,0.871301333632303,0.870624289461349,0,0.823934198828587,0,0.82022525471637,0.870141505550588,0,0,0.872199606164464,0.869242430456196,0.86716433916716,0.873204660958001,0.877169903084935,0,0.870732174629991,0.873204660958001,0,0,0,0.868172860560493,0.871844832322566,0,0.869667340883233,0,0.909483838053531,0.86662506355845,0,0,0.877269851672325,0.869735488232716,0,0,0.871375394632411,0.818754308963524,0.870154769622089,0.914146673048225,0.911272591100651,0.866419777606245,0,0,0,0.868982884310676,0.877269851672325,0.872570451130156,0,0.867197139770806,0.829696495284524,0,0,0.82022525471637,0,0,0.86716433916716,0.867876383089195,0,0.86738355195035,0,0,0.912687239606538,0.872108415811703,0,0.867175220459975,0,0.870845911235321,0.872199606164464,0.870966190382783,0,0,0,0.822601550996723,0,0.909457239675941,0.829717388365331,0.828720573146295,0.870472174157512,0.875388575764581,0,0.820925544212727,0.872413488169506,0.870899165413561,0.909483838053531,0.869701358532282,0.911066174788187,0.870472174157512,0.872439084418627,0,0,0.909466071814619,0.870919401058936,0,0,0,0,0.870472174157512,0.766981425995021,0.912725232382738,0.909483838053531,0,0,0.86870727026613,0.916390692103396
"DNA methylation",0,0,0,0,0,0,0,0,0,0,0.53866140585686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518690907365679,0,0,0,0,0,0,0,0,0,0,0,0,0.67919568532159,0,0,0,0,0,0,0,0,0.826557937960226,0,0,0.521655345565838,0.682580549007559,0,0,0,0,0,0,0,0.529504552099602,0,0.80489093985012,0,0,0,0,0,0,0,0,0,0,0,0,0.680003520350944,0,0,0,0,0,0,0.683416000766399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679515577700235,0,0,0,0,0,0,0
