"","CDC40","DDO","SLC22A16","CDK19","AMD1","GTF3C6","RPF2","REV3L","FYN","TUBE1","LAMA4","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","TRAPPC3L","RWDD1","KPNA5","GPRC6A","GOPC","NUS1","PLN","MCM9","ASF1A","MAN1A1","GJA1","HSF2","FABP7","CLVS2","RNF217","TPD52L1","HEY2","NCOA7","TRMT11","CENPW","RSPO3","RNF146","ECHDC1","PTPRK"
"Cardiac conduction",0.91265016722579,0,0,0.913074442384972,0.902992815294324,0.900794905165874,0,0.900794905165874,0.912784111366028,0,0.913867324669075,0,0.924128840575598,0.914506218230496,0,0,0,0,0.902986285860127,0.912697904524445,0.902793250844212,0,0.925500200749522,0,0.913999376145372,0,0.913867324669075,0.902937119984316,0.902408361519244,0,0.912862372559712,0.913153707798491,0.914393083521592,0,0,0.900553472615624,0.901192366177046,0.901715735280515,0.900687698763699,0.90273247196127
"Phase 0 - rapid depolarisation",0,0,0,0.905506828057509,0,0,0,0,0.904388921937021,0,0,0,0.931982982066958,0,0,0,0,0,0,0.904176688931906,0,0,0.905649371171668,0,0.907380787679835,0,0.905588481342974,0,0,0,0,0.905965611740546,0.907285988289676,0,0,0,0,0,0,0
"Neurotransmitter receptors and postsynaptic signal transmission",0.903884537622976,0.895545004739982,0,0.904915073346406,0,0.904951538125289,0,0.894991235422365,0.912939104409648,0,0.904916284608299,0,0.913862047572306,0.895175194950379,0.905070151797528,0.895971372459732,0.906011627834455,0,0.896575356529885,0.913229857045087,0.904850242973174,0.894864421896574,0.913974417374905,0,0.905306050108198,0.904684806513267,0.906056561375116,0.905852962934892,0.90529475645263,0.905201302597993,0.904350616461369,0.905329948713955,0.905106234553463,0.906011627834454,0,0,0.895325225242772,0.894074872291803,0,0.905455580774482
"Unblocking of NMDA receptors, glutamate binding and activation",0.843832364556277,0,0,0.887190841722439,0,0,0,0,0.921359391017205,0,0.848721964863378,0,0.922032587195283,0,0.888747411566121,0,0.891765517599455,0,0,0.885154063257324,0.851142864697785,0,0.887378423759493,0,0.889656910780814,0.890146908688959,0.88922909238429,0,0,0,0.845466136060335,0.888847924758665,0.88953215790992,0,0,0,0,0.848273185815965,0,0.851447476497116
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.551439279136258,0,0,0,0,0,0.550574927505088,0.550281634485232,0.619678176075404,0,0.590650345127346,0,0.569665222946771,0.550819322040083,0.57083014610033,0.551521618496021,0,0,0,0.570105267877009,0.550737389633802,0,0.550944501762121,0,0.565797410668434,0,0.571068464571184,0.572457736155795,0,0.551716293959563,0.569457596725845,0.550433437223983,0.572432373637794,0.553844282827567,0,0,0.550918736648319,0.550090739966423,0,0.571699709957091
"Signaling Pathways",0.892904128374766,0.891537698290916,0.890037567907317,0.893031439493856,0.891458030557142,0.891732367082203,0.891436927317861,0.891711768281355,0.895674207907292,0.888805293816463,0.893145629223317,0,0.897378755120228,0.892819635881478,0.893039374667813,0.891534819754645,0.890041224132596,0.888749617545718,0.891437034357563,0.892961456579703,0.891753907558328,0.891472235377942,0.895778770048693,0.891410482185007,0.89134168068706,0.891363961053404,0.89310568595952,0.893209985100188,0.891585608323611,0.891716369273035,0.891481216863564,0.891311435531573,0.891834515032337,0.893232006799936,0,0.893056714777093,0.889409123612071,0.891684699631144,0.891516200875259,0.893188737210429
"Interaction between L1 and Ankyrins",0,0,0,0,0,0,0,0,0.943174146009639,0,0.917641176104998,0,0.915906496713859,0,0,0,0,0,0,0.886395090450056,0,0,0.917178998694032,0,0.918451837800729,0.91688205362128,0.916166319792444,0,0,0,0,0.915869076691914,0,0,0,0,0,0,0,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.891889877906535,0
"Synaptic adhesion-like molecules",0.735476038284452,0,0,0,0,0,0,0,0.8255794948236,0,0,0,0.780938769036034,0,0.786349893782618,0,0.789980433773749,0,0,0.738902183543682,0.741650748290953,0,0.785824990119608,0,0,0.788033376806679,0.786929317253499,0,0,0,0,0.786470803108247,0,0,0,0,0,0,0,0
"Transport of small molecules",0.879253624989968,0.875843155000557,0.883857105419868,0.88351763590158,0.876107727631013,0.879740473931819,0.875122835103907,0.879160639925665,0.886620677668561,0,0.879791871091088,0,0.883290482692685,0.879940320468034,0.87573065277943,0,0.871957508297834,0,0,0.883336755519945,0.879509762499911,0.875726747269121,0.883677464479766,0.875406856318196,0.879944927160838,0.875838635102284,0.879678502852865,0.880166390503069,0.88014116029706,0.87975264793995,0.878997303907517,0.879484713093787,0.879802106061673,0.880229603699446,0,0.875252270874387,0.879293703786439,0.87903343721364,0.875918748844604,0.879789200052793
"IL-6-type cytokine receptor ligand interactions",0,0,0,0.875649855111826,0,0,0,0,0.87380589382901,0,0.830653861049554,0,0.875332204657101,0,0,0,0,0,0,0.873860627024153,0,0,0.830696419776241,0,0.8792093822698,0,0.878701193644568,0.883758637602842,0,0,0.873170385199179,0,0,0,0,0,0,0,0,0.833756448014799
"Drug ADME",0.696473029758298,0.681878854097521,0,0.697912033726803,0,0.698173044302533,0,0.698173044302533,0.70962851135228,0,0.695772074552098,0,0.697003627715433,0.683890841482693,0.682836415582307,0,0,0,0,0.693994299084594,0.695106536965521,0,0.682280917312787,0,0.683279776688484,0,0.695603848369276,0.684041333826629,0.698688975982804,0,0.693635831831443,0.682346018084256,0.698879577412966,0,0,0.694981295813819,0,0.682681785982778,0.698615632290472,0.69585481218066
"Molecules associated with elastic fibres",0.681419273232555,0,0,0.686097923950019,0,0,0,0.688027326191748,0.68617705953673,0,0.7380676022964,0,0.690599628069724,0.69580941835903,0.683687111540795,0.634748197065925,0,0,0,0.628288518623783,0.687162122509118,0,0.687619822358578,0,0.585978817160236,0,0.686133576543582,0.691317916001875,0,0,0.682541351935383,0.628199967669043,0.688447709269561,0,0,0,0.689776754715585,0.686354955861963,0,0.690667486262062
"Potassium Channels",0.873886449758349,0,0,0,0,0,0,0,0.888280528115058,0,0,0,0.888556757235581,0,0,0,0,0,0,0.903364342608689,0.871446193070359,0.871953023015664,0.889226318791481,0,0,0,0.872528624326011,0.891467515262583,0,0.890628027368027,0.872376539916335,0.88956411066781,0,0.891718522461766,0,0,0,0,0,0.890838858367674
"Phase II - Conjugation of compounds",-0.0133497452546818,0.668547733953429,0,0.666586469255109,0.671505863654756,0,0,0,0.664689261341079,0,0,0,0.665774838888759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667675129319987,0.670362937765214,0.668099707258727,0,0.615961280378684,0,0.667669795832183,0,0.689136359972211,0,0,0.667467479335805,0.685279459708425,0
"Interleukin-6 family signaling",0.837104755765158,0,0,0.881890337357111,0,0,0,0.841573833965555,0.880990035656931,0,0.841286549446248,0,0.882391396328966,0.842885570443033,0,0,0,0,0,0.88054167510363,0.842595955649807,0,0.841376505202077,0,0.885951172047605,0,0.884817424655014,0.889460845204557,0,0.843150372235488,0.875723547184554,0.840322549177251,0.843345832800663,0,0,0.842247934302555,0.842978209167603,0.840609698389269,0,0.882579999575798
"Trafficking and processing of endosomal TLR",0,0,0,0.701346710951958,0,0,0,0.789803015154122,0.780069546345784,0,0.703723658670073,0,0,0.708418234610104,0.70170118303853,0,0,0,0,0.696356808088369,0.789544990767737,0,0,0,0,0.703173935894602,0,0.71245010148268,0,0,0.780644607888256,0,0,0,0,0,0.792723549986243,0.787011122982599,0,0.794210557012884
"Arachidonic acid metabolism",0,0,0,0.833275157929668,0,0,0,0,0.856770846986322,0,0,0,0.831726551859328,0,0,0,0,0,0,0.857560566066169,0,0,0,0,0.833009631647409,0,0.858812196818293,0.836724016823306,0.833794242912638,0,0.830474259919465,0.832214854761617,0.834924579011162,0,0,0.804972978434386,0,0,0.858804958343706,0.832074244671579
"Trafficking of AMPA receptors",0.840301465466489,0,0,0.883713809965313,0,0.845011996855611,0,0.83949708052627,0.882357180576581,0,0.885169490059742,0,0.923937554647846,0.842101125865572,0.885123607581077,0,0.889279980904652,0,0,0.882434643414026,0.842445351069301,0,0.884716942903832,0,0.886165037640991,0.883422407766054,0.883071918664609,0.848991554364127,0,0.843709774786026,0.881947045077862,0.885238701094565,0.886394754619267,0.849692018879485,0,0,0.840971559244194,0.839885997216526,0,0.887285619190883
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0.840301465466489,0,0,0.883713809965313,0,0.845011996855611,0,0.83949708052627,0.882357180576581,0,0.885169490059742,0,0.923937554647846,0.842101125865572,0.885123607581077,0,0.889279980904652,0,0,0.882434643414026,0.842445351069301,0,0.884716942903832,0,0.886165037640991,0.883422407766054,0.883071918664609,0.848991554364127,0,0.843709774786026,0.881947045077862,0.885238701094565,0.886394754619267,0.849692018879485,0,0,0.840971559244194,0.839885997216526,0,0.887285619190883
"Negative regulation of NMDA receptor-mediated neuronal transmission",0.813997677352385,0,0,0.868283454783968,0,0,0,0,0.911736950879237,0,0.820164294442892,0,0.912585965685411,0,0,0,0,0,0,0.866075878622013,0.823260122353122,0,0.869696232414703,0,0.870983241730231,0,0.870443690014356,0,0,0,0.816058140917121,0,0.87123625245846,0,0,0,0,0.819598307783487,0,0.82360162787822
"Class B/2 (Secretin family receptors)",0.8286824343672,0,0,0.854708382857189,0,0,0,0.852430078445007,0.851574746371823,0,0.830931880690131,0,0.85192715223082,0.853943981064816,0.852608286901306,0,0,0,0.832901541709317,0.870818280846025,0.830808815446031,0.832267141839951,0.851848580097775,0,0,0.81153483128269,0.851645940059149,0.855320392499686,0,0.831821045898884,0.850316249850595,0.830854583043517,0.832152208811316,0.855640620893691,0,0,0.853104159631822,0.85262551037518,0,0.854287193359461
"Digestion and absorption",0.424991091936164,0,0,0,0,0.429256561838223,0,0,0,0,0,0,0.322619851925058,0,0,0,0,0,0,0,0,0,0,0,0.326004199604074,0,0,0,0.326855177254501,0,0,0,0,0,0,0,0,0,0,0
"Interleukin-10 signaling",0,0,0,0.896837919254439,0,0,0,0.860490042806605,0.895079998911238,0,0.898473273763539,0,0.895730923234849,0.861673008274039,0,0,0,0,0,0.930624483606168,0,0,0.86115638727235,0,0.898886938322926,0,0.897119320146485,0.899528776619524,0,0,0.894733670246217,0.896237796988723,0.900120266361954,0,0,0.85967955023934,0.861735129485459,0.860208221131573,0,0.899754661633047
"Regulation of insulin secretion",0.858681040956,0,0,0.884502468986588,0.813390241892392,0.861307746543072,0,0.835893031670399,0.905425412310147,0,0.861480878695364,0,0.860342511342327,0.862802521155238,0,0,0,0,0,0.882712234943033,0.860970289714854,0.833844581926306,0.884545168267815,0,0.839555207607472,0.859920565028577,0.861480878695364,0.862830555572516,0.863357171132563,0.836805789634211,0.833996053938869,0.860564928654181,0.861491545861362,0.863221151431888,0,0,0.836715236463543,0.835107043056218,0,0.8618522936704
"O2/CO2 exchange in erythrocytes",0,0,0,0.129661591392842,0,0,0,0,0.126078102808038,0,0.130457772332461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Signaling by Retinoic Acid",-0.0238652803707689,0.743240136929781,0,0.773735260620531,0,0.741227149284527,0,0,0.771710087261558,0,0.773411888225867,0,0.800545837412603,0,0,0,0,0,0,0.771436292442931,0.741419234899498,0.775842547834196,0.739167669731581,0,0.739287321011895,0,0.773411888225867,0.776933637932355,0.743456026403365,0,0.738605897478689,0,0.773949552037493,0,0,0.740580148348356,0,0,0.779511095687831,0
"Aspirin ADME",-0.0235713637176779,0,0,0.574562751227199,0,0,0,0,0.572714319500257,0,0.575581408936918,0,0.572766857866409,0.577272456282764,0.575187885671996,0,0,0,0,0,0,0,0.574089681078812,0,0,0,0.575581408936918,0.578730570420394,0.574152932356506,0,0,0,0.576475558122467,0,0,0,0,0,0.604802855003326,0
"G alpha (q) signalling events",0.925750281492062,0.903576330645411,0.915151137958474,0.927019125998362,0,0,0.927107237248415,0.926794837617271,0.937175147382259,0,0.927216855157413,0,0.926337824116708,0.927858381967325,0.913477201654328,0.914059486578233,0,0,0,0.937442700355618,0.927021731362841,0.913786338234938,0.926163888206624,0,0.913577082204253,0,0.926782859851338,0.927760668778149,-0.00894218710566273,0.92746834127717,0.926207761061363,0.926664722804248,0.914202465775256,0.927902336583245,0,0,0.927193936794284,0.926413317816272,0,0.927397140424666
"TNFs bind their physiological receptors",0.253810140250993,0,0,0.16208273332813,0,0,0,0.163807005315013,0.251102200641301,0,0,0,0.163058836272213,0.260368286573205,0,0,0,0,0,0,0,0,0,0,0,0,0.207047633840279,0.171671683699996,0,0.169187663700323,0.15890428906102,0,0,0,0,0,0.165370438036024,0.255262471717254,0,0.169811506430003
"Ion homeostasis",0.842069430112407,0,0,0.873465233734873,0.847286176557464,0,0,0,0.87335703556714,0,0.875314599800562,0,0.901411739783242,0.842664426447656,0,0,0,0,0,0.872300486553412,0.842372828234314,0,0.905479930540051,0,0.875654954895212,0,0.874200593292083,0.845828310263875,0.845779780525291,0,0.840569701667557,0.842856666382205,0.875831719061715,0,0,0,0,0.843994576181871,0.842829911127279,0.845328215343071
"Phase I - Functionalization of compounds",0.937912258679295,0.940180273161129,0,0.955835316595323,0,0.939805483254136,0,0,0.938111968731586,0,0,0,0.938421783169903,0.903495238375615,0,0,0,0,0,0.93798343475608,0,0.940434962344412,0,0,0.920323902939339,0,0.939727034422462,0.941404919803802,0.940594629654011,0,0.919605559445892,0.920742626904221,0.940026176789485,0.941686445713457,0,0.921138017247681,0,0,0.939328414786864,0
"Assembly and cell surface presentation of NMDA receptors",0.779907319517487,0,0,0.832153548012112,0,0,0,0,0.873352804456296,0,0.785803030664717,0,0.874164521153385,0.744220496332404,0,0,0,0,0,0.830042952981584,0.788511563954104,0,0.83286458117279,0,0.835127048896466,0,0.832577508749139,0,0,0,0.781877264761173,0.742800491657467,0.834976626194122,0,0,0,0,0.785261908391668,0,0.789089358444433
"Long-term potentiation",0.82532376990064,0,0,0.87771435549373,0,0,0,0.83495400324819,0.918974238135759,0,0.830489470904436,0,0.919787149303363,0.835770252126071,0.879593975506871,0.836494691991622,0.883238458615075,0,0,0.875254864465491,0.833279155457437,0,0.878169197639355,0,0.880692231992317,0.88128392396058,0.880175624258099,0.83549553245342,0,0,0.830077935422037,0.879715349185707,0.880541587937519,0.836234218349312,0,0,0.836508938021963,0.833467559678205,0,0.83730064196233
"G alpha (s) signalling events",0.932966442373175,0,0,0.934304258609573,0,0.933949679521113,0.934414697636611,0.934200738486639,0.947033860329643,0,0.933802029637335,0,0.933212671774369,0.919540673432189,0.917397217028929,0.918503595671968,0,0,0.920440152973971,0.947469334570831,0.934028089078214,0.91772628184866,0.948584498476936,0,0,0.918385232885159,0.933851486468855,0.935550845887582,0.934860818473958,0.934756064052763,0.932632075665704,0.933748805136254,0.934804603579688,0.935788485957931,0,0,0.934700971144501,0.933722539895728,0,0.934955667465537
"Platelet homeostasis",0.792851781945342,0.768347819818102,0,0.817598253524452,0,0.818199465666438,0.767093903349487,0.790311244181633,0.820468974153456,0,0.792025165548226,0,0.818162843782708,0.793296880454674,0.769044806575417,0,0,0,0,0.83879535887473,0.79064193235478,0.791776663890265,0.840559049662835,0,0.792385133478796,0,0.815740730378464,0.82012157432392,0.819795628991528,0.770699594337515,0.791710617098457,0.793398981189376,0.818765415957257,0.82049741468305,0,0.793158542136802,0.791102388627532,0.78955494777977,0,0.818407758121697
"Activation of Matrix Metalloproteinases",0,0,0,0.72658498658123,0,0,0,0,0.757012351305123,0,0.726206359730644,0,0.723621052553206,0.728093146191401,0.724967443010649,0.728047128112993,0,0,0,0.756918947585031,0.727847138681072,0,0,0,0.689360136856833,0,0.727166525332892,0.731047525304531,0,0,0.685457835032449,0,0.728719201309694,0.693623703700706,0,0.655861958657721,0,0,0,0.690352477632261
"Extracellular matrix organization",0.812291448147042,0.813268286038703,0.81453639170326,0.823123035967978,0,0.813040392283703,0.80391696120318,0.8225972647768,0.839655398793743,0,0.831590999889621,0,0.821834023105704,0.822571253800831,0.805640094626784,0.832281596993479,0.823863638964567,0,0.805086258284131,0.822467712615018,0.822915667978431,0,0.82285397793244,0,0.813575170108619,0.822955599820332,0.822669679419915,0.824265199658769,0,0.814011661035054,0.812059541245332,0.822652540129689,0.822812175273981,0.814390967819779,0,0.804491433703799,0.822897689123193,0.822310073413216,0,0.822665244380264
"Receptor-type tyrosine-protein phosphatases",0.757960989408048,0,0,0,0,0,0,0,0.802856323241579,0,0,0,0.75947351038834,0,0,0,0,0,0,0.759106352614973,0,0,0,0,0,0,0.762917553709914,0,0,0,0,0.760216913729083,0,0,0,0,0,0,0,0
"Ca-dependent events",0.778792254752294,0.743027731706666,0,0.783216287241514,0,0.783372828507211,0,0,0.822753586126047,0,0.783926647037536,0,0.821625149501887,0.739302700748809,0,0,0,0,0.747001115993356,0.78088094332287,0.784609048075243,0,0.825320107990252,0,0.783697849236102,0,0.783540338990633,0.745309570921515,0.785984394828479,0.741347552022207,0.732969578850322,0.738460480346765,0.784209116904484,0.744306747508753,0,0,0,0,0,0.741238528855558
"Muscle contraction",0.901928244812432,0,0,0.902338775413925,0.892529979714807,0.890457038546856,0,0.891420780511105,0.901782106230557,0,0.902870438321927,0,0.913035062104646,0.903724168327814,0.891026420370833,0,0,0,0.892577428616948,0.901888910670176,0.892390647044946,0,0.914323130696228,0,0.903233745587839,0,0.902923271319296,0.892487061464547,0.892205787661812,0,0.902133575672583,0.902415472993752,0.903614698661511,0,0,0.890223427297342,0.890658923004189,0.891294271201407,0.890353305137496,0.892264916673819
"Ethanol oxidation",0.829305518188135,0.836282035504732,0,0.833342454881903,0,0,0,0,0.827553442664487,0,0,0,0.831255406512762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833555265132761,0,0,0,0,0,0,0,0,0,0.883223248601505,0
"Digestion",0.528067561510974,0,0,0,0,0.533367569752598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.882775747156116,0,0,0,0.884958088814965,0,0,0,0.882374876513821,0,0.883637413316716,0,0.882324061969245,0,0,0,0,0,0,0.882943957489587,0,0,0.900246833966656,0,0,0,0,0,0,0,0,0.902362842241655,0,0,0,0,0,0,0,0.885380421017408
"Glucagon-type ligand receptors",0,0,0,0.878715584691664,0,0,0,0,0.875668558474098,0,0,0,0.876382928080738,0,0,0,0,0,0,0.914677547120983,0.835218954363914,0.836529692015233,0.87632461256053,0,0,0,0.875812876751199,0.883261439473841,0,0,0,0.835997202924676,0.836147831524254,0.883910581439048,0,0,0,0,0,0.882284781169055
