"","ARID1B","SNX9","SYNJ2","SOD2","WTAP","ACAT2","TCP1","MRPL18","MAP3K4","AGPAT4"
"Regulation of FZD by ubiquitination",0.604697153269106,0.709822281564443,0.709496085754741,0.607058487995901,0.615598961344644,0,0.620789040062092,0.601704735918722,0.609983975772528,0
"Synaptic adhesion-like molecules",0,0.720596053767771,0.718966442144596,0,0,0,0.464274443489134,0,0,0
"Negative regulation of NMDA receptor-mediated neuronal transmission",0,0.697598303680337,0.787985140660613,0.717895671197228,0,0,0.698913700401126,0,0.802459504152551,0
"Transcriptional Regulation by MECP2",0.55482065234074,0.559356482533034,0.559181101332454,0.560906016213958,0.559668381666421,0.557567350020765,0.558331520957412,0.498758005831708,0.563146519276623,0
"O2/CO2 exchange in erythrocytes",0,0,0,0,0,0,0,0,0,0
"Glutathione conjugation",0,0,0,0.756575164600034,0,0,0,0,0,0
"Molecules associated with elastic fibres",0.522738473342408,0.519119650268774,0.518791627908329,0.415497457012598,0,0,0.520722878173022,0,0.530175904600908,0
"Activation of NMDA receptors and postsynaptic events",0.731279028069965,0.78054093303041,0.7786977758882,0.781974871616447,0.730553109132962,0.781048860351082,0.780486590949399,0.727595844761563,0.785001790923837,0.728449894216459
"ABC transporters in lipid homeostasis",0.236461008368555,0.227149139975621,0.226769129168149,0.239211910402099,0,0.235540093513244,0.12269318162525,0,0,0
"Transcriptional regulation of pluripotent stem cells",0.682610985878063,0.676475299839413,0.676195373242653,0.692198576268108,0.779957960541276,0.680442688407175,0.760457450691395,0,0,0
"Assembly and cell surface presentation of NMDA receptors",0,0.701059910924698,0.791233552596669,0,0,0,0.698913700401126,0,0.802459504152551,0
"Post NMDA receptor activation events",0.692836999873196,0.7498907146637,0.747756023323806,0.751551460897132,0.691996261537437,0.750478981408788,0.74982777723581,0.688571243399357,0.755057151369242,0.689560378798315
