"","GRM1","IL22RA2","PCMT1","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","ZBTB2","PEX7","HECA","SCAF8","KATNA1","IL20RA","CITED2","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","UTRN","SOD2","WTAP","ACAT2","TCP1","MYB","MRPL18","IGF2R","SYNE1","LPA","PLG","MAP3K4","EPM2A","AGPAT4","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","AHI1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP","HSF2","FABP7","CLVS2","RNF217","TPD52L1","HEY2","NCOA7","TRMT11","CENPW","RSPO3","RNF146","ECHDC1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"O-linked glycosylation",0.744183514947394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748630103522073,0,0.748662898496021,0,0,0,0,0,0,0,0,0,0.749996408419566,0,0.749225244137473,0.711877959998272,0.750721793105039,0,0.746275998530969,0.74968626149991,0,0.749105366769751,0.668214713841866,0,0.750956241277522,0.750126661579246,0,0,0,0,0,0.754934740265151,0,0,0.744608064753951,0,0,0,0.752324031872419,0,0.749552538641098,0.746872310458127,0.748545296276172,0,0.669998045461589,0.749620280927412,0,0.747445944690126,0,0,0,0.750982251125723,0.747071584302444,0.749864963904062,0.749004487124976,0,0.79559770807379,0.789218165563835,0.671264727096457,0,0,0,0,0,0,0,0,0,0.75100871317262,0.746150654181688,0,0,0.750206817803936,0.827245640102393,0,0.751878705030836,0.711179485888768,0.665920456470696,0,0,0,0,0,0,0.712131320862584,0,0,0,0,0,0,0.749829438199143,0.747267647885005,0.670647271487566,0,0,0.747237866178283,0.668733472455301,0,0.668397864948135,0.792146686241374,0.747296011046049,0,0,0,0,0,0,0,0,0,0,0,0.669031303458631
"Defective B3GALTL causes PpS",0.715126381343638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723273216805644,0,0.723333302251431,0,0,0,0,0,0,0,0,0,0,0,0.716170936546602,0,0.727056558949594,0,0.719075422746617,0.717015591394656,0,0.715951302736537,0,0,0.727535059617801,0.725911621612166,0,0,0,0,0,0,0,0,0.715904222009883,0,0,0,0,0,0.71861141782893,0.720785194837967,0,0,0,0,0,0.721836181144657,0,0,0,0,0.720368813947493,0,0.715766475682348,0,0.809276150287393,0.797587845359106,0,0,0,0,0,0,0,0,0,0,0,0.718845772583906,0,0,0,0.867313773448717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725470582744471,0.720673467967089,0,0,0,0.720618903291188,0,0,0,0.802953346508202,0.72082895381375,0,0,0,0,0,0,0,0,0,0,0,0
"Transport of small molecules",0.879444527038977,0.860136684629545,0.860968548637435,0.870055294259963,0,0.880214798108935,0.869082359980255,0,0.859535481809856,0.860940262825457,0,0.86126268881467,0,0.86135273537105,0,0.851037188799709,0,0.870576687304369,0,0,0,0,0.87119883679392,0.861814194707892,0.879695450236891,0.868778755011378,0,0.8604727429865,0.871493534499099,0.869426711600499,0.871439324525841,0,0,0.879386491234031,0.869540802775485,0,0.869555239443819,0.870062217984996,0.860176382092191,0.86078696777992,0.861523518875677,0.86031113282944,0,0.861718697725988,0.861340003749781,0.871679663212177,0.860516368759806,0.860144290084563,0.878548395452579,0.879549593334124,0.87119883679392,0.868525562010393,0.869076594254295,0.859870278585464,0.861070108143803,0.870473802684151,0.869790513424565,0.859887728621013,0.861612918897869,0.870288792584004,0.86960501105616,0.861089945571347,0.870099826578991,0.871257165137096,0.870616812965744,0.86100071307945,0.879730618208736,0.870790249810065,0.860440213497502,0.869372079326328,0.869934632227192,0.870912146695772,0.869654046022787,0.861336175674608,0.869604712028996,0.86111960356545,0.860311765700988,0.868795416134885,0.860731741853821,0.880013355655774,0,0.880155406251389,0,0.869516218772542,0.87935547139562,0.85879629958763,0.860091537146074,0.868729422497692,0.860812970361963,0.860925446291712,0.859897097235658,0.870799765684051,0.869572576356192,0.870616078103421,0.862219845087048,0.861465796838808,0.861162998877219,0.868795416134885,0.870045006544176,0.870750754059003,0.862376275631323,0,0.859527769673636,0.869528902132128,0.868884833425379,0.861177069465531,0.869696560238212,0.869942773893026,0.861277329676645,0.869778469820074,0.871282893981566,0.868969296856175,0.86111148794122,0.880710370677776,0.861028432815868,0.861109436147419,0.86078299493111,0.879695450236891,0.879695450236891,0.879695450236891,0.879695450236891,0.879695450236891,0,0,0.859661724399664,0.867357688078705,0.859910314561386,0.871166874282618,0.880103353479553
"Aflatoxin activation and detoxification",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553931279238138,0,0,0,0.549341248905677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451089353335495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phase II - Conjugation of compounds",0,0,0,0,0,0,0.819974022803398,0,0.764590120910629,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825820508018576,0,0,0,0,0,0,0,0.822876032459141,0,0,0,0,0,0,0.857695872086537,0,0,0,0,0,0,0,0.862038088215409,0,0,0.82566580060131,0,0,0,0.791273878509132,0,0,0.823573127657684,0.856599348214802,0.78981679664413,0,0.794864134149771,-0.0256686912872958,0,0.821044706551156,0.85618871624087,0,-0.0256686912872958,0.856265004288479,0.855460065318662,0,0,0,0,0,0,0.859934387129775,0,0,0.752975776337406,0.825385933573704,0.826284697399355,0,0.821235592178209,0,0,0,0,0,0,0,0.824514180307439,0,0,0.817341260694792,0.823326950214762,0.824906269198734,0.859781268491797,0,0.752975776337406,0,0.826752183271911,0,0.801080488145021,0,0,0.857306709153377,0.856154404489166,0,0,0,0,0.823912264807622,0.824591032516024,0.890158179994019,0,0.889869222928092,0.826053319547174,0,0,0,0,0,0,0,0,0,0.761354488677386,0,0,0.825570379978265
"O-glycosylation of TSR domain-containing proteins",0.715077425854507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.723224261316514,0,0.7232843467623,0,0,0,0,0,0,0,0,0,0,0,0.716121981057472,0,0.727056558949594,0,0.718911178219053,0.716966635905525,0,0.715902347247407,0,0,0.727486104128671,0.725966186288067,0,0,0,0,0,0,0,0,0.715855266520753,0,0,0,0,0,0.71861141782893,0.720839759513868,0,0,0,0,0,0.721890745820558,0,0,0,0,0.720368813947493,0,0.715717520193217,0,0.809276150287393,0.797587845359106,0,0,0,0,0,0,0,0,0,0,0,0.718681528056342,0,0,0,0.86726003852433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.725421627255341,0.72072803264299,0,0,0,0.72067346796709,0,0,0,0.802953346508202,0.720779998324619,0,0,0,0,0,0,0,0,0,0,0,0
"Lewis blood group biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497506739008517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49488455887227,0,0,0,0,0,0,0,0.497146933392173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Assembly of collagen fibrils and other multimeric structures",0.84915563908841,0,0.796549471345309,0.791429803270826,0,0,0.800520279775508,0,0,0,0,0,0,0.859807210891244,0,0,0,0.851958757224432,0,0,0,0,0,0.85784669136636,0,0.740222059710204,0,0.739715993227833,0,0.790423965054849,0,0.854677342246293,0,0.847981411701949,0.790870688726627,0,0.790083597169551,0.797182553301595,0,0.798393986512577,0.850670327512683,0,0,0,0,0,0,0,0,0.849730888872839,0,0.791507468162929,0.742716208723679,0.853908346002827,0.795145720852409,0.900270397689751,0.852096482027259,0.795865726956487,0.861231744967599,0.795142506357993,0,0,0.852873735869334,0.797474657673594,0,0,0.850722020424113,0.901570074837307,0.739537890616454,0.790124847208394,0,0.800484743843498,0.900205472951861,0.796858814612392,0.744744267290327,0,0,0.73687272604182,0,0,0,0.793235681283358,0,0.790129260109677,0.79553123787537,0.792062187007067,0,0.791146109644702,0.849012306765855,0,0,0.742526318951875,0.849299629413607,0.849127721125287,0.858094261238915,0,0,0.73687272604182,0.792951857668466,0,0.85895073606508,0,0,0.744329199577416,0.740802850959205,0,0.796867208693062,0.850053335222553,0.795765840273971,0,0.854368568560453,0,0.844429228069739,0,0.846757564294211,0.79580873284433,0.793868788069471,0,0,0,0,0,0,0,0,0.788739478055954,0,0.854589822484279,0.793201906023997
"Ion channel transport",0.83175273545019,0.806918554107544,0.804154686426019,0.832875048517561,0,0.807383782915563,0.831486692130009,0,0.80494465196834,0.809429553592391,0,0.807415714730818,0,0.808410154930083,0,0,0,0.809401756455607,0,0,0,0,0.808564394194945,0,0.805941471958607,0.830643533244087,0,0.802697718875792,0,0.829703914939088,0.804647204516735,0,0,0.806439364995402,0.830020764127526,0,0.829621525316117,0.833283306189152,0.806753386802679,0.808968358483477,0.811316239629452,0.807877420531183,0,0,0.810438981268912,0.756295881597306,0,0.80693967565573,0.809720193995206,0.808434245724242,0.810805563685202,0.829934934055868,0.831408531157841,0.804714574816617,0.809607688667997,0.8088644917993,0.809533287879122,0.806711432689393,0.809132725622581,0.809198646711957,0.803748755909633,0.805901004107558,0.809258106646385,0.837464320438938,0.80612425710808,0.809028087370884,0.807423366662395,0.834183509922611,0.802607379353996,0.829552192496615,0.806619026860984,0.807975722634977,0.808831559829755,0.810346600167643,0.832937346159498,0,0.807129368438245,0.830627655170264,0,0.806824345449792,0,0.834605327649565,0,0.808242816868027,0.806353218011404,0,0.806488905343146,0.80875859650776,0.809351289407268,0.808771507592242,0,0.836643802529522,0.829385115238774,0.806586378667497,0.812111863518278,0.810438853857611,0.806522773660076,0.830627655170264,0.809406191446914,0.836523550004456,0,0,0.804952087811278,0.832726810118466,0.830938129731425,0.80951785687157,0.83319242312363,0.808821946565676,0,0.811496024449672,0.810222069245615,0.80933082095993,0.809624926813507,0.809418806886067,0.809394269630192,0.807552429136237,0.803229387702304,0.805941471958607,0.805941471958607,0.805941471958607,0.805941471958607,0.805941471958607,0,0,0.80529524755237,0.828728391720237,0.806014475303033,0.809198820413886,0.86203158076757
"Digestion",0,0,0,0,0,0.417617948162386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429209084462929,0,0,0,0,0,0,0,0,0,0,0,0.0874442314628462,0,0,0.410253391393954,0,0,0,0.420233069917681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50552243892639,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40997026077783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scavenging by Class A Receptors",0.57638929428856,0,0,0.379561674731501,0,0,0.394068016119926,0,0,0,0,0.401785151521461,0,0,0,0,0,0.386320165559679,0,0,0,0,0.39488373886508,0.680994680288663,0.378091817349643,0.380284206734248,0,0,0,0.572772187466619,0,0,0,0.574331621078528,0.483841673381825,0,0.482462402867859,0.395174058717803,0,0.391765455235621,0.584750797139382,0,0,0,0,0,0,0,0.481897914536858,0.577397341012851,0,0.388617203068559,0.384654862423279,0,0.386073313061919,0.665960931455148,0.580041864884991,0.480749620535685,0,0,0.481619831310438,0.491390276996093,0.581403896146287,0.399863224106783,0,0.394193955456521,0.392219143535758,0.668238438247316,0,0.572248024270982,0,0.480289749014837,0.576905488890519,0,0.388208758226664,0,0,0.568324326819177,0.393685303689705,0,0,0.396516140486821,0,0.390993762705095,0.480538907296303,0,0,0.392775652712924,0.578813593678484,0.391281251194513,0,0.384322106518583,0.569846056551643,0.576340371869052,0.593553864686877,0,0.494621813893676,0.568324326819177,0.577201974208821,0.397453039496536,0.595054719908945,0,0,0.387481408717487,0.381301964118778,0.395885986921476,0.389089985515608,0.577962384226054,0,0,0.585524241611435,0.394412193468777,0.479165233320474,0.493538335716245,0.578385834896094,0.395525768161549,0.488783620572187,0.378091817349643,0.378091817349643,0.378091817349643,0.378091817349643,0.378091817349643,0,0,0,0.568677818466545,0,0,0.397112960763115
