"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","UTRN","SOD2","WTAP","GRIK2","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","GABRR2","UBE2J1","RRAGD","GJA1","HSF2","FABP7","MDN1","CLVS2","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.924608889952837,0,0,0,0.907987718603734,0,0.908728961480055,0,0,0,0,0,0,0,0,0,0,0,0,0.909140621010271,0,0,0,0,0.908611223341806,0,0.907825699070384,0,0,0,0.893316924461663,0,0.924582213790899,0.909029485435337,0,0,0.907288350082481,0.92478064392836,0,0.924530616422788,0.908318087707479,0,0.910127716856233,0,0,0,0,0,0,0.924176769608447,0,0,0,0,0,0.924791623800493,0,0,0.910046414512106,0,0,0.907671123293546,0.925271010331622,0.907797478504975,0,0,0.907955226116579,0.926559640559708,0.908013970115708,0,0,0.909905823726182,0,0,0.908713289659329,0.893260348385781,0,0.924487196015205,0,0,0,0,0.907477143487799,0,0,0.909300479395902,0,0,0,0,0,0.908378607881925,0,0,0,0,0,0.907905719088302,0.907234399627499,0,0.908598900639688,0,0,0.908228731513603,0,0,0,0,0,0,0.90837455737464,0,0.907333181240752,0,0,0,0,0,0,0,0,0.908533884113282,0,0.907721619622248,0.909110363333878,0,0.908192799030622,0,0,0.907650357633438,0,0,0,0,0,0.909626328948926,0,0,0,0,0.924795659827935,0.923993943451565,0,0,0.908430541437366,0.907674435467866,0,0.907241385477649,0,0,0,0,0,0,0.907333181240752,0.907734788553984,0,0.924764574121013,0,0,0,0,0.907337372239374,0.923469313500418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.925385224163524,0.907664193362943,0.925554749566298,0,0,0,0,0,0,0.925293591061714,0,0,0,0,0,0,0,0.910008723847656,0.908120554820819,0,0.911132738812013,0.909212865220074,0,0.908286629921676,0.909831859460814,0.908142178434149,0,0.925676496276515,0.907825699070384,0.907825699070384,0.907825699070384,0.907825699070384,0.907825699070384,0,0,0,0.907147314084597,0,0,0
"G alpha (i) signalling events",0.926005119977163,0.917846931931184,0,0,0.918386739596559,0,0.926666994782484,0.918084598458349,0,0.910121962261743,0.909348539487104,0,0.909987125358357,0.910884582194369,0,0.911038765877846,0,0.918811786462158,0.909440992805091,0.918992031336464,0,0,0,0.911281422435506,0.909958802468685,0.910591121078789,0.926220732050948,0.918114797604374,0,0.918007671599019,0.909386398646037,0,0.917824072064664,0.908538058841235,0,0.909397324242151,0.926515337132564,0.917922107778554,0,0.917798580045748,0.918134385640959,0.910623305940386,0.91891845674458,0.909975987650873,0.909670419395062,0,0,0,0.919332965284928,0.926390699416854,0.919837698655484,0.919243518930323,0.917853467109845,0.918650139731032,0,0.926095400835887,0.918858025947293,0.917994119222744,0.909426533779412,0.918688349685312,0.918872886665042,0.925352275721089,0.926466661785749,0.917645182930285,0.911262335122333,0.918392929388677,0.917681570632042,0.909755955159943,0.918286360305768,0.9183421917242,0.918550986890875,0.918620481996719,0.908836466323766,0.93488300798177,0.918434297549102,0.909358446863817,0.91792410492548,0.917777127907936,0.916960006504851,0.910456704196114,0,0.919403478045864,0.926185767347782,0.918782973419104,0.910904348995171,0.909822469603178,0.918719617235521,0.918369174850482,0.909438965998195,0.917925798536174,0.909634171720619,0.926493900284107,0,0,0,0,0.90918730505586,0.926141205672828,0.926515979065879,0,0.918125754754167,0.910119326301646,0.909602127721682,0.926300792085028,0,0.918622477812335,0.910890852775855,0.918489206633994,0.909418864316254,0.918593650573334,0.918171011547808,0.918523241539506,0.92656256726044,0.91806208494402,0.918169522194001,0.918711619838622,0,0,0.910651910062704,0.918987903062715,0,0.918317359305962,0,0.926169310915378,0.918831052371102,0.909984176078303,0.918216444650865,0,0.917925798536174,0.917530948353744,0.91047313548497,0,0,0.918085453638074,0,0.901592088232254,0.918434884143761,0.908790813090284,0.918290970016566,0.909396732096516,0.917929526482454,0.926259978625422,0,0,0.918304559757941,0.918260779852928,0,0.918152425691905,0.918859838899275,0.908551819439722,0,0.910087770055343,0,0,0.926561547585835,0.926175817112675,0.911189573109841,0.926082036763916,0,0.918085816420718,0.9188012263189,0.909234113908816,0.894936889027762,0.918045574931127,0.918334129273122,0,0.918357017072833,0,0,0,0.919306441531672,0.917920737157276,0.918251807397216,0.918544175341222,0.919198548402253,0.918950253700524,0,0.910156753816747,0.917925798536174,0.917704316737819,0.917990706226496,0.9183159459301,0.918918456744579,0.919174907782731,0,0.917922417816187,0,0.91924009694504,0.910338990871874,0,0.909695928148057,0.909679679809767,0.909597316541815,0.917925798536174,0,0,0.918678841161299,0.918151408832186,0.90980628349864,0.917698649177488,0.918613830696204,0.91806615284256,0.909455987488074,0.927092827986297,0.909384620281038,0.918669615470268,0.918528090621309,0.926220732050948,0.926220732050948,0.926220732050948,0.926220732050948,0.926220732050948,0,0,0.910042196457162,0.917620805218703,0.910024639471877,0.919026755372492,0.918487415466619
"Signaling by GPCR",0.923091608752902,0.91772405170993,0.908179098087188,0,0.917661379461796,0,0.911392980105513,0.917460669832687,0.913130990198361,0.912776204559486,0.912587436607432,0.913187428986591,0.917671791953291,0.913215558765032,0.913187428986591,0.913202970452766,0.913130990198361,0.91783041690297,0.917654395356378,0.917834473079218,0.913187428986591,0.913130990198361,0,0.913165638064473,0.912640505531495,0.918297079005931,0.909515896903018,0.917382740890025,0,0.917682612809333,0.912348382935,0,0.922822213891846,0.912566223615911,0.912459472874357,0.91235473752647,0.922310988660123,0.922141768525493,0,0.922069921802531,0.917398536258132,0.912921233978065,0.917977190408307,0.91249177721329,0.918037676645764,0,0,0,0.918133547136498,0.922971249562522,0.918287746066422,0.918037183146567,0.917727852728212,0.917655462114549,0.911948948083251,0.923135325975672,0.917635185381505,0.917308938358322,0.917345738305643,0.91771428325974,0.917865954261665,0.922784514496481,0.922282677898821,0.91710960161497,0.913333003743319,0.917354137912401,0.917173055986611,0.917557698276864,0.917408720604276,0.917462117242574,0.917678729552113,0.917719149589812,0.912633169712977,0.927177828807503,0.91755442141487,0.91233212550108,0.917314119809231,0.92205744471931,0.91770558945629,0.918218898889519,0,0.917995741285388,0.922119302886525,0.917775770627727,0.913124790336354,0.917530862082767,0.917725854093963,0.917572983263403,0.912587271914774,0.917315104854254,0.912489335415015,0.922599910554218,0,0,0,0,0.91221781644139,0.922075259973355,0.922311955091556,0,0.917431404236364,0.917601282284365,0.913152673777134,0.922905544611437,0,0.917720310404541,0.913220251571049,0.91754575558192,0.912364107410893,0.917659203961283,0.917335269360461,0.9177747332502,0.922338458847066,0.922746718169062,0.917277901712927,0.917721728465244,0,0,0.913084435043239,0.917837824178246,0,0.917542846087017,0,0.922109731426635,0.917570930016161,0.912985624948098,0.917330229556837,0,0.917315104854254,0.917085450419384,0.912976251387878,0.913202799661569,0,0.917727852728212,0,0.907815023111633,0.917611201380767,0.912524357144459,0.917476106634175,0.917328404924659,0.922146083423465,0.92191570599257,0,0,0.917562626722945,0.92219938218124,0,0.917446916700092,0.917939302497159,0.917613207974783,0.912529665124438,0.912917061853769,0,0,0.923075924160408,0.922418684351174,0.913199633733524,0.923131267106321,0,0.917373307428257,0.917824274867738,0.912245041604632,0.903944197972724,0.917218255517345,0.917552599906318,0,0.917785882662951,0,0,0.912412545377861,0.912918180871558,0.917312161033629,0.917454290406264,0.917674767789766,0.917963436946456,0.917910952804408,0.912414366270279,0.917687426083249,0.917315104854254,0.917386153224276,0.917433793872178,0.917451610185635,0.917753092694204,0.917965909561274,0,0.917313138545581,0,0.918079532659457,0.912902433658594,0,0.912528412794489,0.917492974171619,0.917453881020398,0.917315104854254,0,0,0.917583325773384,0.917473550433079,0.917810418487943,0.917182989282523,0.917623350958614,0.917716626917807,0.917685855412452,0.922646871335522,0.917644346515333,0.917606796938201,0.917665412526868,0.923185905444744,0.923185905444744,0.923185905444744,0.922448440131402,0.923185905444744,0,0,0.913178833685363,0.91733351836792,0.912719599266387,0.91777648930366,0.917499534399316
"O2/CO2 exchange in erythrocytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219704332698937,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261871481631966,0,0,0,0,0,0,0,0,0,0.260563961935819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220025715052847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220090015433869,0,0,0,0,0.259739050021778,0,0,0.216961479133325,0.306170930629743,0,0.22078511489141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220025715052847,0,0,0,0.219994312316663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Extracellular matrix organization",0.840130309934707,0.822073999685128,0.832038661673183,0,0.831528300180678,0,0.821989178802278,0.822494749355054,0,0.822545701083749,0.815366798170587,0,0.823177034169735,0,0,0.823221644012483,0,0.822453651274315,0.831708866501455,0.830464854322114,0,0,0.823103313887396,0.82344985894224,0.821859001913351,0.823772201267155,0.822405266738891,0.83132305512709,0,0.839319259475788,0.822427874788335,0,0.831802387031726,0,0.831594159972697,0,0.831555436429524,0.831294618785871,0,0.831398053670364,0.830774388722771,0.832116725750909,0.831624199446223,0.83177097799116,0,0,0,0,0,0.831918435729279,0.832627108591363,0,0.822080670662357,0.831655974249302,0.831194766479755,0.832228520769135,0.831978977676866,0.831230916585718,0.822781665210624,0.83159592529548,0.832020559796494,0.830842171008312,0.839752843431131,0.830415257104387,0.82344985894224,0.831213468126352,0.821792145094345,0.831790578059007,0.839636436918838,0.823180056180251,0.831810720169763,0.832344129195502,0.831288930894713,0.83060010752064,0.839467750092897,0.822399342178536,0.830638928312274,0.831754467392981,0.821786676682886,0.823634991251939,0,0.831303618484661,0.839213002995388,0.831475950271055,0.823084433997267,0.822929695197036,0.82191838527294,0.83153199499831,0.815117742242045,0.830640657115566,0.821713000716904,0.821812487464974,0,0.814412259707406,0.815548408085792,0,0,0.830535201770819,0.830756412969587,0,0.831966238298717,0.831319784324407,0,0.830698104328969,0,0.839522630656392,0,0.822869937917765,0.814582223185381,0.822698447183685,0.831308938677611,0.840214251277492,0.830806230797746,0.83161334571356,0.831427250427611,0.823990597038389,0,0,0.831302445189323,0,0,0,0,0.821481153250582,0.822516562117165,0.82316623757709,0.831214603111262,0.823204744800968,0.830640657115566,0.821638392941447,0.822577522595786,0.823796676402763,0,0.839398657796519,0,0,0.831860462358098,0.813587180866264,0.83148615430458,0.822574372756761,0.831302191647663,0.85596051959388,0,0,0.84019293664987,0.830834313142734,0,0.831605651391105,0.831464678217711,0.795197568823694,0.831717350882913,0,0.832116725750909,0,0.830806230797746,0.822359418485003,0.814947603244951,0.832214878996747,0.81434802959794,0.821931596394974,0.831852492929818,0,0.830808344414262,0.831414872636691,0.81410266487809,0,0.822225415961613,0,0,0.831890883308816,0.831913026707114,0.830635490563107,0.823521229866452,0.831594660105383,0.832502785259002,0,0,0.832181099484933,0.830640657115566,0.831599522434154,0.831064490208813,0.830939324431742,0.831929866790022,0.823009721964718,0.822690380897098,0.830637206145482,0,0.823667987191242,0.822543870946467,0,0.814139477378855,0.822863200017651,0.822298267654458,0.830640657115566,0,0,0.831379604740755,0.839429520424989,0.840343380421678,0.832356305094746,0.832167798105721,0.839378955937694,0.83114305681573,0.831802787857105,0.839625573142658,0.830554506519259,0.831746417626436,0.822405266738891,0.822405266738891,0.822405266738891,0.822405266738891,0.822405266738891,0,0,0.822541657474724,0.831037517091163,0.822481259353487,0.831941362926253,0.831631917351498
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0,0,0.837041741634009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70781155042003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70762064436851,0.76579970051701,0.768033607533849,0,0,0,0,0,0,0,0.765168970291213,0,0.774617590535491,0,0,0,0,0,0,0,0,0,0,0,0.770247184620468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771421726620306,0,0,0,0,0,0,0,0.768090652768304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.770626359942418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708848183989858,0,0,0,0,0,0,0,0,0,0,0,0.708067988144323,0,0,0,0,0,0,0,0,0,0,0,0
"Transport of small molecules",0.914980267125372,0.905586329305557,0.905991060119023,0,0.910412078353602,0,0.915355030829267,0.910596432603234,0,0.905293823194026,0.911094089394898,0,0.910330050651829,0.906302778171232,0,0.906177980346062,0,0.901128730395276,0,0.910665754229704,0,0,0,0,0.905933804789902,0.906402496385955,0.915102350000753,0.910489119707096,0,0.910523179984239,0.90574983340105,0.911111832323513,0.910132069893774,0.906035499085461,0,0,0.914952030684892,0.910187579224174,0,0.910168784268756,0.910415446986983,0.905605643503788,0.910869956685902,0.906437584865567,0.905350360084298,0,0.906356033778122,0.911288577277463,0.911202390425245,0.91485938472678,0.911288577277463,0.911151744522301,0.90559002962432,0.910680090053008,0.905695546452169,0.915031385537395,0.910968451625691,0.910470819067328,0.915435164377429,0.910837399149314,0.910996830396209,0.910573143479612,0.918214273299757,0.910596559130398,0.906304568693991,0.91052568342094,0.910192999891694,0.911036876072509,0.910636290467393,0.910548748571992,0.91068527676153,0.91083271668922,0.906006709240345,0.915119460443948,0.910793185251597,0.905734006671658,0.914914936124636,0.910105489389561,0.910353372072029,0.906326387477726,0,0.910828966907595,0.910381670724059,0.906169923476972,0.906101871437833,0.910192854404564,0.910805498302491,0.910645501891732,0.905671512344847,0.914915895073083,0.906038474922986,0.915257022059611,0,0,0,0.906048513526887,0.906002133230311,0.915057320941206,0.914936938453092,0.90529205974476,0.910475684100978,0.905460150473556,0.905692640397165,0.915147681224521,0.915494476151693,0.910559878865563,0.906587397530114,0.917837008545228,0.905970089326584,0.910783779054282,0.910758617356446,0.910653481562044,0.914964571862399,0.909857223108039,0.910253379103838,0.910914501988595,0.906588091125767,0.906380360059121,0.910783779054282,0.910532304795396,0.901893210691948,0.906051916745729,0,0.9150732345622,0.906287846058978,0,0.910618290991073,0.90615509027118,0.914915895073083,0.910107715238992,0.906001497513551,0.915650321682876,0.911288577277463,0.910492679137893,0,0.906320043880539,0.910693883057754,0.905134229853437,0.9105623673458,0.909995760898262,0.910191779808527,0.913831256636325,0.91615470900251,0,0.910646595277381,0.91043610307155,0,0.910293728118835,0.906293751346374,0.906097777922651,0,0.905922999051236,0.901128503143043,0,0.914964571862399,0.915076918471268,0,0.915023818594114,0,0.910536637035012,0.910574247847366,0.905502378294552,0.914965744262571,0.915434033366382,0.910562488639979,0.905476192382982,0.906287043319351,0,0,0.905637091634714,0.905453192708603,0.914913029242434,0.910654149105764,0.910755765416222,0.906599859424123,0.915665413029771,0.90536816865299,0.906085666933336,0.914915895073083,0.910330887075656,0.910599644558944,0.910895625003016,0.910768088356391,0.906675968332352,0,0.914913980857383,0,0.911363949966217,0.910737651867629,0,0.905290070971143,0.910155970249297,0.91016120696941,0.914915895073083,0.906092512764625,0,0.910734282653926,0.910559878865563,0.90614129284937,0.910277393621869,0.910642689078653,0.91048175073035,0.910766559297022,0.915596144144685,0.910726150085747,0.910734282653926,0.910412368246627,0.915102350000753,0.915102350000753,0.915102350000753,0.915102350000753,0.915102350000753,0,0,0.905355244610966,0.910259442931319,0.905476192382982,0.906376007521901,0.915300809135483
"Peptide ligand-binding receptors",0.898955741492647,0.887054634036202,0,0,0.887843764508412,0,0.88638236751235,0.873894276632921,0,0.874859268938088,0,0,0.874904647709761,0,0,0.877188507874144,0,0.888465129218986,0,0.888475324145293,0,0,0,0,0.874447225635731,0,0.899296069767042,0.873512902788634,0,0.874097888063927,0,0,0.886905840537229,0,0,0,0.898899418087672,0.887049156340539,0,0.886923210990686,0.887940517888604,0,0.888784361213173,0,0,0,0,0,0,0.898666797833242,0.889964882974806,0,0.887064187640112,0.888228822161036,0,0.899104963582459,0,0.873336486271439,0.874085133786959,0,0.874362830256476,0.899234720720944,0.899655587906933,0.887109990186093,0.877515337807823,0.888494899620123,0.87355300372835,0.87431150547445,0.888189165441869,0.874844129998647,0,0,0,0.887695498756087,0.887635312404208,0,0.887167451184487,0.886837214122782,0.885781523535289,0,0,0.889583407674406,0.899244955797215,0.888777225952359,0.876992007407585,0.874550429954903,0,0,0,0.887169927028928,0.874146240519886,0.886129325267855,0,0,0,0,0,0.887535064957145,0.898866310438377,0,0.887608252719582,0,0,0.88742307494926,0,0.888188383937638,0.87598334913865,0.888088787063249,0.873831488350596,0,0.887873682550665,0.887579924607522,0.898940349666752,0.887369160504622,0.87473831943017,0.876384489390101,0,0,0.874053618989958,0,0,0,0,0.885654816700733,0.874805648967799,0,0.887991883471078,0,0.887169927028928,0.873332813024841,0,0.875942288411634,0,0.874211595558553,0,0,0,0.874247918543884,0.887782190497659,0.874041567499177,0.887060001546502,0.887088481379685,0,0,0.873980721044716,0.887659627308543,0,0.874713326508361,0.888880660939452,0.874208869198682,0,0.875217751733874,0,0,0.898940349666752,0.899230409813096,0,0.89909331481492,0,0.873635584578748,0.888449691626359,0,0.89894337660783,0.888025392120489,0,0,0.875761795133917,0,0,0,0,0.887162527933701,0.874451526993427,0.887792056605009,0.889583407674406,0,0.873971463876312,0.874592741488756,0.887169927028928,0.886829659985972,0.887356798733238,0.888215770737066,0.888621067668434,0.889779908140965,0,0.887164984844274,0,0,0.874148127422127,0,0.874236460995786,0.874455201237434,0.873646153350023,0.887169927028928,0,0,0.888434073563493,0.887991883471078,0,0.889520488901162,0.888925124874478,0.87418338023881,0,0.888580931172626,0,0.888510593488977,0.888050401812887,0.899296069767042,0.899296069767042,0.899296069767042,0.899296069767042,0.899296069767042,0,0,0,0.87279074845557,0.874716995339452,0.875991485819475,0.887990939885825
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",0.703529327030556,0.708351164261868,0.837081807778685,0,0.707547912825173,0,0,0,0,0,0,0,0,0.713697204636439,0,0,0,0,0,0,0,0,0,0,0.712414716867729,0,0,0,0,0.771200909733198,0,0,0,0,0,0,0.703585557943923,0,0,0,0,0,0,0.711405350676978,0,0,0,0,0,0.701937850909112,0.719087451451584,0,0.708399880774948,0.773146587823414,0,0.704202326020071,0,0,0,0,0.711423678693017,0.769762764678292,0.706969892120265,0,0,0,0.704638947994604,0,0,0.712190638495507,0.7111200146562,0,0.710059107499259,0.771521192715263,0.773576949621187,0,0,0,0.708644971957151,0,0,0,0.77094076210303,0,0.779635871690053,0,0,0,0,0,0.772631316648251,0,0,0,0,0,0.773320337457856,0.705973766998216,0.702958883788934,0,0.709740258737301,0,0,0,0,0.70687322441637,0.781999250142244,0,0.710009599621067,0,0.707995854869966,0,0.703322691188354,0,0.705222035301335,0,0,0,0,0,0,0.709763210863808,0,0.705711699362019,0,0,0,0,0,0.703516133673554,0.776694872237295,0,0,0.771780736226061,0,0,0.710254526305834,0,0.773629445599668,0,0,0.703991893278351,0,0,0,0.707332304506192,0,0.768180063281885,0,0,0,0,0,0,0.703322691188354,0,0,0.704102703496987,0,0,0,0.77366927422236,0.703338126412172,0,0.709503448756435,0,0.706413170074281,0,0,0,0,0,0,0.709740258737301,0.715712212958524,0.712828216391009,0,0,0,0,0.702729241282843,0,0.714130050777421,0.716714224099,0,0,0,0,0,0,0.708973298934811,0,0,0,0.711188753019354,0,0,0,0,0,0.711058051159919,0.771636858375747,0,0,0,0.773860060018912,0,0,0,0,0,0,0,0,0,0,0.711423678693017,0.710610272005769,0.711954198991168
"Class A/1 (Rhodopsin-like receptors)",0.912137709473256,0.90052409460964,0,0,0.901292539549959,0,0.8998188385406,0.901343427409852,0,0.888648407464108,0,0,0.90232731355946,0,0,0.890916589898113,0,0.901897616384204,0,0.901907544070199,0,0,0,0,0.888247165081463,0,0.9124446447352,0.900972050544642,0,0.8879069847197,0,0,0.912310297292542,0,0,0,0.912058390513859,0.912449856348742,0,0.912274008046925,0.901386756727073,0,0.903039794272705,0,0,0,0,0,0,0.911831867950319,0.903358056990628,0,0.900533397784267,0.901667503659581,0,0.91225854803031,0,0.900800258445868,0.901529281612052,0,0.901786498260013,0.911506884929828,0.912794738801113,0.900577999704928,0.891234852616035,0.901926606411747,0.900490848582056,0.901736518858062,0.901628886464751,0.888633665362739,0,0,0,0.9011481602981,0.901024006669432,0,0.900633954474181,0.912243469787064,0.899284356242738,0,0,0.902986581328782,0.912394870619416,0.902201532104222,0.890725240311936,0.90198238093922,0,0,0,0.900636365419139,0.887954069709372,0.89957242931004,0,0,0,0,0,0.900991931961476,0.912026150717675,0,0.901318560196482,0,0,0.900806504428382,0,0.901628125446142,0.88974302207228,0.901482768058446,0.887647568160563,0,0.901321673348492,0.901563230457462,0.912098249150613,0.900830376373894,0.888530628414046,0.890133647206451,0,0,0.88786387607404,0,0,0,0,0.899110359068954,0.888596193037826,0,0.901436775859967,0,0.900636365419139,0.900276429752755,0,0.889703037672952,0,0.88801771159187,0,0,0,0.888053082440261,0.901232579583026,0.901486857330398,0.912460417268568,0.900557054710358,0,0,0.887792889007704,0.901113229151301,0,0.888506290633433,0.902302255742815,0.888015056698257,0,0.888997493325463,0,0,0.912098249150613,0.912353335092695,0,0.912247204612724,0,0.901091516468468,0.901882583458264,0,0.912101196746274,0.901393033017757,0,0,0.889527275678065,0,0,0,0,0.90062916027691,0.888251353687371,0.901318560196482,0.902986581328782,0,0.887783874498097,0.902010382813188,0.900636365419139,0.901199330297658,0.900818338642479,0.901654794353496,0.902049467208243,0.90317793091496,0,0.900631552784315,0,0,0.887955907150111,0,0.888041925229667,0.901889648458737,0.901101808199808,0.900636365419139,0,0,0.902171104994333,0.901436775859967,0,0.902848938722647,0.90234555414162,0.887990235882264,0,0.902010382813188,0,0.901941888896129,0.901493760256414,0.9124446447352,0.9124446447352,0.9124446447352,0.9124446447352,0.9124446447352,0,0,0,0.900268826093281,0.888509863293198,0.889750945465725,0.901435857008977
"Synaptic adhesion-like molecules",0.794601961117534,0,0.802755668883191,0,0.795986693068102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751882848517632,0,0,0,0,0,0,0.690575368635392,0,0,0,0,0,0.797361657950807,0,0,0,0.725778862492627,0.79715752775011,0,0.796464429047351,0.796902505897227,0,0,0,0,0,0,0,0,0.749204268346691,0,0,0,0,0,0.750908699392855,0,0.79831577134701,0,0,0,0.796997975364523,0.798516867464352,0.796357933328341,0,0.750731782107263,0.726172483269312,0,0,0,0,0.801341234977487,0,0.690744923479292,0.797170245788831,0,0,0.797098260142145,0,0,0,0,0.797695000169858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.797444970169295,0.725629306985623,0,0.843997592343735,0.798804246808107,0,0.798340389624999,0,0,0,0,0,0,0.796364161348598,0,0.689210064974011,0.746665035289832,0,0,0,0,0,0,0,0,0,0,0.801693842386311,0,0.748256675762409,0,0,0.725327360450954,0,0,0,0,0,0,0,0,0,0,0.79719915317245,0.839670897603078,0,0,0,0,0,0.793917790607425,0,0.799463752621471,0,0,0.803184760327678,0,0.689210064974011,0.690323356518406,0,0.750833715251753,0,0,0.750093640295056,0,0.689221682798624,0.798925769131454,0,0,0,0,0,0.801189185565635,0,0,0,0.800057614472759,0,0,0,0,0,0.799587674829605,0.795089852041797,0.799303418108152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748256675762409,0.756168773201905,0.804010088031104,0.800299620510788,0,0,0.800403933625423,0,0,0.800395107288692,0.690575368635392,0.690575368635392,0.690575368635392,0.690575368635392,0.690575368635392,0,0,0.752913520048664,0.796221153028973,0,0,0.730822048102407
