"","GRM1","IL22RA2","PCMT1","PNISR","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HBS1L","HIVEP2","RAET1G","USP45","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","CCNC","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","CD109","ZBTB2","PEX7","HECA","SCAF8","MCHR2","SIM1","KATNA1","IL20RA","CITED2","ASCC3","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","COL12A1","UTRN","SOD2","WTAP","ACAT2","TCP1","MYB","MRPL18","HACE1","IGF2R","SYNE1","LIN28B","PREP","LPA","COX7A2","PLG","MAP3K4","PRDM1","EPM2A","AGPAT4","ATG5","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","QRSL1","RNASET2","BEND3","PDSS2","FGFR1OP","CCR6","SEC63","MYO6","KIF25","FRMD1","AHI1","OSTM1","THBS2","NR2E1","SNX3","PHF10","TCTE3","FOXO3","DLL1","HTR1B","PSMB1","TBP","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","KHDRBS2","PTP4A1","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7","TAAR8","TAAR6","TAAR5","TAAR2","TAAR1","VNN1","VNN2","SLC18B1","RPS12","EYA4","TBPL1","SGK1"
"Phase 0 - rapid depolarisation",0.784622984403303,0.711913964580642,0,0,0.766223426203441,0,0.713186030127401,0.715444211476039,0,0,0,0,0,0,0,0.78514676391357,0,0,0,0.717004031518011,0,0,0,0,0,0,0.773219633144366,0,0,0.713489328368849,0,0,0.773096962452294,0,0,0,0.771939883019352,0.773759914412132,0,0.77292457645917,0.766972031366496,0,0,0,0,0,0,0,0,0,0.7708334056207,0,0,0.711958157756058,0.713622694517868,0,0.772372099410427,0,0,0,0,0,0.773567618332748,0.774713653625027,0.76998592058255,0.786658617736126,0.716579059614881,0,0.779703514101119,0,0.71450859577027,0,0,0,0.777959324691158,0.776512131096718,0,0,0.772779509562213,0.77131481492578,0,0,0,0,0.713022774163446,0.718400572513848,0.784237789701332,0.718801641845207,0,0.713973089444637,0,0,0,0.712015504281434,0,0.773571760240764,0,0,0,0,0.771296041530552,0.771759635400105,0,0.773556945272262,0,0,0.77237522094929,0,0,0,0,0,0,0.829117317310678,0,0.772089663212108,0.775063939009031,0.773812652856761,0.781427525578134,0,0,0,0,0,0,0,0.767573875494098,0.71566026872921,0,0.715834254249027,0,0,0,0,0,0,0.711958157756058,0,0,0,0,0.712497689537486,0,0.773810082295798,0.770962517688333,0,0,0,0.768616215001674,0,0.717331732122012,0,0.773697040299649,0,0,0,0,0,0,0.772089663212108,0.772915902542813,0,0.772281726857883,0,0.774493466454532,0,0,0,0.772103665272408,0.773923543705955,0,0,0.778547059028148,0,0,0,0,0,0,0,0,0.713375561505673,0,0,0,0,0.777321146736523,0,0.77577980744305,0.773544465543894,0.714631666863518,0.715437148484997,0,0,0,0,0,0,0,0,0,0,0,0,0,0.710635045676037,0,0.713596006466397,0,0.780839580304896,0.719242279300641,0.71182763899198,0.71541438674112,0.778948009589439,0.71493177659942,0.714269920681988,0.776752942978933,0.773219633144366,0.773219633144366,0.773219633144366,0.773219633144366,0.773219633144366,0,0,0,0.769821069927333,0,0.77960956495304,0.777972228425727
"Transport of inorganic cations/anions and amino acids/oligopeptides",0.883266762363427,0,0,0,0.88372961099759,0,0.884736483814295,0,0,0,0,0,0,0,0,0,0,0,0,0.885295664622572,0,0,0,0,0.908357876960117,0,0.883509530550122,0,0,0,0.863801427816374,0,0.90627086791165,0.908926026409759,0,0,0.882779618524946,0.906540406976114,0,0.906200780239951,0.884178370345795,0,0.886636493663268,0,0,0,0,0,0,0,0.882679788454861,0,0,0,0,0,0.883514980254989,0,0,0.886526056014758,0,0,0.883299561385099,0.905476823296222,0.883471196933583,0,0,0.883685474584131,0.908956920383974,0,0.883765269935637,0,0,0,0,0.884715195879152,0.863724577279659,0,0.906141799803873,0,0,0,0,0,0.883036067462074,0,0,0.885512809458841,0,0,0,0,0,0.884260578378357,0,0.884978037286837,0,0,0,0,0.883618226341214,0.88270633452006,0,0.884559814696968,0,0,0.884056992690116,0,0,0,0,0,0,0.884255076341429,0,0.882840515264795,0,0,0,0,0,0,0,0,0.908252822639389,0,0.883368153451665,0.885254563881062,0,0.884008183532542,0,0,0.883271354195054,0,0,0,0,0,0.909736753269815,0,0,0,0,0.906560803935846,0.882778320923292,0,0,0.884331122712635,0.883304060501913,0,0,0,0.906248052125297,0,0,0,0,0,0,0.882840515264795,0.883386041568791,0,0.88347823712013,0,0.883577853743471,0,0,0,0.882846208139185,0.904759151460831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.929888996859763,0,0.907361643069908,0.883290148061924,0.884551577858636,0,0,0,0,0,0,0.907237172559269,0,0,0,0,0,0,0,0.883544591312083,0.88647485861821,0.883910050068683,0,0.888001672769592,0.885393798086431,0,0.884135639426674,0.886234613552735,0.88393942266592,0,0.907757294727688,0.883509530550122,0.883509530550122,0.883509530550122,0.883509530550122,0.883509530550122,0,0,0,0.882588041220148,0,0,0
"Ethanol oxidation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.715305873495717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721127998884138,0,0,0,0,0,0,0.765968053674016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77227172516219,0,0.765818473651215,0,0.820311254050836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.721580926067504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.768700174637151,0,0,0,0.711065879158068,0,0,0,0,0,0,0.765968053674016,0,0,0,0,0,0,0,0.711519822717391,0.718915929273508,0,0,0.715799553217934,0,0,0,0,0.764912153972804,0,0,0.709662371975251,0,0,0,0,0,0,0,0.710957368292214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769816538465705,0,0,0.767679596980183,0,0,0.711927060338188,0.714556683459643,0,0,0,0,0,0,0,0,0,0,0,0,0.822471707440683,0,0,0,0,0,0,0.768991166013985,0.715677051783366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cardiac conduction",0.829186782634238,0.786008144503653,0,0,0.807649576564722,0,0.787141561796572,0.786425588811123,0,0,0.787284410613222,0,0.789195197031874,0,0,0.834753372492146,0,0,0.788835384489327,0.788080208979821,0,0,0,0,0.785835276654103,0.790024319396059,0.810178841458602,0.784546713031639,0,0.805269528702314,0,0,0.808534925534784,0.767325639320342,0,0,0.829665482241498,0.808799101046194,0,0.808466232536419,0.807991639541573,0,0.790258472431832,0,0,0,0,0,0,0.789044933014422,0.829224569097921,0.789885365659864,0.786942574243292,0.786025754761143,0.786685266698513,0.787722246694079,0.829430061242386,0.788329962751444,0.783960039648411,0.788426107739476,0.785446567192395,0.806833850014915,0.829576912072412,0.809325804172466,0.807622504399336,0.83535582150949,0.787910864628125,0.787154005496049,0.811167528296693,0,0.810923895424325,0.786332545955865,0.786937746419226,0.786990267476184,0.831103434512808,0.831057077301258,0,0.782708010797591,0.80840842575099,0.807913951578535,0.789662108041507,0.790575459860376,0,0,0.82921059097241,0.788636707722007,0.834391161137594,0.788529760966185,0,0.786828672078736,0,0.782712574547409,0,0.804570032392745,0,0.809053520491264,0,0,0,0,0.807700394656737,0.829593656513723,0,0.810610725887233,0,0.787967751396891,0.808340961626842,0,0.785034078273439,0,0.786332545955865,0.787702315728239,0.785191382777002,0.827892724344751,0.788407447257936,0.829725167198203,0.830309616290778,0.817881361151279,0.833271316854874,0,0.790458874835261,0.788132296255156,0.786459197652464,0,0.766665831619835,0,0.826089786388493,0.786999311848178,0,0.78738085426176,0,0.782712574547409,0.786748125681234,0,0,0,0.78475259282209,0,0.768120233541017,0.786624885917908,0,0.785613276280634,0.787604272299546,0.808819092127187,0.809482706378458,0,0,0.831614646482108,0.806967973968611,0,0.78821079230998,0,0.82807591088105,0.807314080268752,0,0,0,0,0,0.829725167198203,0.810057809782317,0.790099678542425,0.829394049258514,0,0.809610963222393,0.784772853651833,0.789729376598287,0,0.829730746790186,0.836363490095825,0.785638412868631,0,0.832123498053453,0,0,0,0.787154707032521,0,0.782698935718191,0.810315013052447,0.806813657439262,0.831252435127555,0.78829701095191,0.811927038068852,0,0,0.810218193872731,0.782712574547409,0.809603995377551,0.82787290179957,0.787998976016778,0.80712848368433,0,0,0.782703464567015,0,0.791097720252053,0.78650250547097,0,0.787141128644947,0.788366727673042,0.765670391942614,0.782712574547409,0.787398616662605,0,0.78821560499179,0.789612783562512,0.831201952755216,0.789558245395898,0.811156594393447,0.829696595851133,0.784700583229634,0.788345135594557,0.810901165462642,0.788152823347639,0.805814490374196,0.809991773970023,0.810178841458602,0.810178841458602,0.810178841458602,0.810178841458602,0.810178841458602,0,0,0,0.808310424198403,0.788026902600481,0.832546889284023,0.810567238473491
"Neurotransmitter receptors and postsynaptic signal transmission",0.875220862840765,0.859862026752905,0.861574543234124,0,0.859648394110055,0,0.876533095017531,0.860094740174845,0.826961975931502,0,0.842465174566759,0.827154360405454,0.844653236945595,0.861382635524169,0.827154360405454,0.861918558809777,0.826961975931502,0.862072153976316,0.843716407876886,0.859861766866529,0.827154360405454,0.826961975931502,0,0.845671820909004,0.860714643039406,0.84349777288467,0.878162153686987,0.859670322562038,0,0.860272558142074,0.841015697017779,0,0.859668573324671,0,0.84488970317117,0,0.875121993165368,0.85854168780015,0,0.858296781868683,0.859242361137207,0.843597197016034,0.844425205576721,0.841815985020467,0,0.841815985020467,0,0,0,0.861992657136121,0.874797594067969,0.846281842520954,0.843167276630377,0.859874983390097,0.860487745639577,0.842130250355603,0.875399853560478,0.860906355297008,0.859662181746278,0.844497932864535,0.85901021442168,0.842432461556076,0.878113034239025,0.876135915064057,0.859580402693019,0.862361806919529,0.859356005892614,0.858718604123928,0.842691047677643,0.860411346974804,0.859693819777812,0.860448971851313,0.860442307731727,0.860117102206241,0.875708247156609,0.86001857511198,0.840960279848652,0.842676357708024,0.859575501897153,0.858865446856412,0.843231278138037,0,0.844768503972076,0,0.859593975085678,0.84257786005607,0.861652064063144,0.8607607784168,0.843061636842744,0.862348288024691,0,0.842679715458509,0.859454216298385,0.876189918077472,0,0.862449315051907,0,0,0,0.843176923872685,0.859354484772236,0.877582966447151,0,0.876278362195988,0.860178311066806,0.842701443542795,0.859670880597218,0,0.859849273660718,0,0.859951639292336,0.841195558577328,0.85996945704492,0.892210832430793,0.844151878420053,0.877679724613617,0.85928062685793,0.85922713707126,0.877444718599573,0,0,0.842343902714206,0.86074386866828,0,0,0,0.875546387593373,0.860262750134825,0.844682221301566,0.859567730673,0,0.842679715458509,0.858419980579821,0.844412839058131,0,0,0.860426768717252,0,0,0.860212122567783,0,0.860157914591379,0.843482723989209,0.858556396113397,0.874885007676527,0,0,0.860152910498169,0.859309507963147,0.846796919865523,0.859938993196737,0,0.859193241567185,0.845048613088791,0.860411346974804,0.845128969454712,0,0.86199265713612,0,0.875165906000278,0.878073105385489,0.829288944071778,0.875373357967789,0,0.860078002960008,0.859943069837274,0.860041986476102,0.843269727047112,0.877683829763645,0.876623927041324,0.860569801736197,0,0.859983645082178,0,0,0.861021027472968,0.8620126383634,0.843052915532628,0.842669680774916,0.876533095017531,0.844680430110875,0.860102006742012,0.861726162389488,0.860788594625793,0,0.843333761104134,0.845177191918782,0.842679715458509,0.860455134798518,0.875868320311654,0.859205205577916,0.860471951840326,0.861992657136121,0,0.842673012847212,0,0.861726162389488,0,0,0,0.844043695778262,0.860641898760548,0.842679715458509,0,0,0.85976296359831,0.844329317775609,0.859849273660718,0.844248248283672,0.878651583487815,0.86015746130186,0.860388502983751,0.859767696678516,0.877377351404821,0.85962620414143,0.860677500607649,0.860740440481103,0.875648335073648,0.875648335073648,0.875648335073648,0.878162153686987,0.875648335073648,0,0,0.844902653389437,0.858922049860004,0,0.860295152541287,0.860034728116298
"O-linked glycosylation",-0.0201410411978399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201410411978399,0,-0.0201410411978399,0,0,0,0,0,0,0,0,0,-0.0201410411978399,0.448372519972372,0,-0.0201410411978399,0.450691320611177,0.827689200027181,0,-0.0201410411978399,-0.0201410411978399,0,-0.0201410411978399,-0.0201410411978399,0,-0.0201410411978399,-0.0201410411978399,0,-0.0201410411978399,0,0,0,0,-0.0201410411978399,0,0.451708781697492,0,0,0.449875972319049,-0.0201410411978399,0,0,0,0.449945026899621,0,-0.0201410411978399,-0.0201410411978399,0.447392170726054,0,-0.0201410411978399,0.448118413971584,0,-0.0201410411978399,-0.0201410411978399,0,0,0,0.449038540278495,-0.0201410411978399,0.448283718061167,0,-0.0201410411978399,0,0,0,-0.0201410411978399,0,-0.0201410411978399,-0.0201410411978399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449056417634046,-0.0201410411978399,0,0,0,0,0.448514669345402,0,-0.0201410411978399,0,0,0,0.449644170873092,0,0.450219442148893,-0.0201410411978399,-0.0201410411978399,0,0,0,0,0.450326385276178,0,0,0,0,0,0,0,-0.0201410411978399,0.452514841589032,0,0.447639891848103,0,0,0,-0.0201410411978399,0,0,0,0,0,0,-0.0201410411978399,-0.0201410411978399,0,0,-0.0201410411978399,0,0,-0.0201410411978399,0,0.447693511402885,-0.0201410411978399,-0.0201410411978399,-0.0201410411978399,0,0,0,-0.0201410411978399,0,0,-0.0201410411978399,0,-0.0201410411978399,0.449041772927092,0,0,-0.0201410411978399,0,0,0.450422332333639,0,0,0,0,0,0,0,0,-0.0201410411978399,0.44917870777727,0,0,0,0,0.449945026899621,0,0,-0.0201410411978399,-0.0201410411978399,0.450862487349392,0,0.475557211017836,0,0,0,0,0,0,0,0,0,0,0,0,-0.0201410411978399,-0.0201410411978399,-0.0201410411978399,0,0,-0.0201410411978399,-0.0201410411978399,0,-0.0201410411978399,-0.0201410411978399,-0.0201410411978399,0,0,0,0,0,0,0,0,0,0,0,-0.0201410411978399
"Binding and Uptake of Ligands by Scavenger Receptors",0.498894414539025,0.396584719465966,0,0,0.448307316108904,0,0.397459259694746,0.45119627362542,0,0.404163392189982,0,0,0.453643349359863,0.507143450774554,0,0.403942813236271,0,0.505425876063379,0,0.504655136530194,0,0,0,0.405294897292238,0.503405404727559,0.556591325302021,0.44751119003306,0.447885749079352,0,0.550202115709514,0.395844074426019,0,0.551406377875878,0,0,0,0.498592822476293,0.499633666888366,0,0.498886605822875,0.501981616909199,0,0.507017645923784,0.553458020548506,0,0.553458020548506,0,0,0,0,0.497603275453502,0,0.401701465044387,0.396624242392701,0.503174321645985,0,0.499440407839315,0.403942813236271,0.447155920090238,0.450253048795309,0.398343957233932,0.45183424677258,0.55322706095704,0.504359415430016,0.447063960714788,0.405294897292238,0.399213627336234,0.447535297252477,0.453668894750695,0.550067294969181,0.502423413570691,0.452754125415281,0,0.452077402355443,0.501194047268588,0.550268948856575,0.395675029890568,0.495328819687663,0.551122472788763,0.397205664839015,0.555778409713678,0,0.502865157907871,0,0.545948152541375,0.400842646300692,0.403129897647928,0.452177962841276,0,0,0,0.495339062169909,0.503684228269724,0.396412432739774,0,0.450021349425688,0,0,0,0,0.499717422640055,0.498431623074292,0,0.45089640992358,0,0,0.447182455065576,0,0.548968263519218,0.510356344785866,0.45183424677258,0.501454171629816,0.397771243577752,0.501931187422702,0.450885732168004,0.498726774190079,0.496163284121886,0.499680832036911,0.400616616762339,0,0,0.452779331668235,0.400616616762339,0,0,0,0.394825947766896,0.399588476883765,0,0.500178832323012,0,0.495339062169909,0.446624375978725,0,0,0,0.549859604067338,0,0,0.504385833582695,0,0.502168205000205,0.450072816579661,0.499678533127822,0.54604383611039,0,0,0.501105046147028,0.445218198964575,0,0.39988675887916,0,0.500390352777942,0.502996855020261,0.550067294969181,0,0,0,0,0.498726774190079,0.447239557089754,0,0.499359585682062,0,0.548669924133378,0.44839327937348,0.452109841826421,0,0.498739296539926,0.500919976265215,0,0,0.398040552305659,0,0,0.40297923579504,0.402764406992721,0,0.495308452370579,0.401657546827196,0.501873749646167,0.503346394338913,0.509004260729898,0.507251370118581,0,0.455419207958609,0.452765195715531,0.495339062169909,0.500147505945662,0.500840751434017,0.50253347875057,0.504797027652769,0.509817176318241,0,0.495318616524075,0,0,0,0,0,0.451784004952806,0.44843700201226,0.495339062169909,0.452993865671561,0,0.497634604138657,0.505568518113479,0.500178832323012,0,0,0.504655136530194,0.549742878271972,0.447047384277223,0.454832358349725,0.500788726226578,0.503753150210001,0.503710163224445,0.44751119003306,0.44751119003306,0.44751119003306,0.44751119003306,0.44751119003306,0,0,0,0.495530525587746,0,0.398990774674373,0.503031793950747
"Protein-protein interactions at synapses",0.674541430330617,0,0.651303215165312,0,0.648242669898074,0,0,0.649273386746596,0,0,0,0,0.651461345012439,0,0,0,0,0.6255530979201,0.649306396606002,0.62213111469093,0,0,0,0,0,0,0.647825936688027,0.64844752180043,0,0,0,0,0.673599581558688,0,0,0,0.646985507721374,0.675297668707143,0,0.67490661863936,0.64764341596964,0,0.651702679479246,0.62624670338607,0,0.62624670338607,0,0,0,0,0.646467528069893,0,0,0,0,0,0.646988649668752,0.627257578831531,0.649039535230037,0.649686687856796,0.624256422074399,0.650088846253406,0.64805469308355,0.649152994756081,0.647693577876385,0,0.624782080438967,0.646966256243312,0.649475464215477,0.649445898058587,0.649723344394778,0,0,0,0.647680265988786,0.648393223463196,0,0.646778113596633,0.673876492780434,0,0,0,0.652009866655682,0,0.648689292746625,0,0,0.650694286569839,0,0,0,0.646783475037031,0,0,0,0.649467639738388,0,0,0,0,0.64823731825129,0.646901127688748,0,0.674813467753846,0.649073801282192,0,0.648812090529923,0,0.623067154455587,0,0.650088846253406,0,0.647886428334721,0.647697091759377,0.649592345073587,0.647055624916842,0.647214915069283,0.646888171545302,0,0,0,0.623956634380441,0,0,0,0,0,0.650704126865295,0,0.648563421467594,0,0.646783475037031,0.646489433340471,0,0,0,0,0,0,0,0,0,0.649592345073587,0.675321153997424,0.672372322986329,0,0,0.6497809581536,0,0,0.625134432003849,0,0.645959423326535,0.625535534545085,0.649445898058587,0,0,0.651545310898264,0,0.647055624916842,0.647683750077322,0.622581244876566,0.64694634320743,0,0.648913635737294,0.648713189180366,0.650233106835925,0,0.647062179756844,0.649142364839724,0,0,0,0,0,0.650419396735017,0,0.625809371821256,0.646767452298522,0,0.62494764360423,0.650022292620407,0,0,0,0.650586718958403,0.649263325573575,0.646783475037031,0.649331628409225,0.647736667300274,0.649355436451816,0,0,0,0.646772772737637,0,0,0,0,0,0.650488068810533,0.648736075851414,0.646783475037031,0,0,0.647985079409077,0.650944131678238,0.649296130345815,0.677267533537707,0.652010965289308,0.649917499279991,0,0,0.650586718958403,0,0,0.650212707907612,0.647825936688027,0.647825936688027,0.647825936688027,0.647825936688027,0.647825936688027,0,0,0.625032792361259,0.647857740152382,0,0,0.64930909300263
"GABA receptor activation",0.595347623263477,0,0,0,0.559285915546909,0,0.598332440863924,0.518787941001658,0,0,0,0,0,0,0,0,0,0,0,0.560800843085517,0,0,0,0,0,0,0.59631995625988,0,0,0,0,0,0.557235649506721,0,0,0,0.595122733223057,0.557677755358069,0,0.557120689659149,0.560021983745718,0,0.522248560920908,0,0,0,0,0,0,0.565258602502817,0.594384851503169,0,0,0,0,0,0.595754757503878,0.563958819587766,0,0,0.521530317681665,0,0.596208228628598,0.559479538976067,-0.0285897959761795,0,0.560432377948089,0.557811405864441,0.520706138992424,0,0.559051638111478,0.560114007216305,0.561732160863139,0,0.596456232936271,0.560768334031503,0,0,0.843858707892679,0.558145415942972,0,0,0,0,0.557503567359541,0.520567527252767,0,0,0,-0.0285897959761795,0,0,0,0.597551846858617,0,0.560080996878785,0,0,0,0.52248536012232,0.558011848823473,0.595002530656373,0,0.561701443221185,0.51877723164441,0,0.558731526212759,0,0,0,0.521266973495612,0,0,0.558163487058298,-0.0285897959761795,0.595222617835585,0.515855569783491,0.557700171241421,0,0,0,0.518203201068512,0,0,0,0,0.596088065410964,0.520304893879719,0,0.558443055445521,0,0,0.557132153498785,0,0,0,0,0,0,0.561208579182346,0,0.560161118054984,0,0.557711211047564,0.556955990424041,0,0,0,0.559155482172505,0,0.560934316157356,0,0.557623072158705,0,0,0,0,0,0,0.595222617835585,0.596117406023491,0,0.595694490340191,0,0,0,-0.0285897959761795,0.522696451233566,0.595231955454546,0.558875829071816,0.560754210910891,0,0,0,0,-0.0285897959761795,0,0.521810961101245,0,0.558902891052865,0,0.559133711102815,0.56557658972367,0,0,0,0.519117398607366,0,0.518089518516743,0.558565095595651,0.559133711102815,0,0.566182761576685,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521167980719687,0.558443055445521,0,0.563487958507673,0.519267903990852,0,0,0.600252795637024,0,0,0.518738477929539,0.59631995625988,0.59631995625988,0.59631995625988,0.59631995625988,0.59631995625988,0,0,0,0.512294926770967,0,0,0.559774058206434
"Signaling by Retinoic Acid",0.673941071011781,0.720220122516585,0.722510764285164,0,0.675660002983188,0,0,0,0,0,0,0,0,0.724719676641052,0,0,0,0,0,0,0,0,0,0,0.678487346553889,0,0,0,0,0.718721729489796,0.674177299786362,0,0,0.678133262952258,0,0,0.717720944881647,0,0,0.673040309309675,0.719348975196676,0,0,0.723197794002792,0,0.723197794002792,0,0.679787537832194,0,0,0.67288426725322,0,0,0.720252472228549,0.721470924722442,0.719827494892755,0.674387969241697,0,0,0,0,0.679778188339296,0.718912458459184,0.720252472228549,0.716609075247565,0,0,0.716994866546242,0,0,0,0.721427826961799,0.679199175854951,0.722322645306483,0.717350130218385,0.765881024858729,0.674038935993931,0.672030998119097,0,0.677555648571249,0,0,0,0,0.674241353563571,0,0,0,0,0,0,0.672039381641722,0.719983049295024,0,0,0.721089676244001,0,0.680140782304595,0,0.723910925751988,0.674614707232887,0.717589002369936,0,0.677665836301131,0,0,0.673876783012977,0,0.720188281009195,0.725017613271757,0,0.720062973384931,0,0.719788037732901,0,0.717830585025131,0,0.716800395894319,0,0,0,0,0,0,0.760236137458338,0,0.677009221497979,0,0,0.720188281009195,0,0.672039381641722,0.755679861141535,0.678133262952258,0,0,0.719106757457677,0,0,0.678624456995313,0,0.720647413247395,0,0,0.717129247191128,0,0,0.720946391627507,0.680045694448498,0,0,0,0.756626694204683,0,0,0,0,0,0,0.717830585025131,0,0,0.674321815904293,0,0.719590185727716,0,0.675738833193554,0.724142633711195,0.717840834630717,0.675916305185381,0.678125711480705,0,0.676073642912225,0,0,0,0,0,0.672014327368837,0.759343975554859,0,0.720946391627507,0.725577383388558,0.681555361356492,0,0,0.681299778407983,0.672039381641722,0,0.715239227337998,0.674662473726181,0.721653402883096,0,0,0.672022646778991,0,0,0.67502165437713,0,0.677773670808185,0,0,0.672039381641722,0.723993895418564,0,0.67372932544079,0,0.720188281009195,0,0,0.67712835952787,0.719011216814033,0,0.677797430726195,0,0.720421616582092,0,0,0,0,0,0,0,0,0,0,0.67940082091335,0.676634871125884,0.71925413996884
"Signal amplification",0.880347509758749,0.765701157965703,0,0,0.821634071523369,0,0.824744642286025,0.767224468889534,0,0,0,0,0,0.772057605857965,0,0.774209239631423,0,0,0,0.826645367282237,0,0,0,0,0.767735344953055,0.774209239631423,0.881855265673404,0,0,0.765202935054175,0,0,0.823465504785902,0.710841869346997,0,0,0.879998782224206,0.824966239035102,0,0.826254054440259,0.823824578507868,0,0.833504251543837,0.772841413133245,0,0.772841413133245,0,0,0,0,0.87885458005109,0,0.834682772297737,0.765746857884571,0.767468146166117,0,0.880978835715283,0.831674211031792,0,0,0.830800523506626,0.769240971783018,0.881682014330994,0.825227348027168,0.825181362155132,0.775772639327893,0.826205906181932,0.761508526904072,0.768986898913047,0,0.823487077042078,0.82649076691946,0,0,0.882066584188376,0.82740542681169,0,0.761712482168534,0.82313722850377,0.82363812837193,0.773269274413682,0,0.773269274413682,0,0.821001566450907,0.770624551220449,0.773269274413682,0,0.829727971931162,0,0,0.761724325436388,0,0.823534207966918,0,0.824811297001031,0,0,0,0.762958509998467,0.826536150999058,0.879812389155633,0,0.769660893133453,0.767158838697175,0,0.827652124481758,0,0.768589922430898,0,0.761069209059848,0.765479155909711,0,0.82282630223799,0.764495477280904,0.880153669095144,0.762892540340078,0.762488697921904,0.77036319578911,0,0,0.760734790787303,0,0,0.826587688154254,0,0.825114155574482,0.832771543622761,0,0.827102821665152,0,0.761724325436388,0.760455238806629,0,0,0,0.765746857884571,0,0,0,0,0.766304784722957,0,0.824202938081533,0.824399906556601,0,0,0.769660893133453,0.826192033108308,0,0.826984240668793,0,0.764362924848345,0,0,0,0.768319235474352,0,0,0.880153669095144,0.881541179534128,0,0.880885381957315,0,0.767745002826384,0.765987008555284,0.761387876543294,0.763285840113448,0.880168148548447,0.825065019869827,0,0,0.76738452122233,0,0,0,0,0.770700100126398,0.761688931667213,0.824612739982684,0,0.823946124886718,0.832488409124941,0,0,0,0.766523305965688,0.761724325436388,0.764929415506426,0.825955113104883,0.82764069146195,0.769344463002537,0.833428374342682,0,0.761700684364408,0,0,0,0,0.766727146681837,0,0,0.761724325436388,0,0,0.709675414047444,0.77091509645771,0.822543373478023,0,0.832216855158554,0.769180395881867,0.765611889150756,0,0.88795375441565,0,0.768137439171456,0.765935729594947,0.881855265673404,0.881855265673404,0.881855265673404,0.881855265673404,0.881855265673404,0,0,0,0.761945712448541,0.769025795519091,0.768483252737038,0.825185077424825
