"","PNISR","USP45","CCNC","MCHR2","SIM1","ASCC3","GRIK2","HACE1","LIN28B","PREP","PRDM1","ATG5","QRSL1","BEND3","PDSS2","SEC63","OSTM1","NR2E1","SNX3","FOXO3","SESN1","SMPD2","MICAL1","ZBTB24","AK9","FIG4","WASF1","CDC40","DDO","SLC22A16","CDK19","AMD1","GTF3C6","RPF2","REV3L","FYN","TUBE1","LAMA4","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","TRAPPC3L","RWDD1","KPNA5","GPRC6A","GOPC","NUS1","EPHA7","FUT9","UFL1","FHL5","NDUFAF4","KLHL32","FBXL4","COQ3"
"Glycosaminoglycan metabolism",0,0,0.521899641569993,-0.0204585463457362,0,0,0,-0.0204585463457362,0,0,0.553691665019686,-0.0204585463457362,0,0,0,0,0,0,0,0.65611540656456,0.552350583866294,0.522773305224995,0,0,0,0,-0.0204585463457362,0.493682115443584,0,0,0,0,0,0,0,0.65438209419897,0,0.681395370925523,0,0.654859450616497,0.576595178658272,0.654789167266889,0.577005132451413,0.524412198963387,0,0,-0.0204585463457362,0.521770523075707,0,-0.0204585463457362,0.550813646468083,-0.0204585463457362,0,-0.0204585463457362,0,-0.0204585463457362,0
"GPCR ligand binding",0,0.899316341379137,0.910874663375289,0.920312382148168,0.899952732192542,0,0.911034402636193,0.897595085682444,0.900781648970964,0,0.900965233902145,0,0,0,0.899516435631391,0,0,0.900064894813488,0.910567621886685,0.910370127576166,0.900422956864371,0.898276225946997,0,0,0.910412753173328,0,0.910557741653009,0.897698998114221,0,0.912416806141792,0.910976159893226,0,0,0.911057673204936,0.898545946812248,0.910152852257222,0,0.898620055872071,0,0.9101704767906,0.91066166422529,0.910845573832566,0,0,0,0.899924995000809,0.920693095738099,0.911647476432963,0.899577515742447,0.911159082715977,0,0.897592884200964,0,0.910815318978156,0,0.8975972956475,0
"Unblocking of NMDA receptors, glutamate binding and activation",0,0,0.772929132925384,0.774557500814815,0,0,0.845873394733788,0.772539770254439,0,0,0,0.773563821352862,0,0,0,0,0,0,0,0.839457895249957,0,0,0,0,0.77170560743424,0.786020048727887,0.842188708131825,0.769844560550627,0,0,0.771316205581971,0,0,0,0,0.898346024195237,0,0.777949099377692,0,0.828606616338969,0,0.774235033852928,0,0.779237560847996,0,0,0.776748131088438,0.781961753883602,0,0.845089881271341,0,0.772527043938394,0,0,0,0.772552545612301,0
"Transmission across Chemical Synapses",0.86049261369555,0.876636385811241,0.875838319627191,0.889083385993835,0.863229131199635,0.858803482069661,0.877036576247343,0.875182707015574,0.877911803016362,0,0.877103704862015,0.877503202303485,0,0,0.860414007855777,0,0,0,0.875501842653359,0.890128142983175,0.876356686234715,0.875510960322146,0.861394477252784,0,0.874579518587848,0.861732704012457,0.890273485650835,0.874617906145018,0.876860741148247,0,0.875978137071456,0,0.85883268015109,0,0.875575121823006,0.88916264091736,0,0.87591866001943,0,0.875351504352231,0.876736224852073,0.86034756710302,0.862183860695336,0.861781286840405,0,0.858958021422059,0.889605411392418,0.875583757349003,0.860498149313995,0.876055695646569,0,0.875179674344892,0.877231966802473,0.858346469493275,0,0.875185751372881,0
"Ethanol oxidation",0,0,0.763364032134532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.762833695288924,0,0,0,0,0,0,0,0.758307346920679,0.768185656761768,0,0.764023395438903,0,0,0,0,0.755826518148645,0,0,0,0.761068266180544,0,0,0,0,0,0,0,0,0,0.762363406839311,0,0,0,0,0,0,0
"Signaling by Retinoic Acid",0,0,0.751599770801482,0.749766895876525,0,0.665031328408776,0,0.704146838483198,0,0,0,0,0,0,0.756852419145752,0,0,0.757972638939848,0,0.752679117572084,0,0,0,0,0.707958694684095,0,0.753084254914423,0.706482923971054,0.753752470389833,0,0.751989506786749,0,0.71101219975266,0,0,0.749987816061913,0,0.75385163550341,0,0.789968227126788,0,0,0,0,0,0,0.751222022481946,0.669873549915135,0.757086960366934,0.663191992230175,0,0.704138385025173,0,0.66355556484454,0,0.70415532451726,0
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0,0,0.866282351289952,0,0,0.843709342654528,0,0,0,0,0,0,0,0,0,0,0,0,0.868143123690599,0,0,0,0,0.840254486998402,0,0.840999773046137,0.840141768647282,0,0,0,0.870959527480034,0,0,0,0.866423508875703,0,0.868892307383998,0,0.866897092970447,0,0,0,0,0,0,0.867212108605799,0,0,0.868461965293438,0,0,0,0.868048878927069,0,0,0
"Glucagon-type ligand receptors",0,0,0.829059876285021,0.882154412093301,0,0,0.829958366392293,0,0,0,0,0,0,0,0.765172919463922,0,0,0,0.763189947270154,0.823501699783946,0,0.758197075666587,0,0,0.82646175642043,0,0.824095150338292,0,0,0,0.829630766727186,0,0,0,0,0.819559445624153,0,0,0,0.826085585893793,0,0,0,0,0,0,0.884285900851275,0.763524414239293,0.765516478556559,0.825219219606505,0,0,0,0,0,0,0
"Blood group systems biosynthesis",0,0,0.495267931548739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491458388377254,0,0,0,0,0,0,0,0,0,0,0.729103497914508,0,0,0,0,0,0
"Neuronal System",0.862155695966905,0.874497418301558,0.873950951104184,0.884131579991555,0.864259080607017,0.862575281752499,0.874842226577669,0.873447023943082,0.875544704151919,0.875086275337113,0.874923571181628,0.875230639117757,0,0,0.86209179348136,0,0,0,0.873651147021742,0.884934617355923,0.874349386107279,0.873699331104309,0.862848900359323,0,0.87298339187346,0.863108873471174,0.885046332897393,0.873012897914627,0.874736820633577,0,0.874058419762523,0,0.860879812032008,0,0.873681693070995,0.884192498143384,0,0.874012703585855,0,0.873576767576984,0.874641112981633,0.862040017784423,0.863455648536794,0.863142025745032,0,0.862380788041963,0.884532827271534,0.873714109568979,0.862156467597476,0.874118034040655,0,0.873444692924581,0.875022157868929,0.86050609323504,0,0.873449363944338,0
"Synaptic adhesion-like molecules",0,0,0,0.655058790054838,0,0,0.739127392519784,0,0,0,0,0,0,0,0,0,0,0,0,0.73683779469468,0,0,0,0,0,0,0.741407726635388,0.518628856865583,0,0,0,0,0,0,0,0.806668032806032,0,0,0,0.732893127741232,0,0.663680939761968,0,0.66968090366162,0,0,0.657686202674936,0.585551536151476,0,0.742793328023206,0,0,0,0,0,0,0
"Negative regulation of NMDA receptor-mediated neuronal transmission",0,0,0.739920700393006,0.741862181591244,0,0,0.825471613144693,0.739435033177236,0,0,0,0.74066683391268,0,0,0,0,0,0,0,0.818954297024216,0,0,0,0,0.738340885629108,0.755212181221071,0.820896690476469,0.736280593705532,0,0,0.737480737736306,0,0,0,0,0.886622505490011,0,0.745766043813515,0,0.805076387068098,0,0,0,0,0,0,0.74442606765668,0.750528026072897,0,0.824292186957723,0,0.739420138457318,0,0,0,0.73944998529508,0
"Class B/2 (Secretin family receptors)",0,0.834729051925211,0.866175541773576,0.892321579355303,0.838032122268676,0,0.866617997023517,0.829392982283007,0.83821931369516,0,0,0,0,0,0.834714850977478,0,0,0,0.865325080103643,0.863438456130569,0,0.831279644862333,0,0,0.864896115584284,0,0.864557026992702,0.82944555843346,0,0,0.866456672830259,0,0,0,0.832595167501833,0.862323450521788,0,0.83285826632937,0,0.86471087300561,0.865585564133662,0.804243352165103,0,0,0,0.835846502876252,0.893371216277872,0.832671560060377,0.834884034280635,0.864740039383073,0,0.829386884489431,0,0.801749275655536,0,0.829399103574889,0
"Degradation of the extracellular matrix",0,0.617861560106413,0.645794647595996,0.64274379076147,0.682506057568754,0,0.680592974077374,0.675514889872003,0.650182472577615,0,0.680526481194957,0.678774903316741,0,0,0,0,0,0,0,0.676168513344241,0.678977960937423,0.676990364082147,0,0,0,0,0.644926722917544,0.611755697017776,0,0.649391708305959,0.646084479919967,0,0,0,0.615661629978414,0.672247842206541,0,0.707367749640123,0,0.67586479559815,0.678126437175944,0.675500477959532,0.678079048422675,0,0,0.617089420112904,0.64382591492158,0.678798325524125,0,0.645781461450428,0,0.675508603346053,0,0.644818519433254,0,0.675521200623554,0
"Aspirin ADME",0,0,0.867401099738472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.877058034805918,0,0.867298610635603,0,0,0,0,0,0,0.867815200083222,-0.0405045253969093,0,0,0.867898050960456,0,0,0,0,0.863866939902682,0,0.868793684841725,0,0.864812026362411,0.871699544298463,0.8681174629112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thrombin signalling through proteinase activated receptors (PARs)",0,0.73025875474289,0.807331519158059,0.875294685299824,0,0,0.809700452934715,0.80396743568618,0.817970989899055,0,0.817970989899055,0.812037061468537,0,0,0.72827095932432,0,0,0,0.722401733536089,0.880655548800145,0.814137883316361,0.809798289303371,0,0,0.805306299241573,0,0.881401331991881,0.802309136503969,0,0.819472026518209,0.808048951289468,0,0,0,0.724813190428136,0.802229368863295,0,0.808446920327917,0,0.804833569619974,0.813537042167146,0,0,0,0,0,0.877973305241171,0.814033989194557,0.728702706493112,0.809341948460972,0,0.803951874427693,0,0.808151851475883,0,0.803983056911148,0
"Keratinization",0,0,0.639508125186297,-0.0181881111483782,-0.0181881111483782,0,0,0,0,0,-0.0181881111483782,0.64007670287989,0,0,0,0,0,0,0,0.832275948537061,-0.0181881111483782,-0.0181881111483782,0,0,0,0,-0.0181881111483782,-0.0181881111483782,0,0,0.639731275660774,0,0,0,0,0.832575674800918,0,-0.0181881111483782,0,0.834023373201112,-0.0181881111483782,-0.0181881111483782,0,0,0,0,-0.0181881111483782,-0.0181881111483782,0,-0.0181881111483782,0,0,0,0,0,0,0
"Assembly and cell surface presentation of NMDA receptors",0,0,0.739949310502231,0.741734612353556,0,0,0.825540330585922,0.739435033177236,0,0,0,0.740756791654599,0,0,0,0,0,0,0,0.818480648717996,0,0,0,0,0.735501035009641,0.755212181221071,0.820896690476469,0.736280593705532,0,0,0.738126210481306,0,0,0,0,0.886622505490011,0,0.745766043813515,0,0.805102066443865,0.754787016407975,0,0,0,0,0,0.744298498418992,0.750123729721241,0,0.824292186957723,0,0.739420138457318,0.827831922216213,0,0,0.73944998529508,0
"Long-term potentiation",0,0.756855563642187,0.739726313125939,0.741143986164363,0,0,0.82514648747922,0.743794851816369,0,0,0,0.740464973852302,0,0,0,0,0,0,0,0.818067394664007,0,0.744690584146773,0,0,0.738309647517608,0.755103782223859,0.820223650935017,0.73617219470832,0,0,0.737834392679009,0,0,0,0.751643250297723,0.886622505490011,0,0.744470939349673,0,0.804925875708858,0.752954561385286,0.746682662897595,0.754118380477374,0.752537557449656,0,0,0.743707872229799,0.748952592414428,0,0.824292186957723,0,0.74377995709645,0,0,0,0.743809803934212,0
"G alpha (q) signalling events",0,0.889076929658388,0.909154228321721,0.927654552330171,0.890497420099329,0.885881730836633,0.909302528261189,0.907975870992103,0.91133097165232,0,0.911150999774654,0.910041275342311,0,0,0.888576241493989,0,0,0.89106243856007,0.888065469393042,0.927604037986063,0.910169923920057,0.908575422421944,0,0,0.908318550403295,0.888734247286414,0.927794919681208,0.907551432680184,0.888589242651428,0.911944239565362,0.909337853620484,0,0,0.909485325735982,0.88768314851805,0.907848343303204,0,0.909668793623758,0,0.908197556215553,0.91074251934834,0.909101600151985,0.887647258602967,0,0,0,0.928280484504558,0.909426863138766,0.888686746306066,0.909122385999772,0,0.907971888119558,0.889969625124919,0.909046863725624,0,0.907979869212947,0
