"","GRM1","IL22RA2","PCMT1","IFNGR1","RAB32","PDE7B","TNFAIP3","RAET1E","HIVEP2","RAET1G","TFB1M","ULBP2","PERP","ULBP1","STXBP5","CLDN20","NOX3","RAET1L","ULBP3","BCLAF1","PPP1R14C","ARID1B","MYCT1","VIP","FBXO5","ADAT2","MTRF1L","PEX3","SNX9","MTHFD1L","UST","MAP7","OPRM1","REPS1","FUCA2","SYNJ2","MAP3K5","SUMO4","IPCEF1","PHACTR2","PPIL4","ZBTB2","PEX7","HECA","SCAF8","KATNA1","IL20RA","CITED2","NMBR","TMEM181","LTV1","VTA1","DYNLT1","LATS1","ESR1","EZR","NUP43","PLAGL1","TAGAP","SF3B5","STX11","UTRN","SOD2","WTAP","ACAT2","TCP1","MRPL18","IGF2R","SYNE1","LPA","PLG","MAP3K4","EPM2A","AGPAT4","PACRG","FBXO30","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","AHI1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP"
"Trafficking of GluR2-containing AMPA receptors",0.85610304441359,0.859974814692656,0.863214275404734,0.859267007607439,0,0.85981332074516,0.8605227763453,0,0,0,0,0,0,0,0.802911784847837,0.860454628038436,0.863243012158715,0,0,0,0.810638890506185,0,0,0.856881936530447,0.797574322877688,0,0,0,0.856899421138429,0,0,0,0.855775469676765,0.855639487185162,0,0.856094562963137,0.860339164231448,0,0.863659608694125,0,0,0,0,0,0,0,0.860017742587397,0.861634622529401,0.85669607597427,0.80917032208702,0.858899366506811,0.802042977849392,0.801665273496496,0.860003459371975,0.913845169892796,0.911458972536321,0.856607294443942,0,0.859540340606223,0.857119237433724,0.802646827755355,0.859936072771771,0.862214839741974,0.862830207490263,0,0.857080437079074,0,0.856591057140541,0.859766305913666,0.806863530895492,0.857289670168418,0,0.804133726545848,0.85999517043587,0,0.855356255592862,0.800759966879187,0.858676307850423,0,0.86024575817557,0,0.857879905737982,0.856483332331676,0.858588282824887,0,0.85892818751584,0.858412203810047,0,0,0.86118460897544,0.856251485681341,0.856957213129341
"G alpha (z) signalling events",0.878155916823759,0.853272435342259,0,0.853360772736776,0,0.880348776418817,0.854439487086627,0,0,0,0,0,0.827145558576177,0,0,0.853320989211113,0.855366166791648,0,0,0,0.826814361649357,0,0,0.878870261894772,0.823100221558352,0,0,0,0.85261196025741,0,0,0,0.877990696582865,0.852936762703634,0,0.852527502565671,0.85390154086014,0,0.856981904952845,0,0,0,0,0,0.856050379161744,0.830542271443523,0.85329408706418,0.854109599567076,0.878455026633821,0.854924372820482,0,0,0.854648566819237,0.854526091172556,0.878788178819326,0.879685052508245,0.851252453067124,0.827886266575623,0.853930087970642,0.850579138104231,0.823318966335166,0.854143568949926,0.854526091172556,0.853459603971721,0,0.878970380447196,0,0.85245642941731,0.853612605913021,0,0.851789390068556,0.856050379161745,0,0.853728039269869,0,0.851833627393135,0.822458255506944,0.879775296466767,0,0.853532937262419,0,0.85221581734572,0.877902387216268,0.853463778493995,0,0.852423051618597,0.85292963176818,0,0,0.854327961363802,0.852285158339346,0.851750435013286
"L1CAM interactions",0.867347954842122,0.868148858005932,0.868285428729121,0.867959189569252,0,0,0.867351771091168,0.869646440967166,0,0.86981724474476,0.855029105422542,0.86981724474476,0.869461270100189,0.869646440967166,0,0.853965088058479,0.868788024003984,0.86981724474476,0.869646440967166,0.868399366096944,0.854936928947658,0.851493219407838,0.853384521084564,0.866644716920984,0.866892569459693,0,0.867933291753925,0.852191003400362,0.881345872354739,0,0.868250439163569,0,0.866177417328699,0.881518434924726,0,0.881301001275377,0.867417315268983,0.852120424104991,0.86857830542404,0.867631364915727,0.855064711435078,0,0,0,0,0.868555338732576,0.868160361234503,0.853542226470996,0.867506867307631,0.869109923323176,0.866680151241378,0.867581576878393,0.867578129224988,0.867719888460857,0.867447265223574,0.883049289118686,0.867246476107811,0.869854796926973,0.86867740626964,0.86582770000078,0.867841152675421,0.867292318692583,0.852813852716488,0.851646294807316,0.852454935957647,0.86695149077332,0.867884090996525,0.881263241199119,0.851061873220253,0.869151535567315,0.866836754409838,0.868305377782665,0.868780757412048,0.852102723266381,0,0.867147840614509,0.851494387580419,0,0,0.883108737581628,0,0.867180088510964,0.866384082310731,0.881798430350455,0.85351498306592,0.867460992686917,0.866507977011851,0.868092977372956,0.868086793752364,0.868709642830932,0.866558555967406,0.866511066388657
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",0.449824223642708,0.451038358187413,0,0.450750829043542,0,0.451590362886748,0.426494031335557,0.474049551301087,0,0.474822965736332,0,0.474822965736332,0.454284913278243,0.432963176471348,0,0.428694366222788,0.450898390602043,0.474822965736332,0.435214415928992,0,0.429276335404739,0.425769588828121,0.428679765761546,0.450399560461603,0.427327152061574,0,0,0,0.571385707322442,0,0.427325724743888,0,0.470587883445166,0.571647304712503,0,0.571317684707507,0.450568758561031,0.429760538568212,0.429689762885031,0.429755019841339,0.408057100535789,0,0,0,0,0,0.451055796584231,0.428824135764294,0.450065128064961,0.45315282235366,0.426582959190763,0.427949481455671,0,0.429150477609094,0.472171192947765,0.451659360057154,0.426513874361984,0.454881482921436,0.451066200051942,0.425859825728194,0.428194780563456,0.450392363913763,0.451689381892925,0.428601942281543,0,0.452399127008457,0,0.571260442065616,0.47220906208337,0.574223557835727,0.471202989990588,0.426732912226528,0.428798796467198,0,0,0.448903251505501,0,0.451128479485153,0,0.428350586863687,0,0.448469124446318,0.471337789530442,0.403082338037744,0,0.427556084708565,0.450032260928097,0,0,0.428731971809312,0.449884524240884,0.449812532094169
"Drug ADME",-0.0124599209897141,-0.0124599209897141,0.795570020488926,-0.0124599209897141,0,0.811039746061212,0.810519402740573,-0.0124599209897141,0,-0.0124599209897141,0.812874564032853,-0.0124599209897141,0.813479287145857,-0.0124599209897141,0,0,0.811461192443061,-0.0124599209897141,-0.0124599209897141,0,0.794484059183412,0.795543790679637,0.813215107107599,0.810012841321008,0.791568841958916,0,0,0,0.811043127088438,0.795071263157702,0,0,0.809491071090177,-0.0124599209897141,0,-0.0124599209897141,0.827721858752404,0,0.81276021360001,0.811946359245711,0,0,0,0,0.813155329200125,0.793316271183865,-0.0124599209897141,0.811584682647788,-0.0124599209897141,-0.0124599209897141,0,0,0.810339028041814,0.79258783853409,0.827822040887536,0.827708684491486,-0.0124599209897141,0.813918685310629,0.811337680585282,0.809628948646638,0,0.828593822976217,0.810941522526188,0.811337680585282,0.837394093937255,0.810676956135233,0,0.810950864056641,0,-0.0124599209897141,0.827347121315881,-0.0124599209897141,0,0.791923709708511,0,0.791573002800142,0.811486211267722,0.810699549872359,0,0.810978418605376,0.812891149161868,-0.0124599209897141,0.826956034060481,0.791502766546287,0,-0.0124599209897141,0.812506538123474,0.794909681995043,0.811149702131492,0.81145003782828,0.827150845187262,0.81018519381264
"Glucagon-type ligand receptors",0.919933720306017,0.889873000772598,0,0.889433864916079,0,0.887610033475101,0.890760763100742,0,0,0,0,0,0,0,0,0,0.891352850097696,0,0,0,0,0,0,0.811340804204574,0,0,0,0,0.888512770356001,0,0,0,0.919730487227917,0.888912301312764,0,0.888408881168039,0.89009904957902,0,0.8938881245304,0,0,0,0,0,0,0,0.889899633986958,0,0.920301647425965,0.891810548733724,0,0,0.852574759903126,0.85320286074389,0.920711449177675,0.921814669942156,0.887783732496465,0,0.891644536248954,0,0,0.890396761974354,0.888789716715139,0,0,0.920935570613806,0,0.888321455955283,0.887270603637059,0,0.885734055639742,0.892742279125313,0,0,0,0,0,0.88690461085101,0,0.890041098833388,0,0.888573282731687,0.919621860195893,0.889560569592143,0,0.88867585765886,0,0,0,0,0.888110779901454,0
"Potassium Channels",0.953220124337632,0,0,0.938290692569057,0,0.937439645526929,0.938940198465347,0,0,0,0,0,0,0,0,0,0.939230020246765,0,0,0,0,0,0,0.953650239442409,0.922583636212918,0,0,0,0.937839824254723,0,0,0,0.953120643394729,0.93803539141667,0,0.937788971340066,0.938616295064934,0,0.940471016512935,0,0.940275099065801,0,0,0,0,0,0,0,0.95340022167786,0.9394540600158,0,0,0,0,0.953600816310608,0.95414083392441,0.937482966137151,0,0.93937279825136,0.922183812052318,0,0.938762022867115,0.937975387250661,0,0,0.953710521935301,0,0.937746177407702,0.937150531959039,0,0.936479665944779,0.939910134483369,0,0,0,0.921535037670961,0,0.937094346875518,0,0.938856071010974,0,0.937869444571685,0.953067471343842,0.938352713480037,0,0.937448481878233,0,0,0,0,0.937643053188564,0
"Defective B3GALTL causes PpS",0.811234899562851,0,0,0,0,0,0,0,0,0,0,0,0,0,0.815128230260576,0,0.81515694478558,0,0,0,0,0,0,0,0,0,0,0,0.811734087113175,0,0.816936269980753,0,0.84969367213403,0.812137743313702,0,0.81162912524682,0,0,0.817164942985025,0.816389110325502,0,0,0,0,0,0,0,0,0.811606625610095,0,0,0,0,0,0.812900380545518,0.813939217379619,0,0,0,0,0,0.814441478321283,0,0,0,0,0,0.811540797349785,0,0.819697734366436,0.84422326995109,0,0,0,0,0,0,0,0,0,0,0,0.849583923504346,0,0,0,0.883964470235141,0,0,0,0,0
"Activation of G protein gated Potassium channels",0.928434473546316,0,0,0.894627286270839,0,0.892700119371289,0.896098070143447,0,0,0,0,0,0,0,0,0,0.896754361648226,0,0,0,0,0,0,0.929408454480259,0,0,0,0,0.893606310404139,0,0,0,0.928209202355877,0.894049165549022,0,0.893491155719356,0.895364601978908,0,0.899564555219485,0,0,0,0,0,0,0,0,0,0.928842297809375,0.897261692037374,0,0,0,0,0.929296537489818,0.930519388894002,0.892798217410479,0,0.897077677553011,0,0,0.895694597599366,0.893913288168753,0,0,0.929544962122226,0,0.893394250324152,0.892045431591807,0,0.890526278463113,0.898294457059895,0,0,0,0,0,0.891918202393123,0,0.895300367192044,0,0.893673384598136,0.928088796066474,0.89476773050107,0,0.894394281717072,0,0,0,0,0.893160729059373,0
"G protein gated Potassium channels",0.928434473546316,0,0,0.894627286270839,0,0.892700119371289,0.896098070143447,0,0,0,0,0,0,0,0,0,0.896754361648226,0,0,0,0,0,0,0.929408454480259,0,0,0,0,0.893606310404139,0,0,0,0.928209202355877,0.894049165549022,0,0.893491155719356,0.895364601978908,0,0.899564555219485,0,0,0,0,0,0,0,0,0,0.928842297809375,0.897261692037374,0,0,0,0,0.929296537489818,0.930519388894002,0.892798217410479,0,0.897077677553011,0,0,0.895694597599366,0.893913288168753,0,0,0.929544962122226,0,0.893394250324152,0.892045431591807,0,0.890526278463113,0.898294457059895,0,0,0,0,0,0.891918202393123,0,0.895300367192044,0,0.893673384598136,0.928088796066474,0.89476773050107,0,0.894394281717072,0,0,0,0,0.893160729059373,0
"TNFs bind their physiological receptors",0,0.245738789540758,0,0.245199735000468,0,0,0.254022467183821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20562676034229,0,0,0,0.244069059385449,0,0,0,0,0.244559497533536,0,0.243941531793187,0.324861700192415,0,0,0,0.211104078726455,0,0,0,0,0,0.245771482737886,0,0,0,0.165468144651342,0.168030076361608,0,0,0.251670158440368,0.326739334606499,0.250427057620618,0,0,0.250816945202666,0,0.246381724636224,0.248117197065376,0,0,0.202536626611245,0,0.24383421430323,0,0,0.251619184365807,0.24858848821162,0.169622357084661,0,0,0.163442208445548,0.252673099193197,0,0,0.246617576080024,0,0.244143340431675,0.243079732492108,0,0,0,0.252959527513368,0,0,0.167880989038332,0.31569669394238,0.243440632518221
"Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits",0.928434473546316,0,0,0.894627286270839,0,0.892700119371289,0.896098070143447,0,0,0,0,0,0,0,0,0,0.896754361648226,0,0,0,0,0,0,0.929408454480259,0,0,0,0,0.893606310404139,0,0,0,0.928209202355877,0.894049165549022,0,0.893491155719356,0.895364601978908,0,0.899564555219485,0,0,0,0,0,0,0,0,0,0.928842297809375,0.897261692037374,0,0,0,0,0.929296537489818,0.930519388894002,0.892798217410479,0,0.897077677553011,0,0,0.895694597599366,0.893913288168753,0,0,0.929544962122226,0,0.893394250324152,0.892045431591807,0,0.890526278463113,0.898294457059895,0,0,0,0,0,0.891918202393123,0,0.895300367192044,0,0.893673384598136,0.928088796066474,0.89476773050107,0,0.894394281717072,0,0,0,0,0.893160729059373,0
"ADP signalling through P2Y purinoceptor 1",0.913913682033955,0.824943010910491,0,0.87481168512724,0,0.87258268945449,0.875810522579186,0,0,0,0.829692247482309,0,0.831299846251191,0,0,0,0.876764904933447,0,0,0,0,0.826462859007729,0.831299846251191,0.915040205786312,0,0,0,0,0.873630806195898,0,0,0,0.9136531293497,0.874143020369891,0,0.873497616229768,0.874962180193666,0,0.879819921161089,0.828085914836072,0,0,0,0,0,0.832011821124404,0.82497715572371,0.826263220739253,0.91438537886406,0.877858685911267,0,0,0.875286923646322,0.830908924325594,0.911598409336912,0.916325132380642,0.871993853942847,0.832467944399825,0.876943554013787,0.821810475710403,0,0.876046156481703,0.873876635230256,0,0,0.915198092964279,0,0.873385533718063,0.872038300310848,0.830597548794499,0.87006838621552,0.877843909350006,0,0.828309829146205,0,0.821971710144979,0,0.871678310305393,0,0.874684881235864,0,0.87370838540723,0.913513865283825,0.874974125433536,0,0.874542187896772,0.824909402502366,0.82477714149707,0,0,0.873115438850405,0.822542813035183
"Regulation of insulin secretion",0.867534460086978,0.844533515648007,0.822350258443706,0.844245622320215,0,0.866009416224134,0.844756393473019,0,0.820096119290377,0,0.846962112046756,0,0.847425052031598,0,0.847856409997886,0.819803496263008,0.844569096493217,0,0,0,0.823534259595718,0.845310713742855,0.847784182819964,0.864817105530673,0.844059381950558,0,0,0,0.846737307286446,0.798227235339528,0,0,0.864107802301027,0.846999236015314,0,0.864823139867873,0.844028183263665,0,0.846806662144608,0.867063885433749,0,0,0,0,0.847165792932973,0.846175607537717,0.844550976132269,0.846030696365147,0.866176072163471,0.845347064729812,0.843274017271207,0.821478559183421,0.846630685854942,0.845444623037654,0.868046451558058,0.865474172840852,0.845838841270587,0.848022377288881,0.844872846832799,0.8474816323934,0.867175170894591,0.844517757766004,0.843570106771275,0.845076527719016,0.823048547624979,0.867834252670422,0,0.84661188336886,0.842487995936862,0.847065921243232,0.845451889534665,0.845796197600315,0.822328949935889,0.844282536040752,0,0.819028312569944,0.845074761941272,0.865546947801812,0,0.843633254607703,0,0.864604629461435,0.864036587442861,0.845907919922105,0.820414517550387,0.866724830026021,0.866779470419559,0.844448695729266,0.844439309754768,0.845025587159141,0.845133427757751,0.844802085327284
"O-glycosylation of TSR domain-containing proteins",0.80842078900594,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812314119703666,0,0.812342834228668,0,0,0,0,0,0,0,0,0,0,0,0.808919976556263,0,0.814145554999895,0,0.846902957153172,0.80932363275679,0,0.808815014689908,0,0,0.814350832428113,0.813624471522159,0,0,0,0,0,0,0,0,0.808792515053183,0,0,0,0,0,0.810109665564659,0.811174578576277,0,0,0,0,0,0.81167683951794,0,0,0,0,0,0.808726686792873,0,0.816826616205254,0.841409159394178,0,0,0,0,0,0,0,0,0,0,0,0.846793208523487,0,0,0,0.881119811787942,0,0,0,0,0
"G beta:gamma signalling through PLC beta",0.917071454496541,0,0,0.870430790367541,0,0.86777205560354,0.872459895482075,0,0,0,0,0,0,0,0,0,0.872760581072828,0,0,0,0,0,0,0.918415166330297,0,0,0,0,0.869022243951226,0,0,0,0.916760668572661,0.869633210427142,0,0.917668147118964,0.871447996975617,0,0.877242285830679,0,0,0,0,0,0,0,0,0,0.917634092089607,0.87406523749073,0,0,0,0,0.918260764761218,0.919947820272743,0.867907392437695,0,0.873811369646295,0,0,0.871903261555081,0.869445752913913,0,0,0.918603493357569,0,0.868729684180275,0.867122710986571,0,0.867950055757611,0.875490048320069,0,0.870516894117395,0,0,0,0.866693316728926,0,0.87135937815338,0,0.8691147800421,0.916594555099295,0.870624548343254,0,0.87010933543418,0,0,0,0,0.868407516388296,0
