"","PNISR","USP45","CCNC","CD109","MCHR2","SIM1","ASCC3","COL12A1","GRIK2","HACE1","LIN28B","PREP","COX7A2","PRDM1","ATG5","QRSL1","BEND3","PDSS2","SEC63","MYO6","OSTM1","NR2E1","SNX3","FOXO3","HTR1B","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","MDN1","RIMS1","MAP3K7","EPHA7","FUT9","UFL1","KCNQ5","FHL5","NDUFAF4","KLHL32","FBXL4","COQ3","EEF1A1"
"Glucuronidation",0,0,0.863362025889166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870216198061052,0,0,0,0,0,0.866854872382564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.863714745381709,0,0,0,0,0.864076546101064,0,0,0,0,0,0,0.863065318416226,0,0.861524387491348,0,0,0,0,0,0,0,0.824019634840873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Activation of Matrix Metalloproteinases",0,0,0.858031190168415,0.826978939590646,0.855532583747749,0.863792179039272,0,0.857531975070667,0,0.819526714119423,0.827657191486604,0,0,0.826989659640285,0,0,0,0,0,0.858943049375891,0,0,0,0.85796408070997,0.855747429482884,0.825251098863437,0,0,0.858181742482276,0,0,0,0,0,0,0,0,0,0.819533799351318,0,0,0,0,0.858356591859395,0,0,0,0,0.858690371444492,0,0.856811761164007,0.8884789830478,0,0,0.857974762511238,0.82333506205787,0,0.856335875181001,0.85987750776901,0.857531975070667,0.859831100460985,0,0,0,0.855747429482884,0,0,0.85674751045684,0,0.890558815236645,0,0.859629419480595,0,0.855756091812034,0,0,0,0.823469107583156,0,0,0,0,0.825776319515265,0.819512625038169,0,0.859100600196577,0,0,0.856647438222714,0.858943049375891,0,0.819519656086191,0,0,0,0,0.819533799351318,0,0
"Cytosolic sulfonation of small molecules",0,0,0.837496419900758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.845840171512284,0,0,0,0,0,0.845362952607056,0,0,0,0,0,0,0,0,0.837854209447308,0,0,0,0,0,0,0.837925793975485,0,0,0,0,0.838366222849968,0,0,0,0,0,0,0.880829498954741,0,0.835259417683906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.881681646763952,0,0,0,0
"L1CAM interactions",0.826414778803211,0.846796568879961,0.845394241625783,0.844146886071498,0.845262219699261,0,0.824279897509114,0.845098483763657,0.82707235039498,0.84495927472187,0.848188100686753,0.830523192845129,0.827800626352484,0.847643714204413,0.846641560335508,0,0,0,0,0.864380347172436,0,0,0.845872353902822,0.863848703580047,0.845378894892669,0.846699562742609,0,0,0.845120375140974,0.84696029326,0,0.808816220565817,0,0.845594440702643,0.846486166009592,0,0.864032401130709,0.826123798213395,0.84496312246314,0.844245426970188,0,0,0,0.845744154228384,0,0,0.824691286016136,0,0.846145877040979,0.845455244970175,0.863528303065754,0.862628412474176,0.831013630871436,0,0.844184270132806,0.823879085122664,0,0.84499941811773,0.846551566584113,0.845098483763657,0.845220115815754,0.825567026985592,0,0,0.845378894892669,0.845083379556242,0.8247806025525,0.845616619970924,0,0.863757896486215,0.846042635225463,0.845975885296564,0,0.845383599100217,0.846523839769819,0.824462379411419,0,0.845834120140524,0.827239581496349,0,0.845797133893974,0,0.846969767221949,0.844951623435336,0.846199293973038,0.846129655294057,0,0.846916033446212,0.845867658114906,0.845746485555883,0,0.844955441751242,0.846514339145343,0,0.823702282605966,0,0.84496312246314,0,0.845299634371987
"Adrenaline,noradrenaline inhibits insulin secretion",0,0,0,0,0.924302841821727,0,0,0,0.890775134947901,0,0,0,0,0,0,0,0,0.894049074114337,0,0.890591889676553,0,0,0.892775327998923,0.886529187154566,0.925178673506144,0,0,0,0.847652635343885,0,0,0,0,0.926083444178333,0.850446868126988,0,0.890503567205542,0,0,0.887140547081632,0,0,0,0,0,0,0.891402192166526,0,0.890307137844049,0,0.889457493097616,0.887590094047192,0,0,0,0.889255809168283,0,0.888287485786042,0,0,0,0,0,0,0.925178673506144,0.926114117931976,0,0.925671986348337,0,0.888483323555206,0,0.892990170145482,0.894269756512727,0.925188435395856,0.889977918340191,0.890927178892376,0,0,0,0,0,0,0.894545038020541,0,0.887733584024973,0,0,0.889684444832888,0.926192925667051,0.890591889676553,0,0,0.889140618838317,0,0,0,0,0,0
"Biological oxidations",0,0,0.92430460414915,0.914278691805271,0.912865540835492,0.925449534983012,0.914565843902171,0,0,0.913064698435721,0,0,0.914802350720979,0.904998900373544,0.914708174246191,0,0,0.914279986303616,0,0.913995908666975,0,0.926170834143245,0,0.913939699808691,0.912930556840141,0.904472782061359,0,0.925830488064098,0,0.902730273773284,0,0.924826559946077,0,0.913914307248963,0.903590541688289,0,0.924646100290823,0,0.913066842548423,0.913650702206936,0.925136546717554,0,0,0.924403076282377,0,0.925325952022569,0.914108313270803,0,0.924556684203581,0,0.913422813760587,0.912996309582681,0.915898018885889,0,0,0.924577723479597,0,0.924271999468767,0.903343328968888,0,0,0,0,0,0.912930556840141,0.913932340186479,0,0.913233198497007,0.904657140487904,0,0.913838561396266,0,0.914339246354657,0.912933178209525,0,0.913980757511591,0,0.913455934417367,0,0,0,0,0,0.913060434838067,0.9140487061257,0.903108223411362,0,0.924715757286317,0.913860978531565,0.913897606233458,0,0.9130625625538,0,0.915313965838092,0.924896002348486,0,0.913066842548423,0,0.913377208529932
"Response of EIF2AK4 (GCN2) to amino acid deficiency",0,0.85092038661504,0.857244169457122,0,0.82150077595273,0,0.850776484877263,0.823963652664165,0,0.846207788102369,0.860609581318358,0,0,0.827203697968613,0.823619950045887,0,0.854777209867353,0,0.851791892622226,0.824850083620816,0,0.862059072993807,0.853669070929131,0.857621258877329,0.822092560573255,0.82587986828663,0.827177317031437,0,0.851268457643168,0.824733605800153,0,0.84338121488724,0,0.821723554866336,0.851549696103242,0,0.824053102155399,0,0.846213183162704,0.849283278095704,0.859484244623314,0,0.827237903143247,0.857491947057321,0,0,0.824848321472291,0.852250974630241,0.858174294034289,0.854137826084761,0.847297476547401,0.841718149674514,0,0,0.825408241467362,0.857463929072042,0,0.85638145936251,0,0.823963652664165,0,0.859188842822782,0,0.853096621905192,0.822092560573255,0.823167914617699,0,0.821445539786362,0.86006940159432,0.82342805269035,0.84835929103166,0.8243096235886,0,0.822099156516633,0.825187637155442,0.850243025405491,0.824164458392551,0.82672430462583,0,0,0,0.853969395043194,0,0.846197059950553,0.857821001873369,0,0.851818417114508,0.858825968795756,0.85704688951957,0.856225986735881,0,0.846202413752497,0.823759778184923,0.827521158936143,0.824769818060229,0,0.846213183162704,0,0.87820441815418
"Regulation of insulin secretion",0,0.843000455584228,0.888636488310601,0.889890582448454,0.886281633141434,0.847739076644562,0,0,0.865904045056666,0.839462939411155,0.846721820301658,0.846478159278417,0,0.847295300028114,0.840572501146043,0,0,0.868046708150664,0,0.865291781511124,0,0.870020597881071,0.865716118701227,0.887933204943354,0.886809525244802,0.866616859135175,0,0,0.840974982895439,0.866534216712812,0.844510080225818,0.817783816449886,0,0.887354859812741,0.842711298465388,0.843164542721704,0.86525201649398,0,0.839467751989328,0.8636069755445,0,0,0,0.888857514396782,0,0.819317516415757,0.866175606969582,0,0.866173282175761,0.841322789203195,0.864897253534042,0.909317869752409,0,0,0.866344911321489,0.864881912466703,0,0.865231712274482,0.867637333423099,0,0,0,0,0,0.886809525244802,0.887373347876848,0,0.887106860861357,0,0.865566378572983,0.865386452162734,0.86584561101654,0.868179720574781,0.886815409051686,0.888899269634265,0.86588930109497,0,0.844903997634944,0,0,0.842785660432463,0.86795728205116,0.868069901887154,0.839453369533144,0.865310252294641,0.867109626146773,0,0.863142260876059,0.888078547738336,0.865962951194769,0,0.839458145307422,0.866260291678443,0.867797760448061,0,0,0.839467751989328,0,0.864732880560296
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814687117021077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.814717319460584,0,0,0,0,0,0,0,0,0,0,0
"Post-translational modification: synthesis of GPI-anchored proteins",0,0,0.798033051200732,0.841294482297408,0.77427636035517,0,0,0.798085756941657,0,0,0,0,0,0,0,0,0,0,0,0.818670203851049,0,0,0.798353456265981,0.774666984642955,0.773657730622995,0,0,0,0,0,0,0,0,0.797189945349878,0.777444335699536,0,0.775966114255292,0,0,0.796066794249901,0,0,0,0.798231569930118,0,0,0,0.796619686801031,0.775110074884275,0,0.817713027487058,0.836441613546835,0,0,0.775264226824096,0.797742376715726,0,0,0.799516702704745,0.798085756941657,0,0,0,0,0.773657730622995,0,0,0.775017554126659,0,0.77456497301795,0,0,0,0.773663015274624,0.798736118062874,0,0,0,0,0,0,0,0,0,0.798831619527499,0.799042732506048,0,0,0,0.775264226824096,0,0,0.819184926634241,0,0.798426421803326,0,0,0,0.796737547969218
"Protein-protein interactions at synapses",0,0.819611849666533,0,0.799016186228197,0.815532831826606,0,0,0.795628446934115,0.818711735970201,0.815786522324069,0,0,0,0,0,0,0,0,0,0.817640800131846,0,0,0.818490773946741,0.816537156230648,0.816013197358204,0,0,0,0.797145626606952,0,0,0,0,0,0.819340915482594,0,0.83797637646156,0,0.815790901621765,0.8155507243506,0,0,0,0,0,0,0,0,0,0.818085225006255,0.837519304970824,0.855842249852575,0,0,0.818239286744413,0,0,0.815117804937043,0.798435293812044,0.795628446934115,0,0,0.797343275996722,0,0.816013197358204,0.816526258562645,0.796022189687313,0.815923934566356,0,0.796106660446744,0.81736711847296,0.818608607959574,0,0.816018551440986,0.817717675009396,0,0,0,0,0,0.797164006214774,0,0.799403138302806,0.815777814030254,0,0.797955096467354,0,0.837865136984528,0.816569482072627,0.838623305110988,0,0.815782159837543,0.818162285479278,0,0,0,0.815790901621765,0,0.816772388473706
"Metabolism",0.898500749420847,0.900640855184321,0.902681339278777,0.90273298500002,0.902445661951012,0.900928023500947,0.900319373888837,0.90042111943332,0.900536470981692,0.900612342496881,0.900573777577203,0.898975662554808,0.898533337328302,0.900781767797642,0.900644118530689,0.89865398334892,0.900746923554764,0.900741095454849,0.900391486570727,0.90031217529083,0,0.900616838183973,0.902514340711247,0.902590804657041,0.902344265188949,0.902603283799757,0.898459596260072,0.902675715285845,0.904643964042258,0.900365231949767,0.898948028288217,0.902417426717578,0,0.907720951663553,0.900638954746647,0.902647891979177,0.900308106582689,0.898564418155019,0.900612725645691,0.900453397337569,0.902566032229815,0.90088516978776,0.898475254274671,0.902548693585682,0.900493550797116,0.902699725533729,0.900407278644821,0.900280665475109,0.899578861495245,0.900739918678477,0.90059239867099,0.90244042623731,0.900796413079267,0,0.902500937312992,0.902990131651196,0,0.900775997026503,0.902675715285845,0.90042111943332,0.902702419682053,0.900652063392141,0.898466096016895,0.898730892239942,0.902487689576169,0.90289076204947,0.898944244382279,0.902367937279815,0.900739936836032,0.904613641900904,0.900820515260165,0.900364876056543,0.900765089913813,0.902344733622609,0.904478095873474,0.90057370032275,0.898393627754085,0.902363494487643,0.898641960397231,0,0.898339520117217,0.900659080085598,0.900445419076583,0.900181307438528,0.902500273459374,0.906921416147931,0.900393370298995,0.900316594174353,0.902342981147641,0.902313587978362,0.902834396476913,0.900468536431673,0.90035780052675,0.900543812935009,0.900710822324752,0,0.900612725645691,0.900679165274114,0.902554111909843
"Transmission across Chemical Synapses",0.897582148297393,0.897521244169865,0.906695121690145,0.906828894109887,0.914886899068986,0.898588819872213,0.896517348664541,0.896772331242738,0.916901520658553,0.906124149236126,0.907844524590608,0,0,0.907335113361269,0.907754885205444,0,0,0.907615362267951,0,0.907071315496674,0,0,0.906325326873637,0.924839375244885,0.915097406480372,0.916399853941968,0,0,0.906331074495804,0.907177275256444,0.898150667629993,0.907056810422426,0,0.915314869419301,0.906604611079147,0.897645497815439,0.91563711749981,0.897437017968105,0.906126068346806,0.905954887809195,0.907181953199415,0,0,0.906783260211168,0,0,0.907131494516632,0,0.906868296627296,0.896852241536966,0.906262428724355,0.914936860014704,0,0,0.906588081398836,0.906463294109385,0,0.906230556184728,0.907103460259954,0.896772331242738,0.897929899257533,0.907219625898654,0.897676123597687,0,0.915097406480372,0.915322241900329,0.896614767624184,0.915215974935089,0,0.906277626075634,0.906396847107946,0.906376964494122,0.907668403601406,0.915099752764675,0.915930733364931,0.906865010238576,0,0.906623303312211,0.897993529298884,0,0.906070617698207,0.907579701843032,0.907306010809828,0.906120333058095,0.916146460814581,0.906893026552006,0,0.917558109058497,0.924635062725621,0.906674466310011,0,0.906122237492494,0.906468227328729,0.907415967490701,0.896229255767525,0,0.906126068346806,0,0.906293908009826
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0,0,0,0.919503310270322,0,0,0,0.904068664425321,0,0,0,0,0,0,0,0,0,0,0.902655170522877,0,0,0,0.902412533568586,0.901286240192478,0,0,0,0,0,0,0.921519875869604,0,0.901706353119852,0.903208339570877,0,0.902215954050141,0,0,0.901629280193604,0,0,0,0,0,0.922701402257727,0,0,0,0,0.919793357879035,0.919305575866031,0,0,0.902473082756303,0.901655321414007,0,0.919923649458502,0,0,0,0,0,0,0.901286240192478,0.901720595889686,0,0.920139046300183,0,0.901873319434371,0,0,0,0.901290772938941,0.918738165859543,0,0,0,0,0,0,0,0,0,0,0,0,0.920929959534983,0.901644244134092,0.920993655255607,0,0,0.902825820011806,0,0.920711201025811,0,0,0,0.901846835419813
"Collagen formation",0,0.905062139347198,0.903460756036611,0.923636494765417,0.922064592584648,0,0,0.942399062806293,0,0.901567736723548,0.905615151566124,0,0,0.906455175771173,0,0.904672791591032,0,0,0,0.924536915164887,0,0,0.904138825952873,0.923666667929927,0.901854269572495,0.905473553020677,0,0,0.92465377978715,0,0,0,0,0,0.903878583399057,0,0.923628447696121,0,0.90157173717318,0.902306270188451,0.924976232265555,0,0,0,0,0,0.904452679269185,0.902763559717857,0.924004900894374,0.903667581250435,0.923104343091025,0.922715450043276,0,0,0.943034900794487,0.923867511399076,0,0.922747353741431,0.92561123943258,0.841986086527588,0.925447605350912,0,0.905183753069047,0,0.901854269572495,0,0,0.922750562102488,0.904524163161729,0.943586501691917,0.903011597296813,0.923426960727292,0,0.901859160479664,0,0,0,0.90446740862515,0,0,0.904556368096167,0,0.905209986514583,0.901559781774329,0.904274197919636,0.925172583414172,0,0,0.902282963514521,0.924536915164887,0,0.90156375163077,0,0,0,0,0.90157173717318,0,0.923016844393544
