"","PNISR","USP45","CCNC","CD109","MCHR2","SIM1","ASCC3","COL12A1","GRIK2","COX7A2","MYO6","HTR1B","PHIP","ELOVL4","TTK","BCKDHB","IBTK","TPBG","UBE3D","DOPEY1","PGM3","ME1","SNAP91","CYB5R4","NT5E","KHDRBS2","PTP4A1","SYNCRIP","HTR1E","CGA","RARS2","COL9A1","ORC3","CNR1","RNGTT","SRSF12","GABRR1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","MDN1","RIMS1","MAP3K7","EPHA7","FUT9","UFL1","KCNQ5","FHL5","NDUFAF4","KLHL32","FBXL4","COQ3","EEF1A1"
"Neurotransmitter receptors and postsynaptic signal transmission",0,0.916048379958577,0.915206106017247,0.903765629973272,0.924708892207957,0.906400642939634,0.903735155267026,0.915472348069077,0.926165007014609,0,0.92671863521305,0.924945363151186,0,0,0.916289568180946,0,0.915405084612027,0,0.91469641919613,0,0,0.915309634375882,0.914953209481735,0,0.914764923498985,0.917424709850693,0.915169078113262,0,0.924945363151186,0.925197929288779,0,0.915258327922881,0.915171695479001,0.924947998821155,0.915574082342661,0,0,0.916500440975738,0.916245880928098,0.914689976529232,0.915524665516589,0.915826112070165,0,0.904077441453671,0.915079693268652,0.915178547176352,0,0.914692115852478,0.926215679237393,0.916316511980175,0,0,0.91469641919613,0,0.915056060093685
"L1CAM interactions",0.900244886451564,0.918237192497517,0.916999268790191,0.91716961781544,0.916418529743345,0,0.898360290571097,0.916990347658105,0.900825366835363,0.9014682624723,0.917310216973317,0.915557418016753,0,0,0.918479230438821,0.866391633736396,0.900854041636859,0.899988019326267,0.916618692408659,0,0,0.900328788392854,0.933007361408917,0.904304586485762,0.900811391028809,0.9024405506743,0.916412592903176,0.899496521852764,0.915557418016753,0.916244286345918,0,0.933210038164565,0.91649614652063,0.915561570720789,0.901424517595774,0.900972992394496,0,0,0.918390085720534,0.916608541483411,0.917323253379639,0.919013812873979,0,0.918342651489565,0.916479287193257,0.917108740905415,0,0.916611912154393,0.917988050310233,0,0.898262611598743,0,0.916618692408659,0,0.916034865332264
"Trafficking of GluR2-containing AMPA receptors",0,0.827811863297795,0.828266344165968,0,0.871219318869174,0,0,0.875349276147285,0.879724683955786,0,0.922341079144824,0.87173593508202,0,0,0,0,0.877880890434722,0,0.871800371580264,0,0,0.875613841272416,0.872094594816621,0,0,0,0.878290066214744,0,0.87173593508202,0.872891109416202,0,0.874370401535512,0.822757776495863,0.871747989977146,0.829949375829497,0,0,0,0.828255697424414,0.871770904433501,0.876315669014463,0.826202716503259,0,0.821461283559975,0.874335941060332,0.876748049235812,0,0.87178068916288,0.871932497920317,0,0,0,0.871800371580264,0,0.821418722158957
"Signaling Pathways",0.87755965812835,0.879619756803162,0.884420476458646,0.879599756406772,0.881334482038687,0.879387042246614,0.879240656208011,0.88135790780975,0.879288790747044,0.877644053372956,0.880996991562727,0.880868062770089,0.879356278986268,0.877756192714084,0.879750004873749,0.881397263324537,0.883059384225856,0.877558533752157,0.879475050255559,0.877597155485179,0,0.879812168417414,0.881053598978409,0,0.880735707181955,0.881213112359277,0.879772858482975,0.879893018047677,0.881370095629556,0.882578503316756,0.877569395813694,0.881338098467712,0.879144957654456,0.87485389408007,0.879777317505571,0.87765320672395,0,0.879145927656291,0.879262583183511,0.878972015386465,0.87978068251801,0.879424996819665,0.877501396604475,0.879125126241615,0.884688062639345,0.881378861371488,0.878107737379504,0.879474380968782,0.87978443679074,0.879871344000194,0.879122011800113,0,0.878973017396091,0,0.881312374207656
"Cardiac conduction",0,0.876758943215958,0.906928187004763,0,0.906745986243874,0.910353832094366,0.891670209156438,0,0.908246862971481,0,0.922664795994816,0.906296895860417,0,0.892388779140935,0.891981391420659,0.892323984930222,0.907754988108244,0,0.889847070484381,0,0,0.907368452045016,0.891157374802527,0,0.907384376271272,0,0.908669903378829,0,0.906296895860417,0.907106373405506,0,0.890657824787913,0.890802956868166,0.90630079493675,0.890214004621277,0,0,0.892467420537337,0,0.88983753953008,0.89143035367983,0.893399317112287,0,0.891102668756804,0.922683529002726,0.907918031131363,0,0.889840704336273,0.923044564343402,0.894029024837137,0.889624027489103,0,0.889847070484381,0,0.906975224304884
"Protein-protein interactions at synapses",0,0.910220919028752,0,0.891848466787581,0.906582213207047,0,0,0.908752379302786,0.90941796864325,0,0.927236261390299,0.907010725394286,0,0,0,0,0.909669177923298,0,0.906812425503954,0,0,0,0.927606183017656,0,0,0,0.89103801890766,0,0.907010725394286,0.907468403900425,0,0.90836455050781,0.908218496685249,0.907015501527402,0,0,0,0,0.892193649089268,0.90680075066033,0,0.890901916995048,0,0.927392975059893,0.907506961622792,0.908686465157559,0,0.906804627356853,0.910338668562267,0,0,0,0.906812425503954,0,0.907687965171156
"Activation of Matrix Metalloproteinases",0,0,0.861286746404759,0.829768957740345,0.858750680655679,0.86713410453022,0,0.860780047030121,0,0,0.862212276286111,0.858968747377077,0,0,0,0,0,0,0.822212199300166,0,0,0.861955810184819,0.82308676549686,0,0.826070450873366,0,0.827197501099867,0,0.858968747377077,0,0,0.894302028504468,0,0.858977539572631,0,0,0,0,0.828548307878447,0.822190707539842,0,0.862372189122634,0,0,0.823228581594266,0.862212276286111,0,0.822197843997957,0,0,0,0,0.822212199300166,0,0
"Leishmania infection",0,0.771131892794254,0.787941110004146,0.770007813686145,0.802274007449384,0.790024816483307,0.768806703291481,0.770995252577317,0.787828179336041,0.769759972015237,0.787552113652836,0.802651370387355,0.772187000524904,0,0.787586459963879,0.75202064122035,0.804795385213473,0,0.786295992643432,0,0,0.787037772679179,0.785898101595356,0,0.786821590194992,0.790024816483307,0.787716123577853,0.769236707526365,0.802651370387355,0.803054418213918,0,0.786603928480435,0.787310075619026,0.802655576418545,0.787541720558782,0,0,0.78884299123132,0.788539300444562,0.786285711364575,0.787282644935845,0.787382692809932,0,0.786726685550792,0.787180669300283,0.803929973709426,0,0.786289125320195,0.787679106740798,0.788881354567499,0,0,0.786295992643432,0,0.786478259435433
"Peptide hormone metabolism",0,0.680812722212293,0.699752586699459,0,0.717567643636897,0.683052812021666,0,0.66100171116617,0.701954397671892,0.68084023647796,0.700587527537825,0.718013551774743,0,0,0,0.700981528095551,0.679738795186996,0,0.677961941798179,0,0,0.700026651817041,0.699687337411152,0,0.699724309871323,0,0.701130013302816,0.679707896251815,0.718013551774743,0.73946421139349,0,0.700069559216479,0.678736268243465,0.718018521800538,0.68070200920622,0,0,0.681090822114732,0.702001289176513,0.6779497930007,0.700548919480879,0.701373133654271,0,0.696842162277766,0.719268474665386,0.700404542365825,0,0.677953827076227,0.677441093541068,0.681235882587128,0.680294608109005,0,0.677961941798179,0,0.678706836822747
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824426045193122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.824453715577873,0,0,0,0,0,0,0,0,0,0,0
"Peptide ligand-binding receptors",0,0.912144846158935,0.911217584526192,0,0.922218722116157,0.913164577090257,0,0.911183676113615,0,0,0.911549119760019,0.922503346593987,0,0,0,0,0.897391737960721,0,0.910256488826163,0,0,0.911457250712273,0.92289031801444,0,0.910766010859298,0,0.911688434146924,0.897820521541154,0.922503346593987,0.910893506432756,0,0.910927935200072,0.910824414757095,0.922506496057519,0,0,0,0,0,0.910248790235412,0.911436156044875,0.911753999353915,0.89652378729473,0.911300408131185,0.910918932051664,0.911344665481756,0,0.910251346595134,0.911387868690007,0,0.896707601706918,0,0.910256488826163,0,0.910474573239821
"Ion channel transport",0,0.883598370418175,0.884161542695235,0.873201964131562,0.883360177730405,0.886984238206558,0.87054858550035,0,0.885456823604221,0,0.896789203793117,0.883544422702633,0.873875465634245,0.874070669196243,0.871028575863869,0,0.885127386741131,0,0.881212385806237,0.871844079916395,0,0.884752088317922,0.883073634089521,0,0.884619239625482,0.872188731304528,0.885528753708617,0.871196664943168,0.883544422702633,0.883842000036275,0,0.870554442762709,0.882296418297174,0.883547528089796,0.870467454260661,0,0,0.871874830680523,0,0.88120479495635,0.885493732436124,0,0.870442229260984,0.870464984540135,0.884568427739009,0.884929931262908,0,0.881207315540121,0.872141788474251,0.872832026262301,0.872409273765334,0,0.882163189065707,0,0.884079125019245
"Unblocking of NMDA receptors, glutamate binding and activation",0,0,0.877000058791761,0.834576969682831,0.873463994015936,0,0,0.879248680528584,0.880371944194388,0,0.921761621132929,0.874459038681267,0,0,0,0,0.880857818386781,0,0.828308892765452,0,0,0.877844026832239,0.876567093473422,0,0.876649597572663,0,0.881234264053797,0,0.874459038681267,0.875858840007621,0,0.878348106437587,0,0.874470129301137,0,0,0,0,0,0.828281782706011,0,0,0,0.832874706155457,0.877596430746246,0.879095621827963,0,0.828290784751483,0.879656090643804,0,0,0,0.828308892765452,0,0.876368681448918
"O2/CO2 exchange in erythrocytes",0,0,0.121210263958143,0.169797969956319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167340844853991,0,0.220842649481697,0,0,0,0,0,0,0,0.12089024552172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Class A/1 (Rhodopsin-like receptors)",0,0.912753705852987,0.911932693894752,0,0.922613211344222,0.913822942778962,0,0.911899773718156,0,0,0.912254566775719,0.922889540649001,0,0,0,0,0.898509791555012,0,0.910999608628722,0,0,0.912165375184441,0.923265234069321,0,0.911494281013398,0,0.912389820946312,0.89892607855037,0.922889540649001,0.923154152869971,0,0.911651486187226,0.911471757462392,0.922892598323712,0,0,0,0,0,0.910992134407789,0.912144895305757,0.91245347530311,0.89766713667886,0.911920184832433,0.911642745429019,0.912056071168447,0,0.910994616264269,0.912005096416985,0,0.897845593953917,0,0.910999608628722,0,0.911132111821272
"Regulation of Complement cascade",0,0,0.622469470529445,0.585178101695262,0.656887060535995,0,0,0.579763882483672,0,0,0.580290115690108,0.655974974365911,0,0,0,0,0.625671378837829,0.586086720459022,0.619996202598183,0,0,0.545801506609653,0.620469355894134,0,0,0,0.538974209235532,0.539760057234389,0.659127020360369,0.619880344780102,0,0.61788817770916,0,0.655985269159363,0,0,0,0,0,0.619971037867476,0.623852234025582,0.584254781552265,0,0,0.620609227112248,0.623553174696729,0,0.619979393955762,0.537991737374416,0,0.541241731385817,0,0.619996202598183,0,0
"Trafficking of AMPA receptors",0,0.84334278151934,0.88387855578892,0,0.882006225357583,0,0,0.885684818566393,0.887705002459005,0,0.930474081292527,0.882466380454635,0,0,0,0,0.887218128437575,0,0.882523774671787,0,0,0.88592046930248,0.882785842176667,0,0.883865552114857,0,0.888304208947989,0,0.882466380454635,0.883495305495394,0,0.884812925407055,0.838841057134718,0.882477117867242,0.845246684769026,0,0,0,0.84373810890267,0.882497527996902,0.886545594114141,0.841909498782558,0,0.845234620608366,0.884782231125871,0.886930719392387,0,0.882506243350747,0.882641460890913,0,0,0,0.882523774671787,0,0.883593582435638
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",0,0.84334278151934,0.88387855578892,0,0.882006225357583,0,0,0.885684818566393,0.887705002459005,0,0.930474081292527,0.882466380454635,0,0,0,0,0.887218128437575,0,0.882523774671787,0,0,0.88592046930248,0.882785842176667,0,0.883865552114857,0,0.888304208947989,0,0.882466380454635,0.883495305495394,0,0.884812925407055,0.838841057134718,0.882477117867242,0.845246684769026,0,0,0,0.84373810890267,0.882497527996902,0.886545594114141,0.841909498782558,0,0.845234620608366,0.884782231125871,0.886930719392387,0,0.882506243350747,0.882641460890913,0,0,0,0.882523774671787,0,0.883593582435638
"Classical antibody-mediated complement activation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Glucagon signaling in metabolic regulation",0,0,0.875036737301554,0,0.912822172391091,0,0,0,0.876044758766758,0,0.874966284286279,0.913792523716274,0,0,0.876523217399743,0,0,0,0.818777495262343,0,0,0.874650802073276,0.874216318192695,0,0.872017399159413,0,0.878260812390094,0,0.913792523716274,0.914828921182126,0,0.873535214794253,0.874413439956473,0.913803339107848,0.875337757870396,0,0,0.879139042353509,0.880555014975685,0.81875105797463,0.874273372237117,0.82478098496294,0,0,0.872802192922357,0.876175243379741,0,0.818759836622521,0.875292834402346,0.878845815768046,0,0,0.818777495262343,0,0.87321206932319
"Glucagon-type ligand receptors",0,0,0.878243453368164,0,0.914108857224387,0,0,0,0.878850384195744,0,0,0.915029901062513,0,0,0,0,0,0,0,0,0,0,0.877464723082252,0,0.877252627831912,0,0.88063727223201,0,0.915029901062513,0.916013634968984,0,0,0,0.915040166880167,0,0,0,0,0.883481324968808,0,0.875947304127037,0,0,0,0.873594961429552,0.879324107334174,0,0,0.877131491150614,0,0,0,0,0,0
"Signaling by Retinoic Acid",0,0,0.76870725644025,-0.021803614695721,-0.021803614695721,0,-0.021803614695721,0,0,0,-0.021803614695721,-0.021803614695721,0,0,0,-0.021803614695721,0,0,-0.021803614695721,0,0,0.798253030073398,0,0,0.740262399273944,0,0,0,-0.021803614695721,0,0,-0.021803614695721,0,-0.021803614695721,-0.021803614695721,0,0,0,0,-0.021803614695721,-0.021803614695721,0,0,0.771984209832285,-0.021803614695721,-0.021803614695721,0,-0.021803614695721,0,0,-0.021803614695721,0,-0.021803614695721,0,-0.021803614695721
"Synaptic adhesion-like molecules",0,0,0,0,0.706264412509956,0,0,0.768340208841954,0.766402787470075,0,0.819708612581221,0.601361629327879,0,0,0,0,0.77091254826136,0,0,0,0,0,0.765728063571514,0,0,0,0.712849743505353,0,0.601361629327879,0.602645776616518,0,0.767252044794822,0,0.601375030128462,0,0,0,0,0,0,0,0,0,0.708837278249791,0.763295050097652,0.768155267950602,0,0,0.769460500131817,0,0,0,0,0,0
"Neurexins and neuroligins",0,0.887852886176856,0,0.860424156434401,0.88242056406298,0,0,0,0.886654139878245,0,0.885227897418528,0.883060301470966,0,0,0,0,0.85620619339169,0,0.882764254213449,0,0,0,0.911701535354245,0,0,0,0.859214216924045,0,0.883060301470966,0.883743582063509,0,0.856549331203491,0.884863415823676,0.883067431888982,0,0,0,0,0.860411309551778,0.882746824524349,0,0.859011026705915,0,0.913489512023952,0.883801145927735,0.885562058584396,0,0.882752612149204,0.885922397049589,0,0,0,0.882764254213449,0,0.884071371009577
"Metabolism of Angiotensinogen to Angiotensins",0,0,0.726223461941804,0,0.65739033694712,0,0,0.668190959801943,0,0,0.727831306018733,0.722196600052113,0,0,0,0.728612963637784,0,0,0.667755392513616,0,0,0.727385769348115,0.725064833077143,0,0.725740808984529,0,0.730776630461502,0.666611246195086,0.722196600052113,0.724651782705851,0,0.666950694903636,0,0.722211873983112,0,0,0,0,0.675156998413365,0.66771805671254,0,0,0,0.665719079980719,0.724775089149906,0.727831306018733,0,0.667730454272189,0.729318980292451,0,0,0,0.667755392513616,0,0
"Muscle contraction",0,0.907206736877446,0.919576182253057,0.906267825665721,0.921278436510368,0.922235656209096,0.907525089601188,0.906094793131539,0.920576732255962,0,0.931928704236602,0.918928395644835,0,0.908090856297212,0.908516560170942,0.907981191080704,0.920083662454361,0,0.906057756347048,0,0,0.919885114656646,0.919212304631145,0,0.919897652609901,0.908156148244558,0.919997791784074,0,0.918928395644835,0.919740368364237,0.89489138458335,0.918999596478045,0.907564495054411,0.918931465585943,0.906378545706547,0,0,0.908152774668386,0.909136280042828,0.906050252141972,0.907782973593637,0.920167342525365,0,0.907046352727986,0.931875164028193,0.919405804522624,0,0.906052743954853,0.932227715172865,0.909382305158469,0.905914026703523,0,0.906057756347048,0,0.919575506456863
"Ethanol oxidation",0,0,0.671457955615154,0,0,0,0,0,0,0,0,0,0,0,0,0.729524691577093,0,0,0,0,0,0.728314466337343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.731486386334345,0.667585310363953,0.67059926734203,0,0,0,0,0,0,0,0,0
"Digestion",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542944627594295,0,0,0.541575254211689,0,0,0,0,0,0,0,0,0,0.543752241547259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLC-mediated transmembrane transport",0,0.882803187782639,0.875143234614606,0,0.891436473969619,0.888176920060971,0.862992309924943,0.874976702888888,0.875851886029253,0,0.875324168748982,0.874455219660699,0,0,0,0.87465760046125,0.875309345690341,0.864112733009224,0.880763249430574,0,0,0.863893913452445,0.891718082502957,0,0.886133940770279,0,0.863328668136238,0.863546866709372,0.874455219660699,0.880273895160223,0,0.874744592477895,0.881604764459894,0.874458078113281,0.853021603423421,0,0,0,0,0.880756262190877,0.862754496317892,0.875494328167814,0,0.89772076766867,0.874327446998804,0.886525168584959,0,0.880758582342539,0.875068120192612,0,0.886347046550276,0,0.880763249430574,0,0.874386502784116
"GABA receptor activation",0,0,0,0,0.890579977314848,0,0,0,0.863403243201111,0,0.862883884697635,0.891289904925029,0,0,0,0,0.827804230375709,0,0,0,0,0.861578605024974,0.862335195142915,0,0.860726423872383,0,0.863877939047278,0,0.891289904925029,0.892048153156401,0,0,0,0.891297817672601,0.862081195040252,0,0,0,0.866088209462851,0,0.860512376824918,0,0,0.82679794061664,0.860226127172252,0.862883884697635,0,0,0.89446602163929,0,0,0,0,0,0
"Metabolism of water-soluble vitamins and cofactors",0,-0.0156295426953783,0.586350676947213,0.686845355224964,0.72493899377646,0.611896543119712,0,0.586627101092018,0,0,-0.0156295426953783,0.725396986015095,0,0,0,0.628606813752519,0.609260903433369,0,0.547133288367084,0,0,0.724288489445597,0.72345844865384,-0.0156295426953783,0.586581263534317,0.611399560933896,0.609194943039797,0.569816906033618,0.725396986015095,0.607976318258845,0.568359235425903,0.704736942852295,0.588893737295436,0.725402090728481,0.609214279762219,0,0,0,0,0.547120810337458,0.609187239163602,-0.0156295426953783,0,-0.0156295426953783,0.626495788714132,0.627517209536314,0,0.547124953736344,-0.0156295426953783,0,0.587566329894055,0,0.547133288367084,0,0.607163805171221
"Class B/2 (Secretin family receptors)",0,0.862327797949924,0.887146614626025,0,0.90778210420456,0.864934712035343,0,0.838267274907852,0.887495817853114,0,0.886306094420161,0.908312035237797,0,0,0,0,0,0,0.883814445788858,0,0,0,0.886038324814205,0,0.886576534051735,0,0.888029650278191,0,0.908312035237797,0.908878035577747,0,0.861293584644743,0.859851448914649,0.90831794177029,0,0,0,0.864551164785621,0.890160272168042,0.883800007781891,0.885765869116693,0.886151235387026,0,0.860657395363329,0.88447206208677,0.887768378812566,0,0.883804802002114,0.886506836949354,0,0.836298850833636,0,0.883814445788858,0,0.859195352957985
"MyD88 deficiency (TLR2/4)",0,0.76587460135708,0.846215175490589,0.853847011455479,0.75060573514353,0,0,0,0,0,0.757227734060257,0.65671464257859,0,0,0,0,0.764686030550788,0,0.751737870705216,0,0,0.75916811682488,0.755599016727027,0,0,0,0.761757008684627,0.662985522707263,0.65671464257859,0,0,0.756745372178665,0.756027110258413,0.656738130594744,0.664661568157769,0,0,0,0,0.751680456284604,0.651690808985581,0.759415681397596,0,0.668775011474528,0.84398789008946,0.759853256263902,0,0.751699521061139,0,0,0.756864844893014,0,0.751737870705216,0,0.753418068075308
"IRAK4 deficiency (TLR2/4)",0,0.76587460135708,0.846215175490589,0.853847011455479,0.75060573514353,0,0,0,0,0,0.757227734060257,0.65671464257859,0,0,0,0,0.764686030550788,0,0.751737870705216,0,0,0.75916811682488,0.755599016727027,0,0,0,0.761757008684627,0.662985522707263,0.65671464257859,0,0,0.756745372178665,0.756027110258413,0.656738130594744,0.664661568157769,0,0,0,0,0.751680456284604,0.651690808985581,0.759415681397596,0,0.668775011474528,0.84398789008946,0.759853256263902,0,0.751699521061139,0,0,0.756864844893014,0,0.751737870705216,0,0.753418068075308
