"","PNISR","USP45","CCNC","CD109","MCHR2","SIM1","ASCC3","COL12A1","GRIK2","HACE1","LIN28B","PREP","COX7A2","PRDM1","ATG5","QRSL1","BEND3","PDSS2","SEC63","MYO6","OSTM1","NR2E1","SNX3","FOXO3","HTR1B","SESN1","PHIP","ELOVL4","SMPD2","TTK","MICAL1","BCKDHB","ZBTB24","AK9","IBTK","FIG4","WASF1","TPBG","UBE3D","CDC40","DDO","SLC22A16","DOPEY1","CDK19","PGM3","AMD1","GTF3C6","RPF2","ME1","REV3L","SNAP91","FYN","CYB5R4","TUBE1","LAMA4","NT5E","RFPL4B","HDAC2","HS3ST5","COL10A1","DSE","SYNCRIP","TRAPPC3L","RWDD1","HTR1E","CGA","KPNA5","GPRC6A","RARS2","COL9A1","ORC3","GOPC","NUS1","CNR1","PLN","RNGTT","MCM9","ASF1A","SRSF12","GABRR1","MAN1A1","SMAP1","GABRR2","UBE2J1","RRAGD","B3GAT2","GJA1","HSF2","FABP7","MDN1","CLVS2","RIMS1","RNF217","TPD52L1","MAP3K7","EPHA7","HEY2","NCOA7","FUT9","UFL1","KCNQ5","TRMT11","FHL5","NDUFAF4","KLHL32","CENPW","RSPO3","RNF146","FBXL4","ECHDC1","COQ3","EEF1A1","PTPRK","LAMA2","EPB41L2","AKAP7","ARG1","MED23","ENPP3","OR2A4","ENPP1","CTGF","STX7"
"DNA strand elongation",0,0.855608122672239,0.851007328856184,0,0,0,0.851969675950409,0,0,0.850718729677896,0,0,0,0.857144323989604,0.853398329370296,0,0,0.858171854908129,0,0,0,0,0.856076688874446,0.852375299429148,0,0.855142746189779,0.858195667613392,0,0,0.853372377437541,0,0,0,0.890898355675596,0.853896450867244,0,0.853902337941798,0,0.850726886794435,0.851761469347076,0,0,0,0.851381958727838,0,0.811711455116044,0.852884947870789,0.850913040336666,0.852727617670112,0.893833507304322,0.849537263461387,0.805498164610004,0,0,0,0.851653574114843,0,0.849816808342364,0,0,0,0.810430921326016,0,0,0,0,0,0,0,0,0.892495923270183,0,0.858397305343578,0,0,0.852399671517609,0.894588904676027,0.893458467884661,0,0,0,0,0,0.850702509139257,0,0,0,0.813718149762697,0.856809506314344,0,0,0,0.850726886794435,0,0.849348081032062,0,0.853859829242341,0.814365556029179,0,0.850710603874751,0,0,0,0,0,0.809212222937126,0.853534176763217,0.850868622419427,0.850726886794435,0,0,0.850439587601868,0.854228049619112,0,0,0,0.814990269541563,0.85128899826249,0.809181900688898,0,0.808838167252021,0.810183569725411,0
"GPCR downstream signalling",0,0.953020004598378,0.952984723771301,0.950172164647937,0.955251423237628,0.95331260413499,0.949878042633501,0.949953048151574,0.953123197068005,0.952827423056504,0.950281298365241,0,0,0.953129005365265,0.953167256996362,0,0,0.950023724025191,0,0.955521362409215,0,0.950367424704585,0.952888351492074,0.955447616966022,0.955307617577066,0.953005917872495,0,0,0.952866079122208,0.953068822206632,0,0.952814075935173,0,0.955383476848126,0.953003641230461,0.950319380722704,0.955473098054257,0,0.952827956785095,0.952661162275873,0.950434668099368,0.95035762809759,0,0.95300923619213,0,0.950720088664386,0.952946030797654,0.952933022774379,0.952872832185405,0.952833946630956,0.955403173511301,0.955278347723026,0,0,0.952919711509652,0.955432052466273,0,0.955324964686615,0.953048293336435,0.949953048151574,0.950192693518134,0.950202806303804,0,0,0.955307617577066,0.955550877327397,0.950555703728916,0.955338125810727,0,0.952833370016256,0.952871604996568,0.953061480761081,0.950038475480875,0.941971011179809,0.955554756284555,0.953002885408875,0,0.953040678648621,0,0,0.950171594793266,0.953167648345506,0.953275300554104,0.952826361729847,0.952839596008472,0.952989769100427,0.952980473091242,0.953145314840178,0.953108445612322,0.949930429915948,0.953022533657591,0.953025908544439,0.952827956785095,0.952842985006163,0.955390795108852,0.955521362409215,0.953022912005072,0.953138222923711,0,0.952826891376782,0.952955422572432,0,0.953199787516831,0.950394671315783,0,0.949992223934696,0.952923115460983,0.952748705477261,0.952827956785095,0,0,0.952874635086523,0.953080600447884,0.955473098054257,0.953053972935668,0.955877060822071,0.952961045481202,0.953003153692523,0.952986480716366,0.955674516262361,0.952963989881291,0.952955422572432,0.952984057219293
"GPCR ligand binding",0,0.906370546112947,0.906239687075313,0,0.910547059972336,0.906898832007612,0,0.906174347914436,0.906306716605367,0.911846424200845,0.902004472710866,0,0,0.906797690646448,0,0,0,0.901473565937606,0,0.90610109933017,0,0.902050842116243,0.906171791338986,0.906458452948152,0.910300466447038,0.906570141233767,0,0,0.901692217499373,0,0,0,0,0.905702144695986,0.901262595031728,0,0.906148443330256,0,0.911847351542804,0.905700255966363,0,0.901688329957167,0,0.906282276879854,0,0,0,0.906149857703959,0.9061230342595,0.906047274392005,0.910441691538198,0.910452358825632,0,0,0.901444561138741,0.906035385068027,0,0.906245347247865,0.90670888952149,0.906174347914436,0,0.901416950523559,0,0,0.910994731696165,0.910400503623731,0.901645004958771,0.911053947017158,0,0.906214959443965,0.905895211124013,0.906373050695933,0.901499196274923,0.910301600205453,0.905999739036845,0,0,0.906336907472467,0,0,0.901428017646096,0.906838199958931,0.901385184564196,0.911977341012262,0.905953466972911,0.906607204918818,0.906402249137359,0.906702815557424,0,0.90095014614598,0.90632398638074,0.906180042453918,0.911847351542804,0.906055238935246,0.905963701295922,0.906533451417226,0.906395498155912,0.906776415951931,0,0.91184550041875,0.906168312430694,0,0,0.901822152343007,0,0.901049402360878,0.906405144201993,0.906178306509288,0.911847351542804,0,0,0.905769273560343,0.906406270740966,0.906129837889911,0,0.906493309744311,0.906477526594253,0.90627170866747,0,0.911607408987495,0,0.906395861843376,0.906223494370145
"Translocation of ZAP-70 to Immunological synapse",0,0.876936011527739,0,0.876521132807176,0.869587369846798,0,0,0.824055785338108,0.877563204507988,0.870123000887559,0.879145602054612,0,0,0,0.872583194998265,0,0,0,0,0.874038042097122,0,0,0.874569021196725,0.872760483795581,0.870601592658488,0,0,0,0.874308151845734,0,0,0,0,0,0.875100354415037,0,0.915956396283951,0,0.870132247145526,0.868777730559509,0,0,0,0,0,0,0,0,0.873708296314531,0.873712762869177,0.914745030856261,0.912582562029012,0,0,0.874038042097122,0,0,0.870635668607354,0.876521132807176,0.824055785338108,0,0,0,0,0.870601592658488,0.870421229181259,0,0.870439006197942,0,0.872542271146686,0.872196584085763,0.874817810787041,0,0.870612897035126,0.874616554081228,0,0,0,0,0.831695608029077,0,0,0.872699743506985,0.870104614576185,0.874366429383977,0.87550726509798,0.874038042097122,0.877465781825637,0,0,0.875427644835579,0.873561542604382,0.870132247145526,0.872317162882671,0.871776107918327,0.916792522892942,0,0,0,0.870113790123965,0.872822837738896,0,0,0,0,0,0.875257514302036,0.872236054087993,0.870132247145526,0,0,0.87094089712997,0.876044033336089,0.87320191548813,0.876363972920176,0.880200123990061,0.874273518831675,0,0,0.876691263340718,0,0,0.873102810878837
"G alpha (i) signalling events",0,0.949184941498857,0.953657115162139,0.948872837290539,0.950171765772051,0.954516452207213,0,0.948408098502603,0.954090504743224,0.953553492983676,0.949115151630068,0,0,0.949681378355284,0.953882177097306,0,0,0.948752047861208,0,0.958180175651518,0,0.949674073680151,0.95378659624494,0.958053522182682,0.959185598916096,0.953906974861128,0,0,0.949544748655564,0.954056510012368,0,0.953530570086447,0,0.957943365296082,0.954046933548477,0.949526474600611,0.953692195190204,0,0.953554409631193,0.953267949854682,0.949447988949623,0,0,0.953699213805704,0,0.949934269894059,0.953757194815232,0.953734854299007,0.953679302931472,0.948865397863913,0.953572103893188,0.957762812196216,0,0,0.953816347432245,0.95114733749417,0,0.957842874094137,0.953987196741135,0.948408098502603,0,0.949239414295873,0,0,0.95815621081802,0.957946886701335,0.949835752661812,0.958925517252761,0,0.953668060986743,0.953683744891394,0.953955473348956,0.948777382620237,0.935937631100791,0.958237527671744,0.953854839271875,0,0.953715050149134,0,0,0,0.954160297617749,0.949244692099171,0.953551670217457,0.953807641760618,0.95388668480195,0.953816347432245,0.954170519405479,0.954036132723491,0,0.949276750971775,0.953819062967282,0.953554409631193,0.953729754869758,0.953592105759926,0.953692820860477,0.9540189229829,0.954157724189168,0,0.953552579854969,0.953773324636989,0,0.954193007081488,0.949375384704205,0,0.949027334322286,0.949018540094076,0.949442209349972,0.953554409631193,0,0,0.953634576873253,0.95403613272349,0.95373345623637,0.954046933548477,0.958791066791319,0.953854047600526,0.953688767469754,0.953879185084805,0.959472596500179,0.953840558396077,0.953884240474719,0.953807641760618
"Drug ADME",0,0,0.876143010597266,0.868545202407997,0.867377123757945,0.869463763340924,0.859357478982277,0.859476431424214,0,0.867480815094835,0.85190042678089,0,0,0.869227475586915,0,0,0,0,0,0.867913525363811,0,0.869361206569094,0.85943636692751,0.867707270837985,0.867431400704859,0.86878825918389,0,0.868800321211525,0.867922487026371,0,0,0.868350709672587,0,0.867892657450858,0.868546924017603,0,0.886559987080887,0,0.86748260505243,0.878325865175549,0.876886216290861,0,0,0.876225217536566,0,0,0.85091019072406,0,0.868174882554848,0.86842036764651,0.867842348791924,0.886009412578176,0.860943482837533,0,0.870039325501288,0.867797136059676,0,0.867580061025709,0.86006898846833,0.859476431424214,0,0,0,0,0.867431400704859,0.877847516356104,0,0.867684053343734,0,0.869749763325597,0.878577886494368,0.868309099058974,0,0.867433589087976,0.859164257365822,0.850803704064218,0,0.868338070838007,0,0,0,0,0.869124918815084,0.867477255739492,0.859430776746203,0.859872716612901,0.878190347672703,0.860153560839373,0.868921143607225,0,0,0.86799939939289,0.86748260505243,0.859200842127916,0.869380355272732,0.876515439230582,0.868350163523572,0,0,0.867479032008497,0,0,0,0.867960286252827,0,0.851008245984188,0,0.867960286252827,0.86748260505243,0.868485961256095,0,0,0.868729608218987,0.869877462055563,0.868688987669431,0,0.859862260008363,0.876204818748561,0.867498819768235,0.868610283268047,0.867423392590857,0.878618769117218,0
"Synaptic adhesion-like molecules",0,0,0,0,0.838281425016474,0,0,0.867693257561625,0.868791959576941,0,0,0,0,0,0,0,0,0,0,0.893754444925633,0,0,0,0.865879377837396,0.816044208016027,0,0,0,0,0,0,0,0,0,0.868998305308742,0,0.867537916962918,0,0,0.837180036643789,0,0,0,0,0,0,0,0,0,0,0.866368014759443,0.89122246468305,0,0,0,0,0,0.864447762538891,0,0.867693257561625,0,0,0.869870789964381,0,0.816044208016027,0.81669570583679,0,0.839234976773011,0,0.867141189655076,0,0.840883516332658,0,0.81605100676291,0.86737842981222,0,0,0,0,0,0.868702980314532,0,0,0,0,0,0.868040785308418,0,0,0,0,0.839586739786398,0,0.8677657767943,0.866680399111055,0.868040785308418,0,0,0,0,0.868261624866856,0,0,0,0,0,0,0,0,0,0,0,0,0.867537916962918,0.842357050811627,0.870353771446547,0.868182407156873,0,0,0.86824345115492,0,0,0.868238285985766
"Interaction between L1 and Ankyrins",0,0,0.909043071241665,0,0.909921963268207,0,0,0,0.914186969669671,0,0,0.915712334764317,0,0.937197399577238,0,0,0,0,0,0.9338613839045,0,0,0,0.933064616801108,0.910420456516337,0.936082263875406,0,0,0,0,0,0,0,0,0,0,0.933137620558025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953631755611353,0,0,0.934326331705239,0,0,0.933014744329693,0,0,0,0,0,0,0.910420456516337,0.910952879284976,0,0.910701233205996,0,0.933591156247788,0,0,0,0.910426012647952,0.933976880353836,0,0,0.934939271278622,0,0,0.93375236081977,0,0.9369370160466,0,0,0,0.933211196003408,0,0,0,0,0,0,0.932986451131177,0.932749637153345,0.934326331705239,0,0,0,0,0.934599450734575,0,0,0,0,0,0,0,0,0,0,0,0,0.933915373221205,0.910655891202457,0.93672122002746,0,0,0,0.934996605552054,0,0.910169114522354,0.933372599240825
"Antigen activates B Cell Receptor (BCR) leading to generation of second messengers",0,0.877284264341726,0.869769924998782,0.872112521641189,0.901373838296403,0,0,0,0,0.901715450946509,0,0,0,0,0.904293719090549,0,0,0,0,0.904212370469636,0,0,0,0.903397574380834,0.902020685316334,0,0,0,0.903578734378013,0,0,0.876552704908207,0,0,0.932963577380782,0.907937880702697,0.930946892877936,0,0.901721347988403,0.871399369124963,0,0,0,0.870040756981796,0,0.878432007981809,0,0,0.903534035694664,0.875228553540062,0.90290652908351,0.928784763207024,0,0,0.903744339657802,0,0,0.902042418140444,0.90450558475433,0,0,0,0,0,0.902020685316334,0.901640210318084,0,0.902385022377374,0,0.902790372767455,0.902772489158651,0.905047563074248,0,0.902027894977028,0.904581331558462,0,0,0,0,0,0,0,0.906326069461701,0.901703724597444,0.90361590239623,0.903858964210267,0.904212370469636,0.907001819079029,0,0,0,0.903908470504733,0.901721347988403,0.903920740540059,0.902769763020891,0.931480154404966,0,0.876415192951143,0,0.901709576542075,0,0,0,0,0,0,0.876213759009078,0.875266449150604,0.901721347988403,0,0,0.903042991202826,0.904820403190739,0.903211078130772,0.872847911336323,0.906851957223547,0.905433901004012,0.869973552871615,0,0.905904531437478,0,0.904914588303214,0.90361590239623
"CD22 mediated BCR regulation",0,0,0,0,0.799718826074151,0,0,0,0,0.800639119965557,0,0,0,0,0,0,0,0,0,0.807365743771072,0,0,0,0.805170708361717,0.801461411897399,0,0,0,0,0,0,0,0,0,0.884820604071728,0,0.805929153745217,0,0.800655006413647,0,0,0,0,0,0,0,0,0,0.806799191412562,0,0.803847847550234,0.873590968862637,0,0,0.807365743771072,0,0,0.801519959451962,0.811632063379844,0,0,0,0,0,0.801461411897399,0,0,0.802442924647539,0,0.804795786535827,0.806372929450546,0,0,0.801480834499851,0,0,0,0,0,0,0,0,0.728397728664316,0.800607529544623,0.807929962031608,0.809890087675562,0.807365743771072,0.816141292369191,0,0,0,0,0.800655006413647,0.806580101779599,0.80347940401648,0.88082430855225,0,0,0,0.800623294502082,0,0,0,0,0,0,0,0,0.800655006413647,0,0,0,0.812983420204652,0.805929153745217,0,0,0.810656509170434,0,0,0.81192437297142,0,0,0
"Complement cascade",0,0,0.907883967186306,0.889662431505604,0.924088517180533,0,0,0.888910935227171,0,0.906765857496806,0.910467887523338,0,0,0,0.90728845009803,0,0,0,0,0.888880314244277,0,0,0.887650038941671,0.908948364901533,0.924504659181377,0,0,0,0,0,0,0,0,0.906702877952174,0.909326567588244,0,0.908029155529092,0.890071804188256,0.906769651294624,0.905295144512898,0,0,0,0.908058203999388,0,0,0,0.907516471172772,0.890612273974762,0,0.907532124672538,0.906644850107067,0,0,0.908372223537437,0,0,0.9069762082878,0.889662431505604,0.888910935227171,0,0.888162174271784,0.890128784262724,0,0.924504659181377,0.906717452256166,0,0.906895516463874,0,0.907069258496591,0,0.887752118875893,0,0.924509297438235,0.887151071360253,0,0,0,0,0,0.889298688087654,0,0,0.906758313477568,0.908506962907355,0.889246435205549,0.888880314244277,0.911568219096597,0,0,0,0,0.906769651294624,0.88865930692959,0.90675489690351,0.908372223537437,0,0.910768990059938,0,0.906762078262552,0.887365468465414,0,0,0.888557894855464,0,0,0,0.907782091980721,0.906769651294624,0,0,0,0.909713764986916,0.908029155529092,0,0.889442045224112,0.909158081932087,0.908014968965424,0,0.908630665389398,0,0.908823987749513,0.907817722098446
"Generation of second messenger molecules",0,0.864411716474279,0,0.863851689874717,0.858550723202406,0,0,0.82428571338358,0.865209407509295,0.859521259291296,0.865858136315511,0,0,0,0.861206741025462,0,0,0,0,0.862514367520003,0,0,0.862920309073929,0.86153765487247,0.859326111884394,0,0,0,0.862720870508848,0.825455203329294,0,0,0,0,0.862152979972515,0.826380646973482,0.894561583407287,0,0.859528328195382,0.858492779775196,0,0,0,0,0,0,0,0,0.86226227188105,0.861947494115764,0.893635476213132,0.891577218675653,0,0,0.861953329464426,0,0,0.859913201518357,0.862273131083531,0.82428571338358,0,0,0,0,0.859326111884394,0.859749259333218,0,0.859357832724655,0,0.860809789945844,0.861384612325684,0.86311051247924,0,0.859334754251339,0.861990593220863,0,0.863198376385579,0,0,0.830126473400703,0,0,0.861474755255357,0.859507202678116,0.862204386512839,0.861498013882771,0.862514367520003,0.865134926394895,0,0,0.863576739834489,0.862150076449654,0.859528328195382,0.861198729328302,0.893471531951556,0.894795797441462,0,0,0,0.859514217523194,0.861585325405381,0,0,0,0,0,0.8631284799541,0.860818527913934,0.859528328195382,0,0,0.859828360827299,0.863729785653542,0.861314098023515,0.862745698337085,0.866259316880494,0.862694393045696,0,0.823143789956411,0.863576739834489,0.822845912797899,0,0.861799369106103
"Neurexins and neuroligins",0,0.933356995123954,0,0.917425725448783,0.93039585993203,0,0,0,0.932971350151512,0.930398007098584,0,0,0,0,0,0,0,0,0,0.931832338160403,0,0,0.932489814531702,0.931211805071317,0.930767434892432,0,0,0,0.915978799989995,0,0,0,0,0,0.933147420639429,0,0.931988955900165,0,0.930401394596773,0.93021561136681,0,0,0,0,0,0,0,0,0,0.932176112108049,0.947208867412648,0.946416616183832,0,0,0.932295282782233,0,0,0.930106559884809,0.91697639038552,0,0,0,0,0,0.930767434892432,0.930970211899878,0.91637783773686,0.930504298964107,0,0.915175133231154,0.931620638434103,0.932580962138623,0,0.930771576411685,0.931891802834079,0,0,0,0,0,0.932698664966374,0,0.917418263668617,0.930391271011757,0,0.916604945521971,0.931832338160403,0,0,0,0.932804383520813,0.931968228987567,0.930401394596773,0.9316648141923,0.931466591006394,0.932295282782233,0,0,0,0.930394632604263,0.932235720344544,0,0,0,0,0,0.932742053778734,0.931635098831115,0.930401394596773,0,0,0.931160599648249,0.93303020621976,0.931988955900165,0.949662019592533,0.9339374231296,0.93238155303499,0,0,0.932804383520813,0,0,0.93241559213803
"Transport of inorganic cations/anions and amino acids/oligopeptides",0,0,0,0,0.947715592393164,0,0,0,0.939048401280031,0,0,0,0,0,0,0,0,0,0,0.938254666074653,0,0,0,0.938118415403594,0.937485955155511,0,0,0,0,0,0,0.948847977263971,0,0.937721865915447,0.938565293341714,0,0.938008027884993,0,0,0.937678586284146,0,0,0,0,0,0.949511453129495,0,0,0,0,0.948091463751278,0.947604556358463,0,0,0.938152416273258,0.93769320950494,0,0.947951630207888,0,0,0,0,0,0,0.937485955155511,0.937729863818954,0,0.948072584430665,0,0.937815624396979,0,0,0,0.937488500479858,0.947285932205041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.958521663569221,0,0.948449524584259,0.937686989154761,0.948552482655609,0,0,0,0,0.938350492810735,0,0,0.948393872939847,0,0,0,0,0,0,0,0.937800752528981,0.939110895737354,0.937964151720207,0,0.939793545127973,0.938627545938314,0,0.938065014315452,0.939003480471785,0.937977284415885,0,0.948626423234849
"Regulation of Complement cascade",0,0,0.898468054678838,0.876694847359369,0.917831133220932,0,0,0.874099929781409,0,0.897132007349898,0.901555622827925,0,0,0,0.8977564616906,0,0,0,0,0.875760282810178,0,0,0.874290206978312,0.899685643132382,0.91832838801973,0,0,0,0,0,0,0,0,0.897056752074701,0.900191841201607,0,0.898641542574877,0.877184013390514,0.897136540620192,0.895374628648827,0,0,0,0.898676253061257,0,0,0,0.898028927756059,0.877829829468683,0,0.898047632375783,0.896987413665251,0,0,0.899051480079666,0,0,0.897383358907877,0.876694847359369,0.874099929781409,0,0.874902165756847,0.877252099801902,0,0.91832838801973,0.897074167145961,0,0.897286938944044,0,0.897698602159033,0,0.874412183940623,0,0.918333930347773,0.873693982555394,0,0,0,0,0,0.874563261937818,0,0,0.89712299287945,0.899212482329241,0.876197766660795,0.875760282810178,0.902816149228875,0,0,0,0,0.897136540620192,0.873799255064049,0.897322966413541,0.899051480079666,0,0.901915415112652,0,0.89712749148184,0.873950169119533,0,0,0.873678076138554,0,0,0,0.898346322350082,0.897136540620192,0,0,0,0.900654509627725,0.898641542574877,0,0.876431504231688,0.899990514969496,0.898624590820793,0,0.899360296423215,0,0.899591300434076,0.89859295340691
"Neurotransmitter receptors and postsynaptic signal transmission",0,0.927463338999481,0.933443266567577,0.926498532657537,0.939211760924348,0.92809806958507,0.925990167365868,0.933604883986163,0.940095669062069,0.933132561762903,0.926909146652194,0,0,0.934088439425213,0.933984434199535,0,0,0.92688796269262,0,0.940278739711335,0,0,0.93342571812126,0.939170993238264,0.939355306330315,0.940243447742505,0,0,0.927053168299549,0.934080797547936,0,0,0,0.9395035947238,0.933564052922028,0.926984769151252,0.933434442281516,0,0.933133870408142,0.933224868693569,0.92736964664438,0,0,0.933503368393438,0,0,0.933923335744579,0,0.933743860601041,0.927007144826079,0.933104646606181,0.939245829388676,0,0,0.933504161295146,0.933571551920901,0,0.939360129181721,0.927617432375246,0.933604883986163,0.92764875035915,0,0.934221181719559,0,0.939355306330315,0.939508622032697,0.92804412315553,0.939436158386093,0,0.933474966930176,0.933422378273164,0.933460929913315,0.92692413167923,0.939356906266064,0.93992355352484,0.933845482916814,0,0.933759304904461,0,0,0.933842500058143,0.934228969176683,0.927354584887621,0.933129959503814,0.939888152771874,0.927473937227794,0.933722835994754,0.934117318409039,0.933751911987323,0,0.933690736347655,0.933620003329444,0.933133870408142,0.933621949794734,0.939521538313903,0.933686667008145,0.933628504046393,0.934221181719558,0,0.933131258141269,0.933471052582077,0,0.940564560631451,0,0,0,0.927225777230114,0.926407286201766,0.933133870408142,0,0,0.933352183905507,0.933680531208658,0.933385822275215,0.933881975912726,0.940713809669809,0.933505934919367,0.933488454757012,0.93362641738963,0.940217192141013,0.933571272275135,0.933946363368661,0.933733144454583
"Phosphorylation of CD3 and TCR zeta chains",0,0.875068441578055,0.817920072734575,0.873868534805756,0.867392391938485,0,0,0.819820942494032,0,0.867951887235152,0.877376477172084,0,0,0,0.870521691688365,0,0,0,0,0.87204135736723,0,0,0.872595993462321,0.87070687932818,0.868451801960926,0,0,0,0.872323501459771,0,0,0,0,0,0.873704372890352,0,0.9158273223819,0,0.867961545446589,0.866546680359504,0,0,0,0.818363643019917,0,0,0,0,0.87169692024463,0.871701585800073,0.914561986343172,0.912303171887021,0,0,0.871274813628772,0,0,0.868487396113746,0.874635078544214,0.819820942494032,0,0,0,0,0.868451801960926,0.868263402653344,0,0.869048515437404,0,0.869712400796106,0.870117855893344,0.872855867508164,0,0.868463609987495,0.871879100366361,0,0,0,0,0.827801146286721,0,0,0.870632160917935,0.867932681748625,0.872384375468308,0.873576039445339,0.871274813628772,0.875621815015048,0,0,0.873492871818853,0.871543628138035,0.867961545446589,0.870243806901806,0.86967864602659,0.91670070138638,0.821297498044096,0,0,0.867942266099487,0.870772011360042,0,0,0,0,0,0.873315161368763,0.870159084423669,0.867961545446589,0,0,0.868806223645792,0.874136722605516,0.87116797836275,0.87447091662881,0.877711438048214,0.872287325422535,0.818253575715466,0,0.874046245255847,0,0.820313167408854,0.871064458292857
"Cardiac conduction",0,0.929212295711095,0.936826875405074,0,0.927458989970519,0.929802765521588,0.928205442067055,0,0.928559157354939,0.927568035094367,0.929404879091101,0.929207643472304,0,0.929062897034479,0.928198452762454,0,0,0,0,0.93706913458207,0,0,0.918201826552783,0.936809046027427,0.927408217363613,0.928601003027704,0,0.919199151864175,0.928162808070392,0.918958697132103,0,0.919160908014885,0,0.936567728203249,0.928581337331415,0,0.928194848326583,0,0.927569917470981,0.927551412209463,0,0,0,0.928209261366967,0,0.919760794571617,0.928556098585804,0,0.92829793861771,0.928556098585804,0.927948235484842,0.9275079946042,0,0,0.91949649920194,0.928050087007226,0,0.945080536252788,0.920002013097508,0,0,0,0,0,0.927408217363613,0.928035398497911,0.919755628265496,0.927781766932403,0,0.918177480997652,0.928247431069117,0.919602892522379,0,0.927410518737239,0.905387367290703,0.928444113811002,0,0.928469552631777,0,0,0,0.919069545909503,0,0.927564291962531,0.918421010833405,0.919795607341491,0.928107818443674,0.929147628435513,0.919298355250799,0,0,0.928053765604483,0.927569917470981,0.927800431629151,0.944749004594128,0.928365069099262,0.946189198005243,0,0,0.927566159943786,0.92817730402999,0,0.929404879091101,0.917567297037432,0,0.928365069099262,0.92887058299483,0.928255466472135,0.927569917470981,0.917936909487313,0,0.927991795138434,0.929030704531764,0.928194848326583,0.928838587987003,0.928440820825608,0.928497739450298,0.928187809349556,0.928129006390586,0.92833546591679,0.928049684760202,0.928589221895146,0.927960375837987
"Trafficking of GluR2-containing AMPA receptors",0,0.880061352686243,0.912567431945498,0,0.909662549486649,0,0,0.912478924612936,0.915462681802032,0.910052067454438,0,0,0,0,0.87661527782058,0,0,0,0,0.944524424406136,0,0,0.878340046052854,0.912503743972087,0.910014849753628,0,0,0,0.877231418347496,0,0,0,0,0.910776776107144,0.914205328793016,0,0.912291094820184,0,0.910058791455361,0.910526353279738,0,0,0,0.912876243471076,0,0,0.914115173960292,0,0.913193005755162,0.877717363687071,0.910259433483511,0.910371262095728,0,0,0.912513881176155,0,0,0.910958550301333,0.879701312204722,0.912478924612936,0,0,0.915645547931526,0,0.910014849753628,0.910802607118228,0,0.91081553479957,0,0.911811392742095,0.876614778449144,0.878022373780884,0,0.910023070445634,0.913319838690508,0.913715155322454,0,0.913272360730356,0,0,0.913699828980467,0,0.880364020077267,0.910038696685949,0.913137944706864,0.878964014214802,0.913432801243749,0.917147086308652,0,0,0.878964448504262,0.875730650548985,0.910058791455361,0.912566611106727,0.911787892831902,0.913432801243749,0.91491877940232,0.91768075041808,0,0.91004536926549,0.910148893437679,0,0,0,0,0,0.87884072733308,0.875496667910065,0.910058791455361,0,0,0.875701626309,0.914126100130074,0.912291094820184,0.914205328793016,0.916995028521296,0.914291966384628,0.912799615136567,0.912589566229565,0.914828594668054,0.912306222975154,0.914233493089896,0.913137944706864
"Transcriptional regulation of testis differentiation",0,0.832319266307205,0.776160859247726,0,0.721501635430063,0,0,0.776837124695348,0,0.824207292500138,0,0,0,0,0,0,0,0,0,0.730414073061354,0,0.737530372824915,0,0.725007148866517,0,0,0,0,0.777773900857257,0,0,0,0,0,0,0,0.776551780732336,0,0.824217507349671,0.724319074770252,0,0,0,0.728883110079859,0,0,0,0,0.729364323438769,0.828758366300461,0.775213518743715,0.772824520538106,0,0,0,0,0,0.773716706711352,0.780218702594657,0.776837124695348,0,0,0,0,0,0.774875792523649,0,0.723253207391368,0,0.775823035361217,0.827083360239187,0,0,0,0.778114609762707,0,0,0,0,0,0,0,0,0.824186980131087,0,0.779098627194044,0.77747549576738,0,0,0,0,0,0.824217507349671,0,0.873266796293349,0.77747549576738,0.826966163515612,0,0,0.824197116863189,0,0,0,0,0,0,0.830464938138496,0.827937687382086,0.824217507349671,0,0,0.774639175816456,0.781087613414249,0.776551780732336,0,0.784283086424662,0.779591429625672,0.728766699193559,0,0.780406655148807,0,0.730944992698982,0
"Chemokine receptors bind chemokines",0,0.887981404381232,0.885888600027002,0,0.922036419996788,0.909531892811629,0,0,0,0.905239176360826,0,0,0,0.892018843861532,0,0,0,0,0,0.906770207103052,0,0,0.907472009192919,0.90627060034799,0.922433045784627,0.891131586956958,0,0,0,0,0,0,0,0.903900485370429,0.887185235483239,0,0.906443228286167,0,0.905242792237247,0,0,0,0,0.886054665488117,0,0,0,0,0.906641255476941,0.886720908636246,0.905969507165344,0.905123843971419,0,0,0,0.906165154792616,0,0.88869091727669,0.907741253896517,0,0,0,0,0,0.922433045784627,0.905642784079542,0,0.922656445552148,0,0.906185265288684,0.886127986057948,0.907569301785955,0,0.922437466516677,0.906996442175687,0,0,0.890222165734316,0,0,0,0,0,0.905231986140738,0,0.907344766976396,0.906770207103052,0.909054570152988,0,0,0,0,0.905242792237247,0.905058312383331,0.905885646614603,0.906770207103052,0.907569301785955,0.909341551593355,0,0.905235574364967,0.907200784492908,0,0,0,0,0.88635395814885,0.887325004942315,0.88614342134549,0.905242792237247,0,0,0.885636932393624,0.887632584034341,0.906443228286167,0,0.909179974027387,0.907519210338189,0.886013458089264,0,0.907807785782927,0,0.907200784492908,0.887689106052704
