"","ARID1B","SNX9","SYNJ2","TMEM181","DYNLT1","EZR","TAGAP","SOD2","WTAP","ACAT2","TCP1","MRPL18","IGF2R","LPA","PLG","MAP3K4","AGPAT4","PACRG","QKI","PDE10A","MPC1","RPS6KA2","RNASET2","FGFR1OP","CCR6","KIF25","FRMD1","THBS2","PHF10","TCTE3","DLL1","PSMB1","TBP"
"Adrenaline,noradrenaline inhibits insulin secretion",0,0.876287012203898,0.876145493473328,0.880663216585261,0.879008604094603,0.877429995368534,0.87980691598875,0.876333413420689,0.87980691598875,0,0.920453624957194,0,0.876026402109043,0,0.876616826441031,0.830537411305511,0,0,0,0.921802355794601,0,0.877981771115865,0,0.875623228469913,0.918664077514142,0.821331981111894,0,0,0,0,0,0.875739417406554,0.874843425996516
"G alpha (s) signalling events",0.93410066918087,0.932539083865657,0.936362357324352,0.93454344417178,0.934275995710196,0.951590992968334,0.93410906045357,0.934434092412913,0.933852480731318,0.916308094971374,0.947764851731261,0,0.935890657595244,0.919074121780281,0.932503827829838,0.917530450373973,0,0,0,0.949179494014011,0,0.933892473239888,0,0.947566562764655,0.950618811626283,0.915492302203197,0.91768462642595,0.933215093856814,0,0.934104892422206,0.934150715256113,0.932969127879704,0.932745054284367
"O-linked glycosylation of mucins",0,0.89909631295166,0.899024465760534,0,0.900953537537772,0,0,0,0,0,0.898362561138442,0.897692927244384,0.898964004647177,0,0.899263755285519,0,0,0,0,0,0,0,0,0.898378420877251,0,0,0,0,0,0.900686635758822,0.90119698261363,0,0
"SLC-mediated transmembrane transport",0.909540566082167,0.908210214439845,0.908176140004334,0,0,0.90898080251812,0.886456748714436,0,0,0.887311066413165,0.897594343003941,0.887841250714647,0.908147465559645,0.887120760335176,0.89775996754962,0,0,0,0.886146488325028,0.897695506763219,0,0.898174018729748,0,0.897512921146541,0.897416215037589,0,0,0.897923138313963,0,0,0.886099992674005,0.897295954110825,0.897628803140968
"APAP ADME",0.708599417157619,0,0,0,0,0.757273059411869,0,0.759501466541859,0,0,0.756735946945699,0,0,0,0.706569358858869,0,0,0,0.707901287676442,0,0,0,0,0,0,0,0,0,0.706500844869291,0,0,0.69790211210613,0.703719299465936
"GPCR downstream signalling",0.944249903235068,0.943563990052528,0.943596906863941,0.950250804388513,0.944300371138796,0.949449682757154,0.943876032575817,0.944330413032499,0.944209435750218,0.938466543377354,0.949306880313809,0.938123892697646,0.943532912604293,0.939361627457348,0.943767541647258,0.944080794272196,0.949250456224043,0.938414302174465,0.938303545655626,0.949810759239289,0,0.949956087218892,0,0.949234227923009,0.949483006267771,0.938538616467026,0.939057846626715,0.944053071268612,0.938161010243768,0.944237679486512,0.944318707847483,0.943885778323945,0.943956902736597
"Lewis blood group biosynthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.835613512489135,0,0
"GABA receptor activation",0,0.875657965239037,0.875570557448064,0.591916465213313,0.590433061187554,0.589719442540238,0.590926131460966,0.588993126646058,0.590223462617366,0,0.616625328117238,0,0.875497001721312,0,0.589089025034942,0.561098401391843,0,0,0,0.617458359777713,0,0.589638255994255,0,0.588603508961864,0.61552002998314,0.555389625847148,0,0,0,0,-0.0217377716081854,0.588547101113108,0.587157806968878
"Defective GALNT12 causes CRCS1",0,0.79855937045701,0.798388530096632,0,0,0,0,0,0,0,0,0,0.798244763886247,0,0.798957519754301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPCR ligand binding",0.886415725914988,0.895487575133268,0.895340026605029,0.897321486900052,0.886696044296045,0.895913978487498,0.896614437649373,0.896437640314148,0,0,0.905208833059023,0.876033413962425,0.895435765287085,0.897842860343016,0.894731030923751,0.886638467868557,0,0,0.8861884957343,0.895992910033236,0,0.89617257980604,0,0.895888028549972,0.90485103304437,0.886055709783163,0,0.8874626566765,0.88595087204949,0.877603913015207,0.886290729475191,0.895882192475527,0.89516428253488
"Platelet homeostasis",0.782911609622587,0.80540565484642,0.80618878881653,0.809977422535022,0.807772976682547,0.806409106228738,0.80767161290043,0.807270451932003,0.784282437671687,0.781225924849986,0.831112186402043,0,0.805267231215161,0.781715943070234,0.805642480461272,0.783733542363326,0.809042663996582,0.756786397266705,0,0.807935721910907,0,0.808758798713402,0,0.806185226278462,0.830161664299223,0.778466552275649,0,0.781125785645388,0.780867432350689,0.755919088084818,0.808894115570577,0.781397255392397,0.807282581158904
"Stimuli-sensing channels",0.871311958070921,0.866287942000607,0.866233466613348,0.853792496992243,0.849765181834877,0.869846645662831,0.852121441593138,0.854252310845227,0.850697252961911,0,0.851878109414594,0.848371920344956,0.866187624284474,0.851921427778296,0.853941972760731,0.853489033832021,0,0.851361824870042,0,0.852318727738813,0,0.872093732163461,0,0.869296106954047,0.85111069736739,0,0.850938355580198,0.853318017840042,0.871448899861856,0,0.867682009595893,0.866810183402516,0.868802012629806
"Glucagon signaling in metabolic regulation",0.864766755887168,0.860218092273057,0.860083928647709,0.866741708713394,0.865277455748882,0.905703746947879,0.862626183119449,0.86573796771205,0.864043820189118,0,0.904568468530111,0,0.859971026778705,0,0.861390634342539,0.816016664985573,0,0,0,0.905847102234909,0,0.86416031236332,0,0.903990882535486,0.902871928632334,0,0.816949287549344,0.863201943141602,0,0.864779057555233,0.865423232453665,0.861470745932198,0.860818053184602
"Glucuronidation",0.816882007827222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.816230174760969,0,0,0.759936295558166,0,0,0,0,0,0,0.814922602235086,0,0,0,0
"Scavenging of heme from plasma",0.475444489139254,0.47159308905936,0.471317051640207,0,0,0.467833058965231,0,0.477442726775529,0,0.474775542480577,0,0,0.471084759612795,0.480936892730078,0.472050191873846,0,0,0,0.474282255898704,0,0,0,0,0,0.466538978847676,0,0,0.469148157678398,0.471950824229014,0,0,0.467612303995706,0.467320158120435
"Cytosolic sulfonation of small molecules",0.798627275865437,0,0,0,0,0.852703177838828,0,0,0,0,0.852105189184982,0,0,0,0,0,0,0,0.79785002056984,0,0,0,0,0,0,0,0,0,0.796290851937968,0,0,0,0.793194046899661
"Collagen formation",0,0.904549772384104,0.904485603280755,0,0.927922701126174,0.926138952144713,0.904706780985478,0.928387221906692,0,0,0.905039626547409,0.904139162715828,0.904431603460152,0.929576380788102,0.946212755492595,0.905384822439693,0,0,0,0,0,0.904959986176869,0,0.904179900521949,0.903264506998736,0.904970275873965,0,0.926241357708608,0,0.905399068296202,0.927992424647812,0.92610199037086,0.904409785717675
"Phase II - Conjugation of compounds",0.82861421217447,0,0,0,0,0.827203330399347,0.786818400245858,0.826930331848044,0,-0.0170651970136805,0.826981050077021,0,0,0,0,0,0,0,0.828120088360709,0.828078715149051,0,0.80539912814167,0,0,0,0,0,0,0.82754052467865,0,0,0.801103558096547,0.805082996307
"Class B/2 (Secretin family receptors)",0,0.868062989635939,0.868048187622123,0.87172735366065,0.84655811493989,0.869443478743149,0.870830816762623,0.869734876656443,0,0,0.890410669334821,0.823179033808177,0.867940263982501,0.848090618462761,0.867829363845081,0.846421729576741,0,0,0,0.868580259505047,0,0.869005856025696,0,0.86971520643162,0.889567941506379,0.845041309210798,0,0.846920682915515,0,0.825020939387159,0.846094178401561,0.868923081351293,0.866617430840497
"Collagen degradation",0,0.815648948615661,0.814682486653314,0,0.868278423202321,0.867372207366501,0,0.870206125617197,0,0.765039373364899,0.813634694582443,0,0.815365226187577,0.873873677009217,0.913005057026318,0,0,0,0,0,0,0.818306400621624,0.769199386545787,0,0.814390882662159,0,0,0.867293832863825,0,0,0.866922231719388,0.864719307100114,0.812122452924119
"Amino acid transport across the plasma membrane",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platelet calcium homeostasis",0,0.807150905434903,0.808142510245373,0,0,0.862793120585114,0,0,0,0,0.807956276255278,0,0.806847459456001,0,0.808312304846653,0,0,0,0,0.810174891945251,0,0.863886367333228,0,0.860689379551963,0.806520782055875,0,0,0,0,0,0.866869270177757,0,0
"ECM proteoglycans",0.830002320818256,0.828859715095075,0.82876092195345,0.833331950596031,0,0.864623682803723,0.86370029822464,0.829844272787647,0,0.863864571836566,0.861336695992112,0,0.828677785184411,0.866486420450566,0.863215547764801,0.86474419383667,0,0,0,0,0,0.864438666794497,0,0.863042851052187,0.82607660782169,0,0,0.894603402405038,0.793358211329913,0,0.829179118071152,0.862603035239733,0.860367008852263
"Regulation of IGF Activity by IGFBP",0.861798641021272,0.859657842607833,0.859603010114559,0.843307666534334,0.841739602347716,0.860897870945386,0.841625656758127,0.861906447699656,0,0.841901087227763,0.859925839530837,0.823585543087025,0.859556867272514,0.862398213026075,0.877399064158387,0.825508923434307,0.862556422394401,0,0.860905946743873,0.839454669323161,0,0.861550788368544,0,0.860197825563284,0.859117067332851,0.840520632898415,0,0.860246534592997,0.862004663008337,0,0.84246397348091,0.860615544046211,0.860184811536449
"Collagen biosynthesis and modifying enzymes",0,0.886029985870429,0.885944823245032,0,0.886922838807662,0.913553465414871,0,0.888733322667397,0,0,0.886708667796467,0.886178241009017,0.885873156878298,0.890760580055129,0.914387988044105,0,0,0,0,0,0,0,0,0.885539106970802,0,0.886597778185867,0,0.914818176118832,0,0.887157136879858,0.917142120977145,0.885962901031835,0.885872768651183
"Diseases associated with O-glycosylation of proteins",0.404209150484016,0.434083253884657,0.433990372933929,0,0,-0.0230989122504631,-0.0230989122504631,0,0,0,0.402387136160623,0,0.433912211413585,-0.0230989122504631,0.800117082380361,-0.0230989122504631,0,0,0,0,0,0.40480424809421,0,0.437553634087083,-0.0230989122504631,0.402877487905201,0,-0.0230989122504631,0,0,0.433971957040985,0.402098964288975,0.401980080175688
"ADP signalling through P2Y purinoceptor 1",0.733452248055362,0.786272823011166,0.791213190966391,0.796974527547766,0.79570078719827,0.788477428426836,0.791577032506937,0.79171390666048,0,0,0.846302996820809,0,0.785948797622407,0.738914517925118,0.786682892262186,0.736304041605348,0.794642124236246,0,0,0.788809736185724,0,0.789789115985722,0,0.791491634619215,0.844077991660279,0.727441144829213,0,0.731400002518013,0.731225274704941,0,0,0.728683754075351,0.728273540556576
"Arachidonic acid metabolism",0.808637792784466,0.807459612176808,0.847271747378409,0,0.850382416830419,0.849021904773842,0.770082045558353,0.84881271175254,0,0,0.808391292981213,0,0.807235007326815,0,0.804726023827627,0.771370805699512,0.849648582865468,0,0.808124261206837,0,0,0.84949744855133,0,0.847464756312411,0.84644752614749,0,0,0,0.807094120490069,0,0,0.807412325243615,0.808710878442322
"Protein-protein interactions at synapses",0,0.81926818903319,0.791693113608904,0.799151702003427,0.796217680328834,0.793170472932984,0.796731579854875,0,0,0,0.819117539052911,0,0.819538905824175,0.794596112280762,0.819868058270527,0,0,0,0,0,0,0.81538162745488,0,0.792964953408235,0.81111778734882,0.820479901330538,0,0.795055016311969,0,0.795300613841293,0.792232670016771,0.791720729454848,0.818343163552536
"Signal amplification",0.759340833734892,0.8103325245765,0.813083428480577,0.815790276376755,0.815018927479542,0.811834412684664,0.813618652717009,0.811213990479753,0,0,0.860279982756391,0,0.810042700651001,0.764226551183918,0.810699310279658,0.761891615340417,0.814072008299508,0,0,0.808603745487243,0,0.811399243125993,0,0.810997546060947,0.858289830897149,0.758831856037604,0,0.760095311023542,0.757348921431747,0,0.756480465143102,0.809723545581126,0.754708748137967
"Activation of kainate receptors upon glutamate binding",0,0.860467216084702,0.86032080140241,0.86937225569319,0,0.862421771721248,0.864880923778651,0.865114891005568,0,0,0.910419172210111,0,0.860197589978768,0,0.860808440504612,0.813776243866612,0.814377091469724,0,0,0.862578217395332,0,0.863393173169985,0,0.860432425992494,0.908567713966628,0.814872426722303,0,0,0,0,0,0.812686823221578,0
"Transcription of E2F targets under negative control by DREAM complex",0.736964117886933,0.730870096750068,0.730553216714418,0,0.738634994827444,0.733429394339161,0,0.740928892572768,0.627886062864335,0.73619619358993,0.732418865909475,0,0.730286554657681,0,0.731608596500596,0.742099954870533,0.735057556174724,0.625698527618461,0.735251838830508,0,0,0.737202640529047,0,0.731054669987579,0.728411821362999,0,0,0.733268198688926,0.736948512357717,0,0.734372408398484,0.729643956166373,0.826654977370416
"Metabolism",0.921173211369002,0.920771514827376,0.922671329501684,0.921225835921212,0.920700547060396,0.922678371461235,0.921068958107483,0.920706716834426,0.921012898976599,0.922786618772424,0.922627925957497,0.920961206013969,0.920455511700394,0.921220198181415,0.920850081579396,0.919263548796539,0.922974638778116,0.919014528163096,0.920604489099192,0.92300341340174,0.920971568197477,0.921091620554618,0.921235329084008,0.922600651975683,0.922547814253352,0.921027854283789,0.918962589181511,0.920799481362832,0.921005635786005,0.921138043720409,0.920695797764444,0.920588805913318,0.920660008585311
