"","PNISR","USP45","CCNC","MCHR2","SIM1","ASCC3","GRIK2","HACE1","LIN28B","PREP","EPHA7","FUT9","UFL1","FHL5","NDUFAF4","KLHL32","FBXL4","COQ3"
"Phase I - Functionalization of compounds",0,0,0.920410728948169,0.902124045034395,0.921956883396867,0.904945937250929,0,0.902287334713651,0,0,0.903971812835727,0,0.902283968485059,0,0.904462049887447,0,0.902290713914258,0
"Class B/2 (Secretin family receptors)",0,0.900712716980633,0.89994779138182,0.913911955527222,0.884916858746201,0,0.900184099377548,0.897856992604915,0.885016834576107,0,0.90036854307407,0,0.897853735874707,0,0.865538793363078,0,0.897860261885178,0
"Glucuronidation",0,0,0.847744569887694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GPCR ligand binding",0,0.932829636975039,0.932635423822112,0.938512975449962,0.933613687286769,0,0.932734905039507,0.932120565201769,0.926349772101639,0,0.932624462756499,0,0.932119194179663,0,0.924883209794966,0,0.932121941507211,0
"Protein-protein interactions at synapses",0,0.700614603291534,0,0.730944228896759,0,0,0.71725717831877,0.697651424633285,0,0,0.732593811491631,0,0.697648045359875,0,0,0,0.697654816928979,0
"Glucagon-like Peptide-1 (GLP1) regulates insulin secretion",0,0,0.895887033847037,0.921861474755705,0,0,0.896326585259306,0.893263742324945,0,0.899617577690693,0.896669665005893,0,0.893257684551242,0.898505468259924,0,0,0.893269823442735,0
"GPCR downstream signalling",0,0.931183460904531,0.931126981910794,0.935074605857235,0.931651866233006,0.926153679438519,0.931445925268298,0.930807356115431,0.926799227738671,0,0.930926613390063,0,0.930806504980744,0.931471264767609,0.92698071980374,0,0.93080821053003,0
"G alpha (s) signalling events",0,0.940013804557449,0.939064696672937,0.950327125368772,0.927636586972409,0,0.939255284661193,0.937710595298263,0.925918374599538,0,0.938688371014148,0,0.937707968668315,0.94020004087432,0.924051702535144,0,0.937713232050128,0
"Collagen formation",0,0.897264394369782,0.91381487170575,0.91212036340062,0,0,0,0.894369315163404,0.915470099972524,0,0.913582669291467,0,0.894366013552091,0,0,0,0.894372629497725,0
"G alpha (i) signalling events",0,0.915489776796568,0.922698360150483,0.929800399360451,0.924083503748411,0,0.923396929829388,0.922414067714956,0.915899441512755,0,0.922755913260456,0,0.922412595865942,0.923562150749902,0.915796747371349,0,0.922415545235851,0
"Phase II - Conjugation of compounds",0,0,0.760227026301697,0,0,0,0,0.714721083450173,0,0,0,0,0.714718093900411,0.74751727424853,0.7603846243705,0,0.71472408452039,0
"Regulation of insulin secretion",0,0.87996803458161,0.920473182939064,0.918383085437398,0.884173889858501,0,0.900296560837646,0.898295472843688,0.883271004208166,0.902758532410399,0.900348844126101,0,0.898291217743686,0.90197736476149,0,0,0.898299744341039,0
"Nitric oxide stimulates guanylate cyclase",0,0,0.865120057334158,0.862380884522878,0.822747341000872,0,0.818339037100141,0.862961524268716,0.821424201907981,0,0.815887457227632,0,0.862951539531041,0,0,0,0.862971547483329,0
"Synthesis, secretion, and deacylation of Ghrelin",0,0.689785151270669,0.738358614378142,0.778956007686033,0.694720441696373,0,0,0.68268232338875,0,0,0.739581847058407,0,0.682672855241873,0,0,0,0.682691828021845,0
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",0,0,0.763037121160133,0.705639399724315,0.719851131221366,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collagen biosynthesis and modifying enzymes",0,0,0.896357490333873,0.894746790761261,0,0,0,0,0.8994761405752,0,0.895797298169387,0,0,0,0,0,0,0
"Potassium Channels",0,0,0.92203738395983,0.952495676420192,0,0.922114973338911,0.93970745923498,0.921035370475151,0,0.939533755727317,0.938411245968116,0,0.92103198364851,0,0,0,0.921038770353185,0
"Neurexins and neuroligins",0,0.905494136390084,0,0.948727193118861,0,0,0.929660517206821,0.901270303471833,0,0,0.928311678592091,0,0.901265486520878,0,0,0,0.901275138985271,0
"Activation of Matrix Metalloproteinases",0,0,0.927907476978912,0.926006999674049,0.904467573299676,0,0,0.898620398285156,0.904804560619101,0,0.928601050690525,0,0.898615029839824,0,0,0,0.898625787418196,0
"RA biosynthesis pathway",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Platelet homeostasis",0,0.826452866273064,0.847688455341466,0.866455857262592,0.829452651359975,0,0.848342614569691,0.846169978678388,0.828099529786582,0,0.849398660291913,0,0.846165681580283,0.805069175578805,0,0,0.846174292335684,0
"Degradation of the extracellular matrix",0,0.666463945733508,0.697188986447323,0.696040029491286,0.682873087284504,0,0.680879015473713,0.679534382090594,0.681930745604275,0,0.855502063846874,0,0.679531136530864,0,0.68038107934853,0,0.679537640157332,0
"Integration of energy metabolism",0,0.89246853820961,0.926612449058624,0.925357736894594,0.896863105300899,0,0.910292522803498,0.908625711754321,0.895828660223935,0.912343227936214,0.926364471279633,0,0.908622167458558,0.911692552467473,0,0,0.908629269708295,0
"Glucagon signaling in metabolic regulation",0,0,0.87903354829924,0.911331136891064,0,0,0.87989516766389,0.830937673163672,0,0,0.880006701071873,0,0.830930140701914,0.882289407307698,0,0,0.830945234652339,0
"Glucagon-type ligand receptors",0,0,0.887603934683522,0.919086589554122,0,0,0.888136698620925,0,0,0,0.888552532836294,0,0,0,0,0,0,0
"Drug ADME",0,0,0.814614481171124,0.768149283332881,0.803263592909431,0.78618969763539,0,0.768274239201488,0.771584712457713,0,0.769366664471572,0,0.76827122679571,0,0.800723568362513,0,0.768277263215799,0
"Adrenaline,noradrenaline inhibits insulin secretion",0,0,0,0.91119876233217,0,0,0.871867010147389,0,0,0,0.871652042937468,0,0,0,0,0,0,0
"Aspirin ADME",0,0,0.774836421498972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADP signalling through P2Y purinoceptor 1",0,0,0.746562064545079,0.850542449985381,0,0,0.805043872822403,0.743368633984351,0.753941993588047,0,0.808677578245005,0,0.743357840121927,0,0,0,0.743379469441738,0
"Assembly and cell surface presentation of NMDA receptors",0,0,0.786858978992284,0.783459690058771,0,0,0.837205632376258,0.736045553672474,0,0,0.78904695990915,0,0.736036118547922,0.792040944164929,0,0,0.73605502515599,0
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Assembly of collagen fibrils and other multimeric structures",0,0.855947379799594,0.879242782228173,0.878273757464699,0,0,0,0.851200031151751,0.881957024262321,0,0.880671645535723,0,0.851194617172068,0,0,0,0.851205465994612,0
"Blood group systems biosynthesis",0,0,0.826776375167438,0,0,0,0,0,0,0,0,0.876680706113342,0,0,0,0,0,0
"WNT ligand biogenesis and trafficking",0,0.830627130989518,0.825937856101357,0.871808008773323,0,0,0,0.821800678265847,0.830101399402567,0,0.875262662694521,0,0.82179061238713,0,0,0,0.821810782934185,0
"Signal amplification",0,0,0.772761164947569,0.864431232443014,0,0,0.824319266885128,0.769945807091331,0.77926737850521,0,0.825797905469561,0,0.769936291122596,0,0,0,0.76995535973057,0
"Aquaporin-mediated transport",0,0.787507429954733,0.782848070510911,0.815137219201484,0,0,0.784378615314371,0.781108900284419,0,0,0.78479187944964,0,0.781101603261975,0.787003235998233,0,0,0.781116225426489,0
"Regulation of IGF Activity by IGFBP",0,0.869579315735032,0.897362270567114,0.910470899670445,0.900121993699082,0,0,0.881681413205835,0.870968373634984,0,0.897741129965156,0,0.881678480733147,0,0.897818033156564,0,0.881684356979028,0
"Presynaptic function of Kainate receptors",0,0,0,0.896943323200524,0,0,0.906705703180925,0,0,0,0.850059661539736,0,0,0,0,0,0,0
"Presynaptic nicotinic acetylcholine receptors",0,0,0,0,0,0,0,0,0,0,0.672186735518459,0,0,0,0,0,0,0
"Ethanol oxidation",0,0,0.780665985054836,0,0,0,0,0,0,0,0.779738521806387,0,0,0,0,0,0,0
"Metabolism of Angiotensinogen to Angiotensins",0,0,0.721040588659787,0.650904381352123,0,0,0,0.661452928543342,0,0,0.722678870889551,0,0.661440247802361,0,0,0,0.661465658150514,0
"Activation of NMDA receptors and postsynaptic events",0,0.851980146056039,0.849648287646566,0.847606612168025,0.830469411915102,0.824663805056483,0.874396318969537,0.84853346084832,0.826203487710905,0,0.850521622496137,0,0.848528783378545,0.852066824614671,0,0,0.848538156343077,0
"Signaling by Retinoic Acid",0,0,0.744197559987988,0.740987654211432,0,0.743284666795492,0,0.708112139797951,0,0,0.710184669991586,0,0.708105562345938,0,0.710467557943143,0,0.70811874259667,0
"ADP signalling through P2Y purinoceptor 12",0,0,0,0.901275983575836,0,0,0.849347755104477,0,0,0,0.848355385421122,0,0,0,0,0,0,0
"Unblocking of NMDA receptors, glutamate binding and activation",0,0,0.868391857282663,0.864387203223823,0,0,0.872210575383046,0.813238002386267,0,0,0.870765118393673,0,0.813227768286872,0,0,0,0.813248275923535,0
